"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsCategory","Category","PoE2","string_26","Guild","row_35","string_43"
0,"Specials","Specials","Offres du moment","Angebote","特売品","할인 아이템","Especiais","Скидки","Especiales","ราคาพิเศษ","特殊",1,"","","","","",""
1,"NewItems","New","— Nouveautés —","Neu","新商品","신규","Novos","Новинки","Nuevo","มาใหม่","新品上架",1,"","","","","",""
2,"StashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","보관함 탭","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บเก็บของ","倉庫頁",1,"","","","","",""
3,"Bundles","Bundles","Bundles","Pakete","バンドル","꾸러미","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包",1,"","","","","",""
4,"ArmourEffects","Armour","Pièces d'armure","Rüstung","アーマー","방어구","Armaduras","Доспехи","Armaduras","ชุดเกราะ","護甲",1,"","","","","",""
5,"BackAttachments","Back Attachments","Accessoires dorsaux","Rückenzusätze","背面装飾品","등 부착물","Adornos Dorsais","Заплечные украшения","Accesorios para la espalda","แฟชั่นติดหลัง","背飾",1,"","","","","",""
6,"WeaponEffects","Weapon","Arme","Waffe","武器","무기","Armas","Оружие","Armas","อาวุธ","武器",1,"","","","","",""
7,"Weapon","Weapon","Arme","Waffe","武器","무기","Armas","Оружие","Armas","อาวุธ","武器","","","","","","",""
8,"FinisherEffects","Finisher Effects","Effets de mise à mort","Vollstreckereffekte","フィニッシャーエフェクト","마무리 이펙트","Efeitos Finalizadores","Эффекты добивания","Efectos de remate","เอฟเฟคปลิดชีพ","終結特效",1,"","","","","",""
9,"Portals","Portals","Portails","Portale","ポータル","포탈","Portais","Порталы","Portales","วาร์ป","傳送門",1,"","","","","",""
10,"AlternateSkillEffects","Skill Effects","Effets d'aptitudes","Fertigkeiten","スキルエフェクト","스킬 이펙트","Habilidades","Эффекты умений","Efectos de habilidades","เอฟเฟคสกิล","技能效果",1,"","","","","",""
11,"CharacterEffects","Character","Effets de personnage","Charakter","キャラクター","캐릭터","Personagens","Персонаж","Personaje","ตัวละคร","角色",1,"","","","","",""
12,"Character","Character","Perosnnage","Charakter","キャラクター","캐릭터","Personagens","Персонаж","Personaje","ตัวละคร","角色","","","","","","",""
13,"FootprintEffects","Footprints","Effet d'empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效",1,"","","","","",""
14,"Guild","Guild","Guilde","Gilde","ギルド","길드","Guilda","Гильдия","Hermandad","กิลด์","公會",1,"","","","","",""
15,"GuildHideout","Guild Hideout","Repaire de Guilde","Gildenversteck","ギルドの隠れ家","길드 은신처","Refúgios de Guilda","Убежище гильдии","Guarida de hermandad","ที่ซ่อนกิลด์","公會藏身處",1,"","","","","",""
16,"Pets","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","寵物",1,"","","","","",""
17,"Hideout","Hideout","Repaire","Versteck","隠れ家","은신처","Refúgio","Убежище","Guarida","ที่ซ่อน","藏身處",1,"","","","","",""
18,"VisualEffects","Visual Effects","Effets visuels","Visuelle Effekte","視覚エフェクト","시각 이펙트","Efeitos Visuais","Визуальные эффекты","Efectos visuales","ภาพเอฟเฟค","視覺效果",1,"","","","","",""
19,"GuildHideouts","Hideouts","Repaires","Verstecke","隠れ家","은신처","Refúgios","Убежища","Guaridas","ที่ซ่อน","藏身處","","","","","","",""
20,"GuildStashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","보관함 탭","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บ","倉庫頁","","","","","","",""
21,"GuildHideoutSkins","Utility Skins","Apparences utilitaires","Allgemeine Skins","ユーティリティスキン","특수 스킨","Visuais Utilitários","Прочие декорации для убежища гильдии","Aspectos de utilidad","สกินวัตถุใช้สอย","功能外觀","","","","","","",""
22,"GuildBundles","Bundles","Bundles","Pakete","バンドル","꾸러미","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包","","","","","","",""
23,"GuildHideoutDecorations","Decorations","Décorations","Dekorationen","装飾品","장식물","Decoraçõeas","Декорации","Decoraciones","ของตกแต่ง","裝飾物","","","","","","",""
24,"Consumable","Consumable","Consommable","Verbrauchbar","消耗品","소모품","Consumível","Расходуемое","Consumibles","ใช้แล้วหมดไป","消耗品","","","","","","",""
25,"MysteryPacks","Mystery Packs","Packs mystères","Überraschungspakete","ミステリーパック","미스터리 팩","Pacotes Misteriosos","Загадочные коробки","Paquetes misteriosos","แพ็คปริศนา","神秘寶箱","",24,"","","","",""
26,"MostPopular","Most Popular","Plus populaires","Am beliebtesten","最も人気","최고 인기","Mais Populares","Популярные","Los más populares","เป็นที่นิยม","熱門商品","","","","","","",""
27,"AccountFeatures","Account Features","Fonctions de compte","Kontoeigenschaften","アカウント機能","계정 요소","Funcionalidades da Conta","Свойства аккаунта","Características para la cuenta","ฟีเจอร์บัญชี","帳號功能",1,"","","","","",""
28,"ClassicEffects","Classic Effects","Effets classiques","Klassische Effekte","クラシックエフェクト","고전적인 이펙트","Efeitos Clássicos","Эффекты","Efectos clásicos","เอฟเฟคคลาสสิก","經典效果","","","","","","",""
29,"PoE2MysteryBoxes","Mystery Boxes","Boîtes mystères","Überraschungskisten","ミステリーボックス","미스터리 박스","Caixas Misteriosas","Загадочные коробки","Cajas misteriosas","กล่องปริศนา","神秘寶箱","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame13"
30,"PoE2StashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","보관함 탭","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บเก็บของ","倉庫頁","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagStashes","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame1"
31,"PoE2Armour","Armour","Armure","Rüstung","防具","방어구","Armadura","Доспехи","Armaduras","เกราะ","護甲","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagArmour","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame2"
32,"PoE2Weapons","Weapon","Arme","Waffe","武器","무기","Armas","Оружие","Armas","อาวุธ","武器","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagWeapons","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame4"
33,"PoE2Portals","Portals","Portails","Portale","ポータル","포탈","Portais","Порталы","Portales","วาร์ป","時空之門","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagPortals","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame5"
34,"PoE2Pets","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","寵物","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagPets","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame22"
35,"PoE2GemEffects","Gem Effects","Effets de Gemmes","Gemmeneffekte","ジェムエフェクト","젬 효과","Efeitos de Gemas","Эффекты камней","Efectos para gemas","เอฟเฟคหินสกิล","寶石特效","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame10"
36,"PoE2VisualEffects","Visual Effects","Effets visuels","Visuelle Effekte","視覚効果","시각 이펙트","Efeitos Visuais","Визуальные эффекты","Efectos visuales","ภาพเอฟเฟค","視覺效果","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame9"
37,"PoE2Accessories","Accessories","Accessoires","Accessoires","アクセサリー","장신구","Acessórios","Аксессуары","Accesorios","เครื่องประดับ","配件","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame11"
38,"PoE2AccountFeatures","Account Features","Fonctions de compte","Kontofunktionen","アカウント機能","계정 요소","Recursos da Conta","Свойства аккаунта","<size:25>{Funciones de \nla cuenta}","ฟีเจอร์บัญชี","帳號功能","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame3"
39,"PoE2Hideouts","Hideouts","Repaires","Verstecke","隠れ家","은신처","Refúgios","Убежища","Guaridas","ที่ซ่อน","藏身處","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagHideouts","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame8"
40,"PoE2Bundles","Bundles","Bundles","Pakete","バンドル","꾸러미","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame6"
41,"PoE2GuildStashTabs","Guild Stash Tabs","Onglets de Réserve de Guilde","Gilden\r\ntruhenfächer","ギルドスタッシュタブ","길드 보관함 탭","Abas de Baú (Guilda)","Секции хранилища гильдии","Pestañas de alijo para hermandad","แท็บเก็บของกิลด์","公會倉庫頁","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildStashes",1,"","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildStashes"
42,"PoE2GuildHideouts","Hideout Areas","Zones de Repaires","Vesteckgebiete","隠れ家エリア","은신처 지역","Áreas de Refúgio","Области убежища","Áreas de guarida","ด่านที่ซ่อน","藏身處區域","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildHideouts",1,"","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildHideouts"
43,"PoE2GuildUtilitySkins","Utility Skins","Apparences utilitaires","Nützliche Skins","ユーティリティスキン","특수 스킨","Visuais Utilitários","Прочие декорации для убежища","Aspectos de utilidad","สกินวัตถุใช้สอย","功能外觀","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildltems",1,"","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/Guildltems"
44,"PoE2GuildHideoutDecorations","Hideout Decorations","Décorations de Repaire","Versteck\r\ndekorationen","隠れ家装飾品","은신처 장식물","Decorações de Refúgio","Декорации для убежища","Decoraciones para guarida","ของตกแต่งที่ซ่อน","藏身處裝飾物","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildEffects",1,"","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildEffects"
45,"PoE2GuildFeatures","Guild Features","Fonctions de Guilde","Gildenfunktionen","ギルド機能","길드 기능","Recursos de Guilda","Свойства гильдии","Funciones de hermandad","ฟีเจอร์กิลด์","公會功能","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildBundles",1,"","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildBundles"
46,"TencentHotAndNew","Hot and New","Nouveau & populaire","Brandneu","ホット＆ニュー","화제 및 신규","Novos","Новинки","Novedades","ของใหม่มาแรง","騰訊",1,"","","","","",""
47,"TencentAccountFunctions","Account Functions","Fonctions de compte","Kontofunktionen","アカウント機能","계정 기능","Funções da Conta","Аккаунт","Funciones de la cuenta","ฟังก์ชันบัญชี","騰訊",1,"","","","","",""
