"rownum","Id","i32_8","Shop","ShopRuthless","ShopRuthlessGold","i32_60"
0,"A1_Weapons",0,0,38,66,-1
1,"A2_Weapons",3,1,39,67,-1
2,"A3_Weapons",5,2,40,68,-1
3,"A4_Weapons",7,3,41,69,-1
4,"A5_Weapons",9,4,42,70,-1
5,"A6_Weapons",11,5,43,71,-1
6,"A7_Weapons",13,6,44,72,-1
7,"A8_Weapons",15,7,45,73,-1
8,"A9_Weapons",17,8,46,74,-1
9,"A10_Weapons",19,9,47,75,-1
10,"Epilogue_Weapons",21,10,48,76,-1
11,"A1_Magic",1,11,49,77,-1
12,"A2_Magic",2,12,50,78,-1
13,"A3_Magic",4,13,51,79,-1
14,"A4_Magic",6,14,52,80,-1
15,"A5_Magic",8,15,53,81,-1
16,"A6_Magic",10,16,54,82,-1
17,"A7_Magic",12,17,55,83,-1
18,"A8_Magic",14,18,56,84,-1
19,"A9_Magic",16,19,57,85,-1
20,"A10_Magic",18,20,58,86,-1
21,"Epilogue_Magic",20,21,59,87,-1
22,"Cadiro",-1,25,25,25,-1
23,"CadiroHigh",-1,26,26,26,-1
24,"CadiroMedium",-1,27,27,27,-1
25,"CadiroLow",-1,28,28,28,-1
26,"Einhar",-1,29,29,29,-1
27,"EndlessDelve",-1,32,32,32,-1
28,"EndlessHeistContracts",23,37,37,37,-1
29,"ExpeditionDealer",-1,35,64,64,-1
30,"ExpeditionGambler",-1,34,63,63,-1
31,"ExpeditionHaggler",-1,33,62,62,-1
32,"ExpeditionSaga",-1,36,65,65,-1
33,"Kirac",-1,30,61,61,-1
34,"Siosa",-1,23,60,60,-1
35,"Whakano",22,31,31,31,-1
36,"A6_LillyRoth",29,24,22,22,-1
37,"A10_LillyRoth",33,24,22,22,-1
38,"Epilogue_LillyRoth",34,24,22,22,-1
39,"Azmeri_Warden",-1,88,88,88,-1
40,"Azmeri_VoodooShaman",-1,89,89,89,-1
41,"Azmeri_Primalist",-1,90,90,90,-1
42,"Azmeri_UniqueDealer",-1,91,91,91,-1
43,"Azmeri_UniqueDealerMaps",-1,92,91,91,-1
44,"VaalUniqueDealer",-1,97,97,97,-1
45,"Necropolis_GraveKeeper",-1,93,93,93,-1
46,"MTXCart_SnakeOilVendor",-1,94,94,94,-1
47,"Village_Gamble",-1,95,95,95,-1
48,"CrueltySupporterPack_Gamble",-1,96,96,96,-1
