"rownum","Id","Area1","bool_24","FlavourText","Connections","f32_57","f32_61","f32_65","f32_69","f32_73","UniqueArt","StartingNode","NotOnAtlas","DivCards","DivCardsHardmode","Tier","HASH16","IsUniqueMap","Region","Node_DDSFile","IsNormalMap","RequiresSpecificItem","VoidstoneSlot","MapDeviceLayout","QuestStates","bool_200","NodeDisplayName","Area2","bool_233","bool_234","f32_235","bool_239","i32_240","i32_244","i32_248","i32_252","bool_256","i32_257"
0,"MapWorldsShrine",1235,"",2184,"[85,82,12,8]",631.466,566.077,144.755,2.865,26.982,"","","","[3101,3177,3233,3389]","[3101,3177,3233,3389]",5,64812,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Shrine.dds",1,"","",0,[],1,"",1235,1,1,1,"",0,0,0,0,"",1899
1,"MapWorldsMausoleum",1138,"",2090,"[96,81,9,135]",181.747,532.44,160.221,-2.834,9.061,"","","","[3130,3176,3261,3273]","[3130,3176,3261,3273]",13,57831,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Mausoleum.dds",1,"","",0,[],1,"",1138,1,1,1,"",0,0,0,0,"",1899
2,"MapWorldsTropicalIsland",1177,"",2129,"[8,6,82]",661.272,588.232,142.762,-18.577,11.875,"","","","[3347,3466,3503,5358]","[3347,3466,3503,5358]",7,5647,"",2,"Art/2DItems/Maps/Atlas2Maps/New/TropicalIsland.dds",1,"","",0,[],1,"",1177,1,1,1,"",0,0,0,0,"",1899
3,"MapWorldsIvoryTemple",1135,"",2087,"[78,27,96,128]",275.803,678.369,217.46,20.412,-13.132,"","","","[3172,3241,3338,3413]","[3172,3241,3338,3413]",13,16982,"",3,"Art/2DItems/Maps/Atlas2Maps/New/IvoryTemple.dds",1,"","",0,[],1,"",1135,1,1,1,"",0,0,0,0,"",1899
4,"MapWorldsExcavation",1108,"",2060,"[72,77,60,49]",327.504,621.338,169.942,17.582,2.45,"","","","[3185,3291,3447,5310]","[3185,3291,3447,5310]",7,33025,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Excavation.dds",1,"","",0,[],1,"",1108,1,1,1,"",0,0,0,0,"",1899
5,"MapWorldsSprings",1107,"",2059,"[67,42,97]",392.723,521.703,102.629,0.684,23.48,"","","","[3164,3208,3213,3502]","[3164,3208,3213,3502]",2,34425,"",3,"Art/2DItems/Maps/Atlas2Maps/New/FungalCaverns.dds",1,"","",0,[],1,"",1107,1,1,1,"",0,0,0,0,"",1899
6,"MapWorldsCaldera",1230,"",2179,"[45,2,38,8]",655.846,641.457,139.555,5.115,-8.516,"","","","[3098,3125,3341,5245]","[3098,3125,3341,5245]",8,64414,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Abyss.dds",1,"","",0,[],1,"",1230,1,1,1,"",0,0,0,0,"",1899
7,"MapWorldsTortureChamber",1225,"",2174,"[66,68,87,13,134]",428.592,345.765,187.913,15.628,28.803,"","","","[3342,3445,3453,5411]","[3342,3445,3453,5411]",5,15595,"",0,"Art/2DItems/Maps/Atlas2Maps/New/PrimevalRuins.dds",1,"","",0,[],1,"",1225,1,1,1,"",0,0,0,0,"",1899
8,"MapWorldsCoralRuins",1152,"",2104,"[2,85,61,0,6]",598.943,649.999,150.781,-1.499,-32.15,"","","","[3155,3230,3236,3263]","[3155,3230,3236,3263]",6,41363,"",2,"Art/2DItems/Maps/Atlas2Maps/New/CorpseTrench.dds",1,"","",0,[],1,"",1152,1,1,1,"",0,0,0,0,"",1899
9,"MapWorldsDesert",1101,"",2053,"[84,1,15,159]",152.604,471.18,149.766,26.867,-8.666,"","","","[3214,3340,3371,3394]","[3214,3340,3371,3394]",14,34997,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Desert.dds",1,"","",0,[],1,"",1101,1,1,1,"",0,0,0,0,"",1899
