"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","[i32]_24","i32_40"
0,13,"Blight","Blight","Befall","ブライト","역병","Infestação","Скверна","Blight","ไบล์ท","凋落","[0,1,7,10,13]",0
1,3,"Currency","Objet monétaire","Währung","カレンシー","화폐","Moeda","Валюта","Objeto monetario","เงินตรา","通貨物品","[0,1,7,10,3]",-10
2,15,"Delirium","Delirium","Delirium","デリリウム","환영","Delírio","Делириум","Delirium","เดลิเรียม","譫妄物品","[0,1,7,10,15]",0
3,12,"Delve","Delve","Azuritmine","デルブ","탐광","Escavação","Спуск","Delve","เหมืองลึก","掘獄","[0,1,7,10,12]",0
4,6,"Divination Card","Carte divinatoire","Weissagungskarte","占いカード","점술 카드","Carta de Adivinhação","Гадальные карты","Carta de adivinación","ไพ่พยากรณ์","命運卡","[0,1,7,10,6]",0
5,8,"Essence","Essence","Essenz","エッセンス","에센스","Essência","Сущности","Esencia","เอสเซนส์","精髓","[0,1,7,10,8,11]",0
6,9,"Fragment","Fragment","Fragment","フラグメント","조각","Fragmento","Фрагменты","Fragmento","ชิ้นส่วน","碎片","[0,1,7,10,9]",10
7,5,"Map","Carte","Karte","マップ","지도","Mapa","Карты","Mapa","แผนที่","地圖","[0,1,7,10,5]",-90
8,16,"Breach","Brèche","Riss","ブリーチ","균열","Fenda","Разлом","Fisura","บรีช","裂痕","[0,1,7,10,22]",0
9,14,"Ultimatum","Ultimatum","Ultimatum","アルティメイタム","결전","Ultimato","Ультиматум","Ultimatum","คำขาด","通牒","[0,1,7,10,14]",0
10,4,"Unique","Unique","Einzigartig","ユニーク","고유","Único","Уникальное","Único","ยูนิค","傳奇","[0,1,7,10,4]",-100
11,17,"Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флаконы","Frasco","ขวดยา","藥劑","[0,1,7,10,17]",0
12,18,"Gem","Gemme","Gemme","ジェム","젬","Gema","Камни","Gema","หิน","寶石","[0,1,7,10,18]",0
13,21,"Ritual","Ritual","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀","[0,1,7,10]",0
14,7,"Settlers","Settlers","Siedler","セトラーズ","정착자들","Colonos","Поселенцы","Settlers","นักบุกเบิก","拓荒者","[0,1,7,10]",0
15,10,"Sanctum","Sanctum","Sanktum","サンクタム","성역","Santuário","Святилище","Sanctum","เทวสถาน","聖域","[0,1,7,10]",0
16,11,"Mercenary","Mercenary","Söldner","マーセナリー"," 용병","Mercenário","Наёмники","Mercenary","ทหารรับจ้าง","傭兵","[0,1,7,10]",0
