"rownum","WorldArea","CapturedVessel","QuestFlagUpgrade","CapturedMonster","PanelLayout","CapturedMonsterDescription","i32_88","QuestFlagDowngrade"
0,1249,3613,1389,[5496],0,"",1324,3178
1,1152,3614,1390,[4660],0,"",1325,3179
2,1179,3615,1391,[2462],0,"",1326,3180
3,1220,3616,1392,[6177],1,"",1327,3181
4,1248,3617,1393,[5743],1,"",1328,3182
5,1102,3618,1394,[2425],1,"",1329,3183
6,1215,3619,1395,[2525],2,"",1330,3184
7,1246,3620,1396,[5759],2,"",1331,3185
8,1124,3621,1397,[4250],2,"",1332,3186
9,1266,3622,1398,[8750],3,"",1333,3187
10,1213,3623,1399,[4428],3,"",1334,3188
11,1096,3624,1400,[2467],3,"",1335,3189
12,1219,3625,1402,[6015],6,"",1336,3190
13,1148,3626,1405,[6050],8,"",1337,3191
14,1234,3627,1406,[6063],9,"",1338,3192
15,1237,3628,1407,[6280],10,"",1339,3193
16,1194,3629,1401,[5785],11,"",1340,3194
17,1139,3630,1404,[5726],13,"",1341,3195
18,1156,3631,1408,[2421],14,"",1342,3196
19,1166,3632,1403,[1612],15,"",1343,3197
