"rownum","Item","Pack","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32_40","i32_44"
0,4937,14,"Pack monsters are Harmless Frogs","Les monstres du groupe sont des Grenouilles inoffensives","Gruppenmonster sind harmlose Frösche","パックモンスターは無害な蛙である","무리 몬스터가 무해한 개구리로 등장","Monstros do grupo são Sapos Inofensivos","Группа монстров - безобидные лягушки","Los monstruos del grupo son ranas inofensivas","มอนสเตอร์ในกองเป็น กบไร้พิษภัย","怪物群為無害的青蛙",0,0
1,4938,16,"Pack monsters are Rats","Les monstres du groupe sont des Rats","Gruppenmonster sind Ratten","パックモンスターは鼠である","무리 몬스터가 쥐로 등장","Monstros do grupo são Ratos","Группа монстров - крысы","Los monstruos del grupo son ratas","มอนสเตอร์ในกองเป็น หนู","怪物群為鼠輩",0,0
2,4939,486,"Pack monsters can drop Splinters of Xoph","Les monstres du groupe peuvent céder des Esquilles de Xoph","Gruppenmonster können Splitter von Xoph fallen lassen","パックモンスターはゾフスプリンターをドロップする可能性がある","무리 몬스터가 일정 확률로 조프의 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos de Xoph","Из монстров группы могуть выпасть осколки Ксофа","Los monstruos del grupo pueden arrojar astillas de Xoph","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดซอปห์ ได้","怪物群可能掉落索伏裂片",0,0
3,4940,487,"Pack monsters can drop Splinters of Tul","Les monstres du groupe peuvent céder des Esquilles de Tul","Gruppenmonster können Splitter von Tul fallen lassen","パックモンスターはトゥルスプリンターをドロップする可能性がある","무리 몬스터가 일정 확률로 툴의 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos de Tul","Из монстров группы могуть выпасть осколки Тул","Los monstruos del grupo pueden arrojar astillas de Tul","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดทุล ได้","怪物群可能掉落托沃裂片",0,0
4,4941,488,"Pack monsters can drop Splinters of Esh","Les monstres du groupe peuvent céder des Esquilles d'Esh","Gruppenmonster können Splitter von Esh fallen lassen","パックモンスターはエシュスプリンターをドロップする可能性がある","무리 몬스터가 일정 확률로 에쉬의 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos de Esh","Из монстров группы могуть выпасть осколки Иш","Los monstruos del grupo pueden arrojar astillas de Esh","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดเอ็ช ได้","怪物群可能掉落艾許裂片",0,0
5,4942,489,"Pack monsters can drop Splinters of Uul'Netol","Les monstres du groupe peuvent céder des Esquilles d'Uul'Netol","Gruppenmonster können Splitter von Uul'Netol fallen lassen","パックモンスターはウール・ネトルスプリンターをドロップする可能性がある","무리 몬스터가 일정 확률로 울네톨의 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos de Uul'Netol","Из монстров группы могуть выпасть осколки Уул'Нетол","Los monstruos del grupo pueden arrojar astillas de Uul'Netol","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดอูล'เนโทล ได้","怪物群可能掉落烏爾尼多裂片",0,0
6,4943,490,"Pack monsters can drop Splinters of Chayula","Les monstres du groupe peuvent céder des Esquilles de Chayula","Gruppenmonster können Splitter von Chayula fallen lassen","パックモンスターはチャユラスプリンターをドロップする可能性がある","무리 몬스터가 일정 확률로 차율라의 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos de Chayula","Из монстров группы могуть выпасть осколки Чаюлы","Los monstruos del grupo pueden arrojar astillas de Chayula","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดชายูล่า ได้","怪物群可能掉落夏烏拉裂片",0,0
7,4944,491,"Pack monsters reward Sulphite on death","Les monstres du groupe octroient du Sulfite en mourant","Gruppenmonster gewähren Sulfit bei Tod","パックモンスターは死亡時にサルファイトを報酬として与える","무리 몬스터가 사망 시 아황산염을 보상으로 줌","Monstros do grupo dão Sulfito ao morrer","Монстры группы даруют сульфит при смерти","Los monstruos del grupo otorgan sulfito al morir","มอนสเตอร์ในกองให้ ซัลไฟต์ เมื่อตาย","怪物群死亡時獎勵硫酸",0,0
8,4945,492,"Pack Monsters can drop Karui Tattoos","Les monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
9,4946,493,"Pack Monsters can drop Karui Tattoos","Les monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
