"rownum","Id","StartNode","PassiveFrameNormal","PassiveFrameCanAllocate","PassiveFrameActive","PassiveFrameMask","NotableFrameNormal","NotableFrameCanAllocate","NotableFrameActive","NotableFrameMask","SocketFrameNormal","SocketFrameCanAllocate","SocketFrameActive","SocketFrameMask"
0,"Default","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallAllocated","","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeAllocated","","","","",""
1,"DescendancyAzmeri","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AzmeriPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/Azmeri/AzmeriPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AzmeriPassiveSkillScreenAscendancyFrameLargeMask.dds","Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketNormal","Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketCanAllocate","Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/AnimalCharmSocketMask.dds"
2,"DescendancyTrialmaster","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/ArchitectofChaosPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/ArchitectofChaosPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
3,"DescendancyOshabi","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/DaughterofOshabiPassiveSkillScreenAscendancyFrameSmallMasl.dds","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/DaughterofOshabiPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
4,"DescendancyKingInTheMists","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AzmeriPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/DaughterofOshabiPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
5,"DescendancyCatarina","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/LichPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/LichPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
6,"DescendancyAul","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/PrimordialKnightPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/PrimordialKnightPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
7,"DescendancyLycia","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/HeraldPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/HeraldPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
8,"DescendancyOlroth","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/RunesmithPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/RunesmithPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
9,"DescendancyFarrul","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AnimistPassiveSkillScreenAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AnimistPassiveSkillScreenAscendancyFrameLargeMask.dds","","","",""
