"rownum","MtxTypeGameSpecific","i32_16","i32_20"
0,4870,30,105
1,4869,160,105
2,4769,150,131
3,4753,0,0
4,4872,30,105
5,4871,160,105
6,4790,150,131
7,4799,160,105
8,4709,15,3
9,4708,95,62
10,4710,200,0
11,4707,5,0
12,4874,160,131
13,4826,30,105
14,4825,160,105
15,4764,150,131
16,4863,210,234
17,4875,180,234
18,4859,150,131
19,4829,120,131
20,4787,250,131
21,4794,0,160
22,4793,0,160
23,4850,160,105
24,4830,120,131
25,4734,175,131
26,4789,200,131
27,4817,30,105
28,4820,160,105
29,4819,60,211
30,4880,0,0
31,4703,15,62
32,4702,25,62
33,4706,1100,235
34,4704,550,338
35,4699,65,62
36,4698,45,62
37,4788,450,340
38,4705,550,340
39,4750,0,0
40,4759,180,131
41,4721,0,0
42,4720,0,0
43,4719,0,0
44,4718,0,0
45,4717,0,0
46,4798,160,105
47,4781,150,131
48,4805,0,160
49,4758,150,131
50,4800,150,0
51,4873,160,0
52,4756,180,131
53,4757,100,131
54,4768,80,62
55,4836,320,211
56,4791,150,131
57,4742,80,62
58,4865,0,0
59,4866,0,0
60,4864,0,0
61,4852,30,105
62,4779,0,0
63,4824,160,0
64,4765,0,0
65,4853,160,105
66,4854,30,105
67,4795,30,105
68,4841,0,0
69,4755,150,131
70,4762,0,0
71,4761,0,0
72,4715,0,0
73,4714,0,0
74,4713,0,0
75,4712,0,0
76,4711,0,0
77,4804,0,0
78,4879,30,105
79,4818,30,105
80,4821,160,105
81,4806,160,105
82,4802,30,105
83,4840,0,0
84,4855,160,105
85,4856,30,105
86,4803,1,160
87,4813,0,0
88,4782,160,131
89,4754,120,131
90,4816,0,0
91,4797,0,0
92,4831,120,131
93,4783,190,235
94,4844,160,0
95,4832,160,235
96,4823,160,0
97,4730,0,0
98,4770,0,0
99,4772,0,0
100,4771,0,0
101,4774,0,0
102,4773,0,0
103,4727,0,0
104,4784,0,0
105,4766,220,235
106,4696,50,62
107,4695,20,62
108,4697,0,0
109,4694,45,62
110,4693,15,62
111,4692,55,62
112,4691,25,62
113,4725,250,235
114,4743,150,131
115,4733,250,131
116,4842,0,0
117,4845,0,0
