"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[1381,1344,1359,1,1]","[1381,1381,1,1]","[1381,1344,1359,1,1]","[1381,1381,1,1]","[1381,1344,1359,1,1]","[1381,1381,1,1]","[1381,1344,1359,1,1]","[1381,1381,1,1]","[1381,1344,1359,1,1]","[1381,1381,1,1]","[1381,1344,1359,1,1]","[1381,1381,1,1]",1343,"[1381,1344,1359,1,1]","[1381,1381,1,1]"
1,"Descent2","[1740,7,846]","[1740,11,12,12,845]","[1740,7,846]","[1740,11,12,12,845]","[1619,1739,1621,7,846,1888]","[1619,1739,1621,11,12,12,845,1888]","[1737,7,846,1899,1894]","[1737,11,12,12,845,1899,1894]","[1746,7,846,1899,1894]","[1746,11,12,12,845,1899,1894]","[1746,1740,7,846,1894]","[1746,1740,11,12,12,845,1894]",1344,"[1740,1746,7,846,1894]","[1740,1746,11,12,12,845,1894]"
2,"Descent3","[11,16,11,16,1345,1360,792,793,794,742,742,716,553,553,863]","[11,16,11,16,1345,1360,792,793,794,742,743,744,716,553,553,863]","[11,16,11,16,1345,1360,792,793,794,742,742,500,470,691,666]","[11,16,11,16,1345,1360,792,793,794,742,743,744,500,470,691,666]","[11,16,11,16,1345,1360,792,793,794,742,742,500,500,609,1399]","[11,16,11,16,1345,1360,792,793,794,742,743,744,500,500,609,1399]","[11,16,11,16,1345,1360,792,793,794,742,742,411,411,382,382]","[11,16,11,16,1345,1360,792,793,794,742,743,744,411,411,382,382]","[11,16,11,16,1345,1360,792,793,794,742,742,382,382,581,581]","[11,16,11,16,1345,1360,792,793,794,742,743,744,382,382,581,581]","[11,16,11,16,1345,1360,792,793,794,742,742,581,581,638]","[11,16,11,16,1345,1360,792,793,794,742,743,744,581,581,638]",1345,"[11,16,11,16,1345,1360,792,793,794,742,742,581,581,691,470,470]","[11,16,11,16,1345,1360,792,793,794,742,743,744,581,581,691,470,470]"
3,"Descent4","[791,11,15,1,1,1,1764,1624]","[7,7,1764,1624]","[791,11,15,1,1,1,1764,1624]","[7,7,1764,1624]","[791,11,15,1,1,1,1627,1630,1624]","[7,7,1630,1627,1624]","[791,11,15,1,1,1,1627,1633,1630,1773,1903]","[7,7,1627,1630,1633,1773,1903]","[791,11,15,1,1,1,1633,1627,1630,1903]","[7,7,1630,1633,1627,1903]","[791,11,15,1,1,1,1633,1624,1764]","[7,7,1624,1633,1764]",1346,"[791,11,15,1,1,1,1630,1633,1624]","[7,7,1624,1633,1630]"
4,"Descent5","[1598,0,0,0,0,7,2]","[1598,0,0,0,0,11,12,12,12,12,16,16]","[1598,0,0,0,0,7,2,1612]","[1598,0,0,0,0,11,12,12,12,12,16,16,1612]","[1860,1612,0,0,0,0,7,2]","[1860,1612,0,0,0,0,11,12,12,12,12,16,16]","[1682,0,0,0,0,7,2,1874,1724]","[1874,0,0,0,0,11,12,12,12,12,16,16,1682,1724]","[1682,1874,0,0,0,0,7,2,1724]","[1682,1874,0,0,0,0,11,12,12,12,12,16,16,1724]","[1874,0,0,0,0,7,2,1682,1870,1598]","[1598,1870,0,0,0,0,11,12,12,12,12,16,16,1874,1682]",1347,"[1874,0,0,0,0,7,2,1598,1682]","[1598,0,0,0,0,11,12,12,12,12,16,16,1682,1874]"
5,"Descent6","[747,1601,1346,1361,7,7,1908]","[747,1346,1361,1601,12,12,12,12,16,16,1908]","[747,1601,1346,1361,1770,7,7,1908]","[747,1770,1346,1361,1601,12,12,12,12,16,16,1908]","[747,1693,1770,1346,1361,1710,7,7]","[747,1770,1710,1346,1361,1693,12,12,12,12,16,16]","[747,1775,1346,1361,1793,1801,7,7,1902,1890]","[747,1346,1361,1793,1801,1775,12,12,12,12,16,16,1902,1890]","[747,1711,1346,1361,1801,1704,1597,7,7,1902,1890]","[747,1597,1346,1361,1704,1801,1711,12,12,12,12,16,16,1902,1890]","[747,1704,1346,1361,1597,1601,1766,7,7,1908]","[747,1346,1361,1601,1597,1704,1766,12,12,12,12,16,16,1908]",1348,"[747,1346,1361,1704,1601,7,7,1908]","[747,1346,1361,1704,1601,12,12,12,12,16,16,1908]"
6,"Descent7","[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,555,555,864,717]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,555,555,864,717]","[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,667,692,502,471]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,667,692,502,471]","[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,611,502,502,1399]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,7,611,502,502,1399]","[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,383,383,413,413]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,383,383,413,413]","[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,383,383,583,583]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,383,383,583,583]","[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,583,583,639]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,583,583,639]",1349,"[0,0,0,0,22,22,22,22,22,21,21,20,20,2,7,583,583,471,471,692]","[0,0,0,0,22,22,21,21,21,21,21,20,20,2,7,583,583,471,471,692]"
7,"Descent8","[1849,1606,1744,746,748,798,799,797,2,7,12]","[1849,1606,1744,746,748,798,799,797,13,13,11,11,11,12]","[1849,1606,1744,746,748,798,799,797,2,7,12]","[1849,1606,1744,746,748,13,13,11,11,11,12,798,799,797]","[1849,1850,1613,1744,746,748,798,799,797,2,7,12]","[1849,1850,1613,1744,746,748,13,13,11,11,11,12,798,799,797]","[1851,1850,1744,746,748,798,799,797,2,7,12]","[1851,1850,1744,746,748,13,13,11,11,11,12,798,799,797]","[1851,1850,746,748,798,799,797,2,7,12]","[1851,1850,746,748,13,13,11,11,11,12,798,799,797]","[1849,1851,1606,746,748,798,799,797,2,7,12]","[1849,1851,1606,746,748,13,13,11,11,11,12,798,799,797]",1350,"[1850,1851,1849,746,748,798,799,797,2,7,12]","[1850,1851,1849,746,748,13,13,11,11,11,12,798,799,797]"
8,"Descent9","[5,5,5,7,7,847,1058,1264,962,1181,1668,1347,1362,1625,1701,5]","[845,0,0,0,7,7,718,556,865,1625,1701,1347,1362,1668,556,0]","[5,5,5,7,7,847,1119,1306,1002,1224,1668,1347,1362,1625,1701,5]","[845,0,0,0,7,7,693,503,1701,1625,1347,1362,1668,668,473,0]","[5,5,5,7,7,847,1079,1278,976,1196,1799,1347,1362,1625,1701,1668,5]","[845,0,0,0,7,7,612,1399,1701,1625,1347,1362,503,503,1799,1668,0]","[5,5,5,7,7,847,1159,1326,1035,1244,1694,1347,1362,1671,1882,5]","[845,0,0,0,7,7,846,414,414,1671,1882,1347,1362,1694,384,384,0]","[5,5,5,7,7,847,1099,1292,989,1210,1671,1347,1362,1694,5]","[845,0,0,0,7,7,846,1694,1347,1362,1671,384,384,584,584,0]","[5,5,5,7,7,847,1139,1316,1018,1234,1671,1668,1347,1362,1625,1694,1701,5]","[845,0,0,0,7,7,846,584,584,1694,1701,1347,1362,1625,1668,1671,640,0]",1351,"[5,5,5,7,7,847,1119,1306,1002,1224,1671,1668,1347,1362,1694,1625,1701,5]","[845,0,0,0,7,7,693,1694,1625,1347,1362,1671,1701,1668,584,584,473,473,0]"
9,"Descent10","[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]","[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]","[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]","[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]","[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]","[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]",1352,"[22,22,21,21,20,20,22,22,21,21,20,20]","[22,22,21,21,20,20,11,12,12,15]"
