"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32_48","MiscAnimatedKey","i32_68","i32_72","[i32]_76","[i32]_92","[i32]_108","[i32]_124","[i32]_140","[i32]_156","i32_172","i32_176","[i32]_180","MonsterVarietiesKey2"
0,7663,0,0,0,[3102],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7664,0,0,0,[3103],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7665,0,0,0,[3102],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7666,0,0,0,[3103],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7667,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7677,0,1,0,[3102],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7680,0,1,1,[3106],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7683,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7687,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7690,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7695,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7696,2,0,0,[3107],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7700,2,1,1,[3110],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7703,2,1,0,[3109],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7708,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7711,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7714,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7719,3,0,0,[3115],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7722,3,0,0,[3115],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7728,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7729,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7732,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7738,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7741,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7745,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7744
25,7748,4,0,0,[3113],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7749,4,0,0,[3113],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7750,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7760,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7761,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7768,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7771,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7774,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7777,1,0,0,[3117],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7778,1,0,0,[3117],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7779,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7789,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7793,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7796,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7798,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7801,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7804,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7807,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7668,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7669,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7670,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7671,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7672,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7684,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7685,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7686,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7697,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7706,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7707,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7725,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7726,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7735,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7736,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7737,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7751,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7752,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7753,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7762,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7763,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7780,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7781,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7782,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7790,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7794,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7799,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7800,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
71,10504,5,0,0,[3115],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
72,10538,5,0,0,[3115],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
73,10532,5,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
74,10527,5,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
75,10497,5,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
76,10473,5,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
