"rownum","Id","Animation","EffectPack","Stat","MiscObject","string_72","Script","string_88","SoundEffect"
0,"MTXBlackStarRing",6582,"",16481,"","","","",1
1,"MTXFieryLevelUp",6543,"",16375,"","","","",""
2,"MTXSkeletonLevelUp","",678,19994,1422,"","Delay( 1.5, {PlayEffect('Metadata/Effects/Microtransactions/char_level_up/Supernova/supernova.ao');});","",""
3,"MTXFlyingParadeTwilightLevelUp","","",20796,"","","Delay( 1.0, { DoRandom(\r\n\t\t\t{\r\n\t\t\t\tlocal parade = PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/FlyingParade/TwilightOrderHarpy1.ao' );\r\n\t\t\t},\r\n\t\t\t{\r\n\t\t\t\tlocal parade = PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/FlyingParade/TwilightOrderHarpy2.ao' );\r\n\t\t\t},\r\n\t\t\t{\r\n\t\t\t\tlocal parade = PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/FlyingParade/TwilightOrderHarpy3.ao' );\r\n\t\t\t},\r\n\t\t\t{\r\n\t\t\t\tlocal parade = PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/FlyingParade/TwilightOrderHarpy4.ao' );\r\n\t\t\t} );\r\n} );\t\t\t\r\nPlayEffectAttached( 'Metadata/Effects/Microtransactions/char_level_up/FlyingParade/fx/ao/fireworks.ao' );","",""
4,"MTXDeshretsBlessingLevelUp","",727,21137,"","","","",""
5,"MTXValkyrieWingsLevelUp","",730,21144,"","","","",1
6,"MTXBloodyLevelUp",7822,"",21726,"","","AddEffectPack( 'MicrotransactionBloodyLevelup' );","",""
7,"MTXGildedLevelUp",7823,"",21727,"","","Delay( 0.9, { \r\n\t\t\t\tRemoveEffectPack( 'Metadata/Effects/Microtransactions/char_level_up/MidasTouch/gold/epk/level_up.epk' ); \r\n\t\t\t\tAddEffectPack( 'Metadata/Effects/Microtransactions/char_level_up/MidasTouch/gold/epk/level_up.epk' ); \r\n\t\t\t} );","",""
8,"MTXCrystalLevelUp",7824,"",21728,"","","Delay( 0.5, { \r\n\t\t\t\tRemoveEffectPack( 'Metadata/Effects/Microtransactions/char_level_up/MidasTouch/crystal/epk/crystal_lvlup.epk' ); \r\n\t\t\t\tAddEffectPack( 'Metadata/Effects/Microtransactions/char_level_up/MidasTouch/crystal/epk/crystal_lvlup.epk' ); \r\n\t\t\t} );","",""
9,"MTXMagicNatureLevelUp","","",22180,"","","PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/MagicNature/magicnature_lvlup.ao');","",""
10,"MTXVerminSwarmLevelUp","",764,22296,"","","","",""
11,"MTXTimeFreezeLevelUp",7959,"",22355,"","","","",""
12,"MTXBloodHowlLevelUp","","",22411,"","","PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/blood_howl/blood_howl_lvlup.ao' );","",1
13,"MTXPhoenixRebirthLevelUp","",788,22499,"","","DetachAllOfType( 'Metadata/Effects/Microtransactions/char_level_up/Phoenix/PhoenixWings.ao' );\r\nAddAttached( 'Metadata/Effects/Microtransactions/char_level_up/Phoenix/PhoenixWings.ao', wings_attachment, 1.0, 0, false, true );","",1
14,"MTXGhostLevelUp",7988,791,22546,"","","","",1
15,"MTXChronoLevelUp","",828,23064,"","","Delay( 1.4, { PlayTextAudio( ZarokhBoss_Godvoice_Sekhema_Random, 'Metadata/Monsters/FaridunLeague/Zarokh/Zarokh' ); } );","",1
16,"MTXKaruiAncestralLevelUp","",830,23103,"","","","",1
17,"MTXSacredTreeLevelUp","","",23110,"","","PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/SpiritWalker/spiritwalker_lvl_up.ao' );","",1
18,"MTXKingintheMistsLevelUp","",847,23333,"","","Delay( 1.6, { PlayEffect( 'Metadata/Effects/Microtransactions/char_level_up/KingInTheMists/kinginthemist_levelup.ao' ); } );","",1
19,"MTXVerisiumLevelUp","",850,23345,1829,"","","",1
