"rownum","ItemClass","i32_16","bool_20"
0,0,100,1
1,1,100,1
2,2,100,1
3,4,100,1
4,5,100,1
5,6,100,1
6,7,100,1
7,8,100,1
8,9,100,1
9,10,100,1
10,11,100,1
11,12,100,1
12,13,100,1
13,14,100,1
14,15,100,1
15,16,100,1
16,17,100,1
17,18,100,1
18,19,100,1
19,20,100,1
20,21,100,1
21,22,100,1
22,23,100,1
23,24,100,1
24,25,100,1
25,26,100,1
26,32,100,1
27,33,100,1
28,34,100,1
29,37,200,1
30,41,150,""
31,46,33,1
32,50,100,1
33,56,100,1
34,57,100,1
35,65,33,1
36,70,33,1
37,71,100,1
38,73,33,1
39,81,100,1
40,83,100,1
41,84,100,1
42,91,100,1
43,97,33,1
44,99,33,1
