"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsDropDisabled"
0,8691,1169,120,79,"","g","Vaults of Atziri","La Salle des coffres d'Atziri","Atziris Gewölbe","アッツィリの宝物庫","앗지리의 금고실","Relíquias de Atziri","Сокровищница Атзири","Cámaras de Atziri","Vaults of Atziri","阿茲里的秘寶庫",""
1,9791,1147,171,149,"","Ç","Maelstrom of Chaos","Le Maelstrom du Chaos","Mahlstrom des Chaos","混沌の渦","혼돈의 마엘스트롬","Turbilhão do Caos","Вихрь хаоса","Vorágine de Caos","Maelstrom of Chaos","混沌之淵",""
2,9810,1204,175,153,"","Å","The Coward's Trial","L'Épreuve du couard","Die Prüfung des Feiglings","臆病者の試練","겁쟁이의 시험","Julgamento do Covarde","Испытание труса","La Prueba del Cobarde","The Coward's Trial","懦者的試驗",""
3,9853,1221,177,159,"","Ô","Acton's Nightmare","Le Cauchemar d'Acton","Actons Albtraum","アクトンの悪夢","액턴의 악몽","Pesadelo de Acton","Кошмар Актоны","La Pesadilla de Acton","Acton's Nightmare","輪迴的夢魘",""
4,9886,1189,207,191,"","ß","Poorjoy's Asylum","L'Asile de Poorjoy","PoorJoys Zuflucht","プアジョイの収容所","푸어조이의 은신처","Hospício de Poorjoy","Богадельня Паршута","Asilo de Poorjoy","Poorjoy's Asylum","沉淪之間",""
5,9903,1176,230,209,"","À","Mao Kun","Mao Kun","Mao Kun","マオ・クン","마오 쿤","Mao Kun","Мао Кун","Mao Kun","Mao Kun","賊窩",""
6,9907,1226,234,213,"","#","Oba's Cursed Trove","Le Trésor maudit d'Oba","Obas verfluchter Schatz","オバの呪われた財宝","오바의 저주받은 전리품","Tesouro Maldito de Oba","Проклятый клад Обы","Tesoro Maldito de Oba","Oba's Cursed Trove","歐霸的咒怨寶庫",""
7,9967,1159,237,216,"","$","Olmec's Sanctum","Le Sanctuaire d'Olmec","Olmecs Heiligtum","オルメカの聖所","올멕의 지성소","Santuário Omeca","Святилище Ольмека","Santuario de Olmec","Olmec's Sanctum","遠古之印",""
8,9968,1178,238,217,1,"","Untainted Paradise","Paradis immaculé","Unberührtes Paradies","汚れなき楽園","때묻지 않은 낙원","Paraíso Intocado","Нетронутый рай","Paraiso Prístino","Untainted Paradise","純淨樂園",""
9,10121,1228,324,303,"","¿","Death and Taxes","La Mort et les Impôts","Der sichere Tod","死と税金","죽음과 의무","Morte e Impostos","Смерть и налоги","Muerte e Impuestos","Death and Taxes","亡者之財",""
10,10288,1119,386,394,"","È","Whakawairua Tuahu","Whakawairua Tuahu","Whakawairua Tuahu","ファカワイルア・トゥアーフ","와카와 투아후","Whakawairua Tuahu","Вакавайруа Туаху","Whakawairua Tuahu","Whakawairua Tuahu","禁閉祭壇",""
11,11041,1207,409,417,1,"Ù","Hall of Grandmasters","L'Assemblée des Grands maîtres","Die Halle der Großmeister","グランドマスターの殿堂","명인의 전당","Salão dos Grão-Mestres","Зал великих мастеров","Salón de los Grandes Maestros","Hall of Grandmasters","元帥殿堂",""
12,11042,1173,610,577,1,"²","The Vinktar Square","La Place de Vinktar","Der Vinktar-Platz","ヴィンクターの広場","빙타 광장","A Praça Vinktar","Площадь Винктара","La Plaza de Vinktar","The Vinktar Square","維克塔廣場",""
