"rownum","BaseItemTypesKey","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,1343,"Small Life Flask",1,70,0,30,"",[],30,[]
1,1344,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,1345,"Large Life Flask",1,250,0,35,"",[],35,[]
3,1346,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,1347,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,1348,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,1349,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,1350,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,1351,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,1352,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,1353,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,1354,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,1355,"Small Life Flask",1,70,0,40,"",[],40,[]
13,1356,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,1357,"Large Life Flask",1,200,0,60,"",[],60,[]
15,1358,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,1359,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,1360,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,1361,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,1362,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,1363,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,1364,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,1365,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,1366,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,1367,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,1368,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,1369,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,1370,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,1371,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,1372,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,1373,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,1374,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,1375,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,1376,"Diamond Flask",4,0,0,60,115,[100],40,[100]
34,1377,"Ruby Flask",4,0,0,80,116,"[40,5]",55,"[40,5]"
35,1378,"Sapphire Flask",4,0,0,80,117,"[40,5]",55,"[40,5]"
36,1379,"Topaz Flask",4,0,0,80,118,"[40,5]",55,"[40,5]"
37,1380,"Granite Flask",4,0,0,60,119,[1500],40,[1500]
38,1381,"Quicksilver Flask",4,0,0,60,120,[40],20,[40]
39,1382,"Amethyst Flask",4,0,0,65,121,[35],45,[35]
40,1383,"Quartz Flask",4,0,0,60,122,"[1,10]",40,"[1,10]"
41,1384,"Jade Flask",4,0,0,60,123,[1500],40,[1500]
42,1385,"Basalt Flask",4,0,0,80,124,[20],55,[20]
43,1386,"Aquamarine Flask",4,0,0,80,125,[-60],55,[-60]
44,1387,"Stibnite Flask",4,0,0,80,127,[20],55,[20]
45,1388,"Sulphur Flask",4,0,0,80,128,[40],55,[40]
46,1389,"Silver Flask",4,0,0,60,129,[],40,[]
47,1390,"Bismuth Flask",4,0,0,85,126,[35],55,[35]
48,1391,"Gold Flask",4,0,0,50,130,[30],35,[30]
49,1392,"Corundum Flask",4,0,0,75,1882,[30],50,[30]
50,1393,"Iron Flask",4,0,0,40,131,[200],25,[200]
