"rownum","Id","Icon","IsGeneric","Weight","row_21"
0,"Cold","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","",100,23
1,"LightningSkeletons","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","",100,24
2,"Physical","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","",100,25
3,"MinionSpiders","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","",100,26
4,"FireDogs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","",100,22
5,"GenericZombies","",1,100,21
6,"GenericRhoas","",1,100,21
7,"GenericDemons","",1,100,21
8,"GenericBandits","",1,100,21
9,"GenericTemplars","",1,100,21
10,"GenericGoatman","",1,100,21
11,"GenericSkeletons","",1,100,21
12,"GenericMonkeys","",1,100,21
13,"GenericUndying","",1,100,21
14,"GenericSeawitches","",1,100,21
15,"GenericBlackguard","",1,100,21
16,"GenericSnakes","",1,100,21
17,"GenericKitavaDemons","",1,100,21
18,"GenericCannibals","",1,100,21
19,"GenericGladiators","",1,100,21
20,"GenericCrabs","",1,100,21
21,"GenericBossOnly","",1,0,""
22,"BossOnlyFire","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","",0,""
23,"BossOnlyCold","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","",0,""
24,"BossOnlyLightning","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","",0,""
25,"BossOnlyPhysical","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","",0,""
26,"BossOnlyMinion","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","",0,""
27,"GigaChest","","",0,""
28,"Faridun","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFaridun","",0,29
29,"FaridunBossOnly","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFaridun","",0,""
