"rownum","UniqueMap","BaseItem","HASH16"
0,0,5300,56241
1,1,5300,37779
2,2,5300,9859
3,3,5300,5194
4,4,5300,62395
5,5,5300,39962
6,6,5300,59174
7,7,5300,52015
8,8,5300,57810
9,9,5300,34844
10,10,5300,19262
11,11,5300,58616
12,12,5300,32377
13,13,5300,30356
14,14,5300,2753
15,15,5300,17198
16,16,5300,31367
17,17,2899,19029
18,18,2900,9766
19,19,2901,61375
20,20,5300,56333
21,21,5300,9319
22,22,5300,43487
23,23,5300,59672
24,24,5300,44049
25,25,5300,41870
26,26,5300,23186
27,27,5300,52365
28,28,2902,40296
29,29,5300,2935
30,30,5300,63803
31,31,5300,59068
32,32,2903,32901
