"rownum","Id","Order","Width","Height","TotalCount","i32_24","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,41,2,"Flask","Flacons","Fläschchen","フラスコ","플라스크","Frascos","Флакон","Frasco","ขวดยา","藥劑",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",36,""
1,"Amulet",3,1,1,115,1,"Amulet","Amulettes","Amulett","アミュレット","목걸이","Amuletos","Амулет","Amuleto","สร้อย","項鍊",85,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",85,""
2,"Ring",4,1,1,132,1,"Ring","Bagues & Anneaux","Ring","指輪","반지","Anéis","Кольцо","Anillo","แหวน","戒指",100,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",100,""
3,"Claw",5,2,2,44,2,"Claw","Griffes","Klaue","鉤爪","클로","Garras","Коготь","Garra","กรงเล็บ","爪",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",6,1,3,25,3,"Dagger","Dagues","Dolch","短剣","단검","Adagas","Кинжал","Daga","มีด","匕首",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",7,1,3,27,3,"Wand","Baguettes","Zauberstab","ワンド","마법봉","Varinhas","Жезл","Varita","ไม้กายสิทธิ์","法杖",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",23,""
6,"Sword",8,2,3,138,3,"Sword","Épées","Schwert","剣","검","Espadas","Меч","Espada","ดาบ","劍",55,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",56,""
7,"Axe",9,2,4,66,4,"Axe","Haches","Axt","斧","도끼","Machados","Топор","Hacha","ขวาน","斧",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",10,2,4,120,4,"Mace","Masses","Streitkolben","メイス","철퇴","Maças","Булава","Maza","กระบอง","錘",49,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",51,""
9,"Bow",11,2,4,70,4,"Bow","Arcs","Bogen","弓","활","Arcos","Лук","Arco","ธนู","弓",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",12,2,4,94,4,"Staff","Bâtons","Stab","スタッフ","지팡이","Cajados","Посох","Báculo","ไม้พลอง","長杖",37,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",37,""
11,"Quiver",13,2,3,54,3,"Quiver","Carquois","Köcher","矢筒","화살통","Aljavas","Колчан","Carcaj","ซองธนู","箭袋",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",21,""
12,"Belt",14,2,1,142,1,"Belt","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояс","Cinturón","เข็มขัด","腰帶",57,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",58,""
13,"Gloves",15,2,2,184,2,"Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",82,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",83,""
