"rownum","InfluenceMod","UpgradedMod","HighestTier"
0,15570,25795,1
1,15571,25796,1
2,15572,15573,""
3,15573,25797,1
4,15574,15575,""
5,15575,25798,1
6,15576,15577,""
7,15577,25799,1
8,15578,25800,1
9,15581,25801,1
10,15580,25802,1
11,15583,25803,1
12,15584,15585,""
13,15585,25804,1
14,15586,15587,""
15,15587,25805,1
16,15588,25806,1
17,15589,15590,""
18,15590,25807,1
19,15591,15592,""
20,15592,25808,1
21,15593,15594,""
22,15594,25809,1
23,15595,15596,""
24,15596,25810,1
25,15597,15598,""
26,15598,25811,1
27,15599,15600,""
28,15600,25812,1
29,15601,15602,""
30,15602,25813,1
31,15603,15604,""
32,15604,25814,1
33,15605,15606,""
34,15606,25815,1
35,15607,15608,""
36,15608,25816,1
37,21854,21855,""
38,21855,25817,1
39,21930,21931,""
40,21931,25818,1
41,21932,25819,1
42,21936,21937,""
43,21937,25822,1
44,21938,25823,1
45,21939,21940,""
46,21940,25824,1
47,21941,21942,""
48,21942,25825,1
49,21943,21944,""
50,21944,25826,1
51,21945,25827,1
52,21946,25828,1
53,21948,21949,""
54,21949,21950,""
55,21950,25830,1
56,21951,21952,""
57,21952,25831,1
58,21953,25832,1
59,21954,21955,""
60,21955,25833,1
61,21956,21957,""
62,21957,25834,1
63,21958,25835,1
64,21959,21960,""
65,21960,25836,1
66,21961,25837,1
67,21962,25838,1
68,21964,25840,1
69,21965,21966,""
70,21966,25841,1
71,21967,25842,1
72,21968,21969,""
73,21969,25843,1
74,21970,21971,""
75,21971,25844,1
76,21972,21973,""
77,21973,25845,1
78,21974,21975,""
79,21975,25846,1
80,21976,21977,""
81,21977,25847,1
82,21978,25849,1
83,21979,25850,1
84,21980,21981,""
85,21981,25851,1
86,21982,21983,""
87,21983,25852,1
88,21984,21985,""
89,21985,25853,1
90,21986,21987,""
91,21987,25854,1
92,15503,15504,""
93,15504,15505,""
94,15505,25855,1
95,15506,15507,""
96,15507,15508,""
97,15508,25856,1
