"rownum","BaseItemType","LeftArm","RightArm","SkillGem","i32_48","SkillAnimation","Achievement"
0,5147,"Metadata/Monsters/Daemon/GraftDaemon/GraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/GraftDaemonArmR.ao","",13,"",""
1,5148,"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_GraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_GraftDaemonArmR.ao",765,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolHandSlam.ais",11038
2,5150,"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_NailedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_NailedGraftDaemonArmR.ao",766,6,"",11039
3,5152,"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedArmourGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedArmourGraftDaemonArmR.ao",767,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolImpaleBuff.ais",11040
4,5154,"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedGraftDaemonArmR.ao",768,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolLowLifeBuff.ais",11041
5,5156,"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_GraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_GraftDaemonArmR.ao",761,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophMoltenShell.ais",11042
6,5158,"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_NailedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_NailedGraftDaemonArmR.ao",762,1,"",11043
7,5160,"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedArmourGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedArmourGraftDaemonArmR.ao",763,4,"",11044
8,5162,"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedGraftDaemonArmR.ao",764,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophAilmentBuff.ais",11045
9,5164,"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_GraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_GraftDaemonArmR.ao",769,1,"",11046
10,5166,"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_NailedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_NailedGraftDaemonArmR.ao",770,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/EshLightningClones.ais",11047
11,5168,"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedArmourGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedArmourGraftDaemonArmR.ao",771,1,"",11048
12,5170,"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedGraftDaemonArmR.ao",772,3,"",11049
13,5172,"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_GraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_GraftDaemonArmR.ao",773,1,"",11050
14,5174,"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_NailedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_NailedGraftDaemonArmR.ao",774,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/TulIceMortar.ais",11051
15,5176,"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedArmourGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedArmourGraftDaemonArmR.ao",775,5,"",11052
16,5178,"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedGraftDaemonArmL.ao","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedGraftDaemonArmR.ao",776,12,"",11053
