"rownum","Id","CraftFamily","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Script","ScriptArgument","HASH16","bool_38","Tier","bool_55","Achievement","bool_72","rid_73","i32_89"
0,"ChangeNormalGemIntoAlternateGemOfSameColour1",10,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Transfigured Gem} of the same colour","<white>{Transforme} une <white>{Gemme d'aptitude} en une <white>{Gemme transfigurée} aléatoire de même couleur","<white>{Verwandelt} eine <white>{Fertigkeitengemme} in eine zufällige <white>{verwandelte Gemme} derselben Farbe","<white>{スキルジェム}を同じ色のランダムな<white>{変容ジェム}に<white>{変化}させる","<white>{스킬 젬} 1개를 같은 색의 무작위 <white>{변성 젬}으로 <white>{변화}","<white>{Transforma} uma <white>{Gema de Habilidade} em uma <white>{Gema Transfigurada} da mesma cor aleatória","<white>{Преобразует} <white>{камень умения} в случайный <white>{преображённый камень} того же цвета","<white>{Transforma} una <white>{gema de habilidad} en una <white>{gema transfigurada} aleatoria del mismo color","<white>{แปร​สภาพ หิน​สกิล} ให้​เป็น​ <white>{หินเปลี่ยนโฉม} ที่​มี​สี​เดียว​กัน​เม็ด​หนึ่ง​แบบ​สุ่ม","<white>{轉化} 1 顆 <white>{技能寶石} 至 1 顆隨機同顏色的<white>{變異寶石}","change_gem_to_random_alternate_gem_of_same_colour","",26117,1,0,1,[],"",562,0
1,"ChangeNormalGemIntoAlternateGem1",9,"<white>{Transform} a <white>{non-Transfigured Skill Gem} to be a random <white>{Transfigured} version","<white>{Transforme} une <white>{Gemme d'aptitude non transfigurée} en une version <white>{Transfigurée} aléatoire","<white>{Verwandelt} eine <white>{nicht verwandelte Fertigkeitengemme} in eine zufällige <white>{verwandelte} Version","<white>{変容でないスキルジェム}をランダムな<white>{変容}バージョンに変化させる","<white>{비-변성 스킬 젬} 1개를 무작위 <white>{변성} 버전으로 <white>{변화}","<white>{Transforma} uma <white>{Gema de Habilidade não Transfigurada} em uma  versão <white>{Transfigurada} aleatória","<white>{Преобразует} <white>{не-преображённый камень умения} в его случайную <white>{преображённую} версию","<white>{Transforma} una <white>{gema de habilidad sin transfigurar} en una versión <white>{transfigurada} aleatoria","<white>{แปร​สภาพ หิน​สกิล​ที่​ไร้​การ​เปลี่ยน​โฉม} ให้​เป็น <white>{หิน​เปลี่ยนโฉม} ของ​หินเม็ด​นั้น​แบบสุ่ม ","<white>{轉化} 1 顆 <white>{非變異技能寶石} 至 1 顆隨機 <white>{變異} 版本","change_gem_to_alternate_gem","",-7111,"",1,"",[],1,562,0
2,"AddGemExperienceCruel1",1,"Add 3m experience to a <white>{Gem}","Ajoute 3m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 3m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を3m追加する","<white>{젬}에 경험치 3,000,000 추가","Adiciona 3m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 3м опыта","Agrega 3 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 3 ล้าน ให้​กับ <white>{หิน}","新增 300 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","3000000",12176,"",0,"",[],"",562,1
3,"AddGemExperienceCruel2",1,"Add 5m experience to a <white>{Gem}","Ajoute 5m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 5m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を5m追加する","<white>{젬}에 경험치 5,000,000 추가","Adiciona 5m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 5м опыта","Agrega 5 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 5 ล้าน ให้​กับ <white>{หิน}","新增 500 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","5000000",11863,"",0,"",[],"",562,1
4,"AddGemExperienceMerciless1",1,"Add 15m experience to a <white>{Gem}","Ajoute 15m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 15m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を15m追加する","<white>{젬}에 경험치 15,000,000 추가","Adiciona 15m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 15м опыта","Agrega 15 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 15 ล้าน ให้​กับ <white>{หิน}","新增 1500 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","15000000",-30425,"",0,"",[],"",562,1
5,"AddGemExperienceMerciless2",1,"Add 30m experience to a <white>{Gem}","Ajoute 30m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 30m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を30m追加する","<white>{젬}에 경험치 30,000,000 추가","Adiciona 30m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 30м опыта","Agrega 30 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 30 ล้าน ให้​กับ <white>{หิน}","新增 3000 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","30000000",6745,"",0,"",[],"",562,1
6,"AddGemExperienceMerciless3",1,"Add 50m experience to a <white>{Gem}","Ajoute 50m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 50m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を50m追加する","<white>{젬}에 경험치 50,000,000 추가","Adiciona 50m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 50м опыта","Agrega 50 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 50 ล้าน ให้​กับ <white>{หิน}","新增 5000 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","50000000",31873,"",0,"",[],"",562,1
7,"AddGemExperienceMerciless4",1,"Add 75m experience to a <white>{Gem}","Ajoute 75m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 75m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を75m追加する","<white>{젬}에 경험치 75,000,000 추가","Adiciona 75m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 75м опыта","Agrega 75 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 75 ล้าน ให้​กับ <white>{หิน}","新增 7500 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","75000000",-8863,"",1,"",[],"",562,1
8,"AddGemExperienceUber1",1,"Add 30m experience to a <white>{Gem}","Ajoute 30m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 30m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を30m追加する","<white>{젬}에 경험치 30,000,000 추가","Adiciona 30m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 30м опыта","Agrega 30 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 30 ล้าน ให้​กับ <white>{หิน}","新增 3000 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","30000000",17232,"",0,"",[],"",562,1
9,"AddGemExperienceUber2",1,"Add 50m experience to a <white>{Gem}","Ajoute 50m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 50m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を50m追加する","<white>{젬}에 경험치 50,000,000 추가","Adiciona 50m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 50м опыта","Agrega 50 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 50 ล้าน ให้​กับ <white>{หิน}","新增 5000 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","50000000",2301,"",0,"",[],"",562,1
