"rownum","Id","Set","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Qualifier","Qualifier (French)","Qualifier (German)","Qualifier (Japanese)","Qualifier (Korean)","Qualifier (Portuguese)","Qualifier (Russian)","Qualifier (Spanish)","Qualifier (Thai)","Qualifier (Traditional Chinese)"
0,"SmallStrength",[1],"Small Strength","Mineur de Force","Kleine Stärke-Passive","スモール筋力","소형 힘","Pequena de Força","силы","fuerza pequeña","Strength เล็ก","小型力量","","","","","","","","","",""
1,"SmallDexterity",[2],"Small Dexterity","Mineur de Dextérité","Kleine Geschick-Passive","スモール器用さ","소형 민첩","Pequena de Destreza","ловкости","destreza pequeña","Dexterity เล็ก","小型敏捷","","","","","","","","","",""
2,"SmallIntelligence",[3],"Small Intelligence","Mineur d'Intelligence","Kleine Intelligenz-Passive","スモール知性","소형 지능","Pequena de Inteligência","интеллекта","inteligencia pequeña","Intelligence เล็ก","小型智慧","","","","","","","","","",""
3,"SmallAnyAttribute","[1,2,3]","Small Attribute","Mineur d'Attribut","Kleine Attribut-Passive","スモール能力値","소형 능력치","Pequena de Atributo","характеристик","atributos pequeña","ค่าคุณสมบัติเล็ก","小型能力","","","","","","","","","",""
4,"BigStrength",[4],"Notable","Éminent","Bedeutende Passive mit","ノータブル","주요","Notável","значимое","notable","กลาง","核心天賦","+30 to Strength","+30 de Force","+30 zu Stärke","筋力 +30","힘 +30","+30 de Força","+30 к силе","+30 de fuerza","Strength +30","+30 力量"
5,"BigDexterity",[5],"Notable","Éminent","Bedeutende Passive mit","ノータブル","주요","Notável","значимое","notable","กลาง","核心天賦","+30 to Dexterity","+30 de Dextérité","+30 zu Geschick","器用さ +30","민첩 +30","+30 de Destreza","+30 к ловкости","+30 de destreza","Dexterity +30","+30 敏捷"
6,"BigIntelligence",[6],"Notable","Éminent","Bedeutende Passive mit","ノータブル","주요","Notável","значимое","notable","กลาง","核心天賦","+30 to Intelligence","+30 d'Intelligence","+30 zu Intelligenz","知性 +30","지능 +30","+30 de Inteligência","+30 к интеллекту","+30 de inteligencia","Intelligence +30","+30 智慧"
7,"Keystone",[7],"Keystone","Charnière","Schlüsselfertigkeit","キーストーン","핵심노드","Passiva Fundamental","ключевое","piedra angular","คีย์สโตน","關鍵天賦","","","","","","","","","",""
8,"Mastery",[8],"Mastery","Maîtrise","Meisterschaft","マスタリー","숙련","Maestria","мастерства","maestría","ความชำนาญ","專精","","","","","","","","","",""
9,"Ascendancy",[9],"Ascendancy Notable","Talent d'Ascendance","Bedeutende Aszendenzpassive","アセンダンシーノータブル","전직 주요 스킬","Notável de Ascendência","Восхождения (значимое)","notable de ascendencia","พาสซีฟกลางคลาสเสริม","昇華天賦","","","","","","","","","",""
