"rownum","BaseItemTypesKey","HeistAreasKey","AreaLevel"
0,3922,0,45
1,3923,1,0
2,3924,2,0
3,3925,3,0
4,3944,0,0
5,3926,4,0
6,3927,5,0
7,3928,6,45
8,3929,7,0
9,3930,8,0
10,3945,1,0
11,3946,8,0
12,3947,1,0
13,3948,7,0
14,3949,3,0
15,3950,0,0
16,3951,5,0
17,3952,2,0
18,3953,2,0
19,3954,7,0
20,3955,8,0
21,3956,3,0
22,3957,0,0
23,3958,0,0
24,3959,2,0
25,3960,7,0
26,3961,4,0
27,3962,7,0
28,3963,7,0
29,3964,0,0
30,3965,1,0
31,3966,1,0
32,3967,3,0
33,3968,1,0
34,3969,7,0
35,3970,1,0
36,3971,8,0
37,3972,8,0
38,3973,2,81
39,3974,8,0
40,3975,8,0
41,3976,8,0
42,3977,8,81
