"rownum","Id","string_8","i32_16","string_20","string_20 (French)","string_20 (German)","string_20 (Japanese)","string_20 (Korean)","string_20 (Portuguese)","string_20 (Russian)","string_20 (Spanish)","string_20 (Thai)","string_20 (Traditional Chinese)","i32_28","i32_32","i32_36","rid_40","i32_56","rid_60","i32_76","i32_80","[rid]_84","[i32]_100","row_116","bool_124","[rid]_125","bool_141"
0,"SandyEnd1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_End_01.arm",4,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
1,"SandyEnd2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_End_02.arm",2,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
2,"SandyEnd3","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_End_03.arm",8,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
3,"SandyEnd4","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_End_04.arm",1,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
4,"SandyStraight1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_St_01.arm",5,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
5,"SandyStraight2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_St_02.arm",10,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
6,"SandyStraight3","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_St_03.arm",5,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
7,"SandyStraight4","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_St_04.arm",10,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
8,"SandyCorner1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_Cnr_01.arm",9,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
9,"SandyCorner2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_Cnr_02.arm",6,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
10,"SandyCorner3","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_Cnr_03.arm",12,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
11,"SandyCorner4","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_Cnr_04.arm",3,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",3,5,[],[],"","","[11734,11755]",""
12,"SandyT1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_T_01.arm",13,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",3,5,[],[],"","","[11734,11755]",""
13,"SandyT2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_T_02.arm",14,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",3,5,[],[],"","","[11734,11755]",""
14,"SandyT3","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_T_03.arm",7,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",3,5,[],[],"","","[11734,11755]",""
15,"SandyT4","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_T_04.arm",11,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
16,"SandyCross1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_All_01.arm",15,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",4,6,[],[],"","","[11734,11755]",""
17,"SandyCross2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_All_02.arm",15,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",3,5,[],[],"","","[11734,11755]",""
18,"SandyCross3","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Generic_All_03.arm",15,"Abyssal Plain","Plaine abyssale","Tiefseeebene","深海平原","심연의 평야","Planície Abissal","Глубоководное плато","Llanura abisal","ที่ราบอะบิส","深海平原",0,0,0,0,8,"",3,5,[],[],"","","[11734,11755]",""
19,"SandyAnchorField1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Anchors_01.arm",15,"Anchorfield","Champ d'ancres","Ankerfeld","錨海域","정박장","Ancoradouro","Поле якорей","Zona de anclas","ทุ่งสมอ","定錨點",0,0,0,0,8,"",3,5,[23026],[1],"",1,"[11565,11698]",""
20,"SandyAnchorField2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Anchors_02.arm",15,"Anchorfield","Champ d'ancres","Ankerfeld","錨海域","정박장","Ancoradouro","Поле якорей","Zona de anclas","ทุ่งสมอ","定錨點",0,0,0,0,8,"",3,5,[23026],[1],"",1,"[11565,11698]",""
21,"SandyBathyspheres1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Bathyspheres_01.arm",10,"Infested Bathyspheres","Bathysphères infestées","Infizierte Taucherglocken","寄生された潜水球","감염된 잠수구","Esferas de Banho Infestadas","Заражённые батисферы","Batisferas infestadas","เครื่องประดาน้ำติดเชื้อ","感染潛水球",0,0,0,0,8,"",3,5,[],[],"",1,"[11732,11753]",""
22,"SandyBathyspheres2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Bathyspheres_02.arm",10,"Infested Bathyspheres","Bathysphères infestées","Infizierte Taucherglocken","寄生された潜水球","감염된 잠수구","Esferas de Banho Infestadas","Заражённые батисферы","Batisferas infestadas","เครื่องประดาน้ำติดเชื้อ","感染潛水球",0,0,0,0,8,"",3,5,[],[],"",1,"[11732,11753]",""
23,"SandyFishy1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_Fishy_01.arm",11,"Unremarkable Seabed","Fond marin quelconque","Unauffälliger Meeresboden","特徴のない海底","평범한 해저","Fundo do Mar Anódino","Непримечательное дно","Fondo marino común","ก้นทะเลธรรมดา","平凡海床",0,0,0,0,8,"",4,6,[],[],"",1,[],""
24,"SandyHazardBoat1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_HazardBoat_01.arm",11,"Hazardous Depths","Profondeurs dangereuses","Gefährliche Tiefen","危険な深み","위태한 지하","Profundezas Ameaçadoras","Опасные глубины","Profundidades peligrosas","เบื้องลึกมหาภัย","危機海淵",0,0,0,0,8,"",4,6,[],[],"",1,"[11731,11752]",""
25,"SandyLostShipment1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_LostShipment_01.arm",15,"Lost Shipment","Cargaison perdue","Verlorene Schiffsladung","失われた積み荷","사라진 수송품","Carregamento Perdido","Потерянный груз","Cargamento perdido","สินค้าที่สาบสูญ","遺失貨運",0,0,0,0,8,"",4,6,[],[],"",1,[],""
26,"SandyLostShipment2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_LostShipment_02.arm",15,"Lost Shipment","Cargaison perdue","Verlorene Schiffsladung","失われた積み荷","사라진 수송품","Carregamento Perdido","Потерянный груз","Cargamento perdido","สินค้าที่สาบสูญ","遺失貨運",0,0,0,0,8,"",4,6,[],[],"",1,[],""
27,"SandyStoneCircle1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_StoneCircle_01.arm",5,"Runes of the Deep","Runes des Profondeurs","Runen der Tiefe","深海のルーン","심해의 룬","Runas das Profundezas","Руны в глубине","Runas de las profundidades","อักขระในเบื้องลึก","潮淵符文",0,0,0,0,8,"",4,6,[],[],"",1,[],""
28,"SandyStoneCircle2","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_StoneCircle_02.arm",5,"Runes of the Deep","Runes des Profondeurs","Runen der Tiefe","深海のルーン","심해의 룬","Runas das Profundezas","Руны в глубине","Runas de las profundidades","อักขระในเบื้องลึก","潮淵符文",0,0,0,0,8,"",4,6,[],[],"",1,[],""
29,"SandyCrashedShip1","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_CrashedShip_01.arm",9,"Kishara's Rest","Repos de Kishara","Kisharas Ruhestätte","キシャラの安息所","키샤라의 안식처","Jazigo de Kishara","Могила Кишары","Descanso de Kishara","จุดจบของคิชาร่า","奇夏拉安眠地",0,0,0,0,0,"",4,6,[],[],30,1,[],""
30,"SandyCrashedShipArena","Metadata/Terrain/Leagues/Deepwater/BiomeSand/Rooms/Sand_CrashedShip_Arena.arm",9,"Kishara's Rest","Repos de Kishara","Kisharas Ruhestätte","キシャラの安息所","키샤라의 안식처","Jazigo de Kishara","Могила Кишары","Descanso de Kishara","จุดจบของคิชาร่า","奇夏拉安眠地",0,0,0,0,0,"",4,6,[23270],[1],"",1,[],1
31,"CoralForestEnd1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_End_01.arm",4,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",4,6,[],[],"","","[11739,11760]",""
32,"CoralForestEnd2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_End_02.arm",4,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",4,6,[],[],"","","[11739,11760]",""
33,"CoralForestStraight1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_St_01.arm",5,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",4,6,[],[],"","","[11739,11760]",""
34,"CoralForestStraight2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_St_02.arm",5,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
35,"CoralForestCorner1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_Cnr_01.arm",12,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
