"rownum","Id","MonsterPacksKey","Flag","Weight","MonsterVarietiesKey","string_45"
0,"Monster1",619,1,80,2806,""
1,"Monster2",619,1,20,2845,""
2,"Monster3",620,1,8,2848,""
3,"Monster4",620,1,40,2845,""
4,"Monster5",620,1,40,2806,""
5,"Monster6",620,1,8,2812,""
6,"Monster7",620,1,4,2873,""
7,"Monster8",621,1,20,2848,""
8,"Monster9",621,1,20,2812,""
9,"Monster10",621,1,30,2806,""
10,"Monster11",621,1,30,2845,""
11,"Monster12",622,1,60,463,""
12,"Monster13",618,1,50,2812,""
13,"Monster14",618,1,50,2848,""
14,"Monster15",623,1,85,445,""
15,"Monster16",623,1,15,455,""
16,"Monster17",624,1,100,445,""
17,"Monster18",625,1,25,6349,""
18,"Monster19",625,1,25,6346,""
19,"Monster20",625,1,25,6347,""
20,"Monster21",625,1,25,6348,""
21,"Monster22",626,1,50,2845,""
22,"Monster23",626,1,50,2806,""
23,"Monster24",627,1,45,2845,""
24,"Monster25",627,1,45,2806,""
25,"Monster26",627,1,10,2873,""
26,"Monster27",629,1,100,567,""
27,"Monster28",630,1,50,692,""
28,"Monster29",630,1,50,576,""
29,"Monster30",631,1,50,692,""
30,"Monster31",631,1,50,664,""
31,"Monster32",632,1,100,721,""
32,"Monster33",633,1,25,290,""
33,"Monster34",633,1,75,246,""
34,"Monster35",634,1,100,338,""
35,"Monster36",635,"",12,953,""
36,"Monster37",636,"",12,953,""
37,"Monster38",637,"",1,3614,""
38,"Monster39",637,"",1,3615,""
39,"Monster40",638,1,30,107,""
40,"Monster41",638,1,70,1001,""
41,"Monster42",639,1,100,399,""
42,"Monster43",640,1,70,59,""
43,"Monster44",640,1,30,6,""
44,"Monster45",641,1,100,59,""
45,"Monster46",642,1,100,123,""
46,"Monster47",643,1,100,56,""
47,"Monster48",644,1,33,655,""
48,"Monster49",644,1,33,626,""
49,"Monster50",644,1,34,673,""
50,"Monster51",645,1,40,998,""
51,"Monster52",645,1,60,1002,""
52,"Monster53",646,1,40,680,""
53,"Monster54",646,1,60,822,""
54,"Monster55",650,1,100,918,""
55,"Monster56",648,1,30,53,""
