"rownum","Id","Beam","i32_24","i32_28","Stat"
0,"divine_cry_weapon",[451],1,0,""
1,"divine_cry_weapon",[483],1,2,""
2,"divine_cry_weapon",[313],1,3,""
3,"storm_rain_beam",[456],3,0,""
4,"chain_strike",[189],3,0,""
5,"chain_strike",[458],3,1,""
6,"chain_strike",[190],3,2,""
7,"chain_strike",[458],3,3,""
8,"chain_strike_attach",[626],3,0,""
9,"chain_strike_attach",[627],3,1,""
10,"orb_of_storms",[29],1,0,""
11,"orb_of_storms",[70],1,1,""
12,"orb_of_storms",[459],1,2,""
13,"exsanguinate_beam",[431],1,0,""
14,"exsanguinate_beam_lite",[450],1,0,""
15,"exsanguinate_beam",[460],1,1,""
16,"exsanguinate_beam_lite",[461],1,1,""
17,"exsanguinate_beam",[503],1,2,""
18,"exsanguinate_beam_lite",[504],1,2,""
19,"earthshatter_spike_beam",[433],1,1,""
20,"earthshatter_spike_beam_ancestral",[434],1,1,12066
21,"arc",[3],1,0,""
22,"arc",[5],1,1,""
23,"arc",[4],1,2,""
24,"arc",[39],1,3,""
25,"arc",[6],1,4,""
26,"arc",[3],1,5,""
27,"arc",[97],1,6,""
28,"arc",[112],1,7,""
29,"arc",[204],1,8,""
30,"arc",[205],1,9,""
31,"arc",[234],1,10,""
32,"arc",[322],1,11,""
33,"arc",[477],1,12,""
34,"arc",[495],1,13,""
35,"storm_brand_attached_beam",[114],3,0,""
36,"storm_brand_attached_beam",[202],3,1,""
37,"storm_brand_attached_beam",[479],3,2,""
38,"storm_brand_attack_beam",[115],3,0,""
39,"storm_brand_attack_beam",[203],3,1,""
40,"storm_brand_attack_beam",[480],3,2,""
41,"armageddon_attached_beam",[120],3,0,""
42,"armageddon_attached_beam",[479],3,2,""
43,"arcanist_brand_attached_beam",[271],3,0,""
44,"arcanist_brand_attached_beam",[479],3,2,""
45,"penance_brand_attached_beam",[273],3,0,""
46,"penance_brand_attached_beam",[479],3,2,""
47,"penance_brand_charge_beam",[274],3,0,""
48,"penance_brand_charge_beam",[481],3,2,""
49,"winter_brand_attached_beam",[281],3,0,""
50,"winter_brand_attached_beam",[479],3,2,""
51,"winter_brand_charge_beam",[292],3,0,""
52,"winter_brand_charge_beam",[482],3,2,""
53,"tempest_shield_beam",[26],1,0,""
54,"tempest_shield_beam",[496],1,1,""
55,"tempest_shield_beam",[594],1,2,""
56,"soul_link_beam",[484],1,0,""
57,"flame_link_beam",[485],1,0,""
58,"remora_link_beam",[486],1,0,""
59,"bulwark_link_beam",[487],1,0,""
60,"trigger_link_beam",[488],1,0,""
61,"critical_link_beam",[489],1,0,""
62,"brand_surge_cast_beam",[297],1,0,""
63,"brand_surge_cast_beam",[490],1,1,""
64,"brand_surge_cast_beam",[491],1,2,""
65,"crackling_lance_main_beam",[320],1,0,""
66,"crackling_lance_main_beam",[389],1,1,""
67,"crackling_lance_main_beam",[492],1,2,""
68,"crackling_lance_final_beam",[362],1,0,""
69,"crackling_lance_final_beam",[390],1,1,""
