"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","XBoxText2 (French)","XBoxText2 (German)","XBoxText2 (Japanese)","XBoxText2 (Korean)","XBoxText2 (Portuguese)","XBoxText2 (Russian)","XBoxText2 (Spanish)","XBoxText2 (Thai)","XBoxText2 (Traditional Chinese)","HASH32","PlaystationText","PlaystationText (French)","PlaystationText (German)","PlaystationText (Japanese)","PlaystationText (Korean)","PlaystationText (Portuguese)","PlaystationText (Russian)","PlaystationText (Spanish)","PlaystationText (Thai)","PlaystationText (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)"
0,"GameName","Path of Exile","Path of Exile","Path of Exile","Path of Exile","패스 오브 엑자일","Path of Exile","Path of Exile","Path of Exile","Path of Exile","流亡黯道","","","","","","","","","","","","","","","","","","","","",1004783882,"","","","","","","","","","","","","","","","","","","",""
1,"Error","Error","Erreur","Fehler","エラー","오류","Erro","Ошибка","Error","ข้อผิดพลาด","錯誤","","","","","","","","","","","","","","","","","","","","",-614717203,"","","","","","","","","","","","","","","","","","","",""
2,"FatalError","Fatal Error","Erreur fatale","Kritischer Fehler","致命的エラー","치명적 오류","Erro Fatal","Критическая ошибка","Error fatal","ข้อผิดพลาดร้ายแรง","嚴重錯誤","","","","","","","","","","","","","","","","","","","","",-224906351,"","","","","","","","","","","","","","","","","","","",""
3,"Exception","Exception","Exception","Ausnahme","例外","예외","Exceção","Исключение","Excepción","ข้อยกเว้น","例外","","","","","","","","","","","","","","","","","","","","",-71182347,"","","","","","","","","","","","","","","","","","","",""
4,"PassiveInfoTotal","{0} total Passive Skill Points ({1} allocated)","{0} points de Talent passif au total ({1} d'attribués)","{0} passive Fertigkeitspunkte insgesamt ({1} zugewiesen)","{0} 合計パッシブポイント ({1} 割り当て済み)","총 패시브 스킬 포인트: {0}포인트 ({1}포인트 할당됨)","{0} Pontos de Habilidades Passivas totais - {1} alocado(s)","Всего очков пассивных умений: {0} (распределено: {1})","{0} punto(s) de habilidades pasivas total(es) ({1} asignado(s))","แต้มพาสซีฟทั้งหมด {0} แต้ม (อัพไปแล้ว {1} แต้ม)","共有 {0} 點天賦點數（{1} 點已分配）","","","","","","","","","","","","","","","","","","","","",-1164097975,"","","","","","","","","","","","","","","","","","","",""
5,"PassiveInfoLevel","{0} Passive Skill Points from character level","{0} points de Talent passif provenant du niveau du personnage","{0} passive Fertigkeitspunkte von Charakterstufe","{0} パッシブポイント - キャラクタのレベルから","캐릭터 레벨로 획득한 패시브 스킬 포인트: {0}포인트","{0} Pontos de Habilidade Passiva pelo nível do personagem","{0} от уровня героя","{0} puntos de habilidades pasivas de nivel de personaje","แต้มพาสซีฟ {0} แต้มจากเลเวลตัวละคร","角色等級所獲得的總天賦點數：{0}","","","","","","","","","","","","","","","","","","","","",1723688930,"","","","","","","","","","","","","","","","","","","",""
6,"PassiveInfoQuest","({1} from {0})","({1} pour « {0} »)","({1} von {0})","{1} - {0}","({0}(을)를 완료하여 {1}포인트 획득)","({1} de {0})","({1} от {0})","({1} de {0})","({1} แต้มจาก {0})","(+{1} 從 {0})","","","","","","","","","","","","","","","","","","","","",-2074398827,"","","","","","","","","","","","","","","","","","","",""
7,"PassiveInfoQuestTotal","{0} Passive Skill Points from quests:","{0} points de Talent passif provenant de quêtes :","{0} passive Fertigkeitspunkte von Quests:","{0} パッシブポイント - クエストから","퀘스트를 완료하여 획득한 패시브 스킬 포인트: {0}포인트","{0} Pontos de Habilidade Passiva por missões:","{0} от заданий:","{0} puntos de habilidades pasivas por misiones:","แต้มพาสซีฟ {0} แต้มจากเควสต์:","任務獲得總天賦點數：{0}","","","","","","","","","","","","","","","","","","","","",-1990231862,"","","","","","","","","","","","","","","","","","","",""
8,"PassiveInfoAscendancy","{0} total Ascendancy Skill Points ({1} allocated)","{0} points de Talent d'Ascendance au total ({1} d'attribués)","{0} Aszendenzfertigkeitspunkte insgesamt ({1} zugewiesen)","{0} 合計アセンダンシーポイント ({1} 割り当て済み)","총 전직 스킬 포인트: {0}포인트 ({1}포인트 할당됨)","{0} Pontos de Habilidade de Ascensão - {1} alocado(s)","{0} очков Восхождения ({1} использовано)","{0} punto(s) de habilidades de ascendencia total(es) ({1} asignado(s))","แต้มพาสซีฟคลาสเสริม ทั้งหมด {0} แต้ม (อัพไปแล้ว {1} แต้ม)","共有 {0} 點昇華點數（{1} 點已分配）","","","","","","","","","","","","","","","","","","","","",-451679174,"","","","","","","","","","","","","","","","","","","",""
9,"PassiveInfoAscendancySkills","{0} Passive Skill Points from Ascendancy Passive Skills","{0} points de Talent passif provenant de Talents d'Ascendance","{0} passive Fertigkeitspunkte von Aszendenzfertigkeiten","{0} パッシブポイント - アセンダンシーパッシブツリーから","전직 패시브 스킬의 패시브 스킬 포인트: {0}포인트","{0} Pontos de Habilidade Passiva pelas Habilidades Passivas de Ascensão","{0} от пассивных умений Восхождения","{0} puntos de habilidades pasivas de habilidades pasivas de ascendencia","แต้มพาสซีฟ {0} แต้มจากพาสซีฟคลาสเสริม","由昇華天賦中獲得 {0} 點天賦點數","","","","","","","","","","","","","","","","","","","","",-1880288459,"","","","","","","","","","","","","","","","","","","",""
10,"AtlasPassiveInfoTotal","{0} total Atlas Passive Skill points ({1} allocated)","{0} points de Talent de l'Atlas au total ({1} d'attribués)","{0} Atlas-Fertigkeitspunkte insgesamt ({1} zugewiesen)","{0} 合計アトラスパッシブポイント ({1} 割り当て済み)","총 아틀라스 패시브 스킬 포인트: {0}포인트 ({1}포인트 할당됨)","{0} Pontos totais de Passivas do Atlas ({1} alocados)","Всего очков пассивных умений Атласа: {0} (распределено: {1})","{0} puntos de habilidades pasivas del Atlas totales ({1} asignado(s))","แต้มพาสซีฟแอตลาสทั้งหมด {0} แต้ม (อัพไปแล้ว {1} แต้ม)","{0} 總輿圖天賦點（{1} 點已分配）","","","","","","","","","","","","","","","","","","","","",-1465115970,"","","","","","","","","","","","","","","","","","","",""
