"rownum","Original","HASH32","Replacement"
0,"Metadata/Terrain/Beach/SwampStream_Test/beachwaterfall_v01_01_animated_waterfall.ao",2544221087,"Metadata/Terrain/Beach/SwampStream_Test/beachwaterfall_v01_01_animated_waterfall_blood.ao"
1,"Metadata/Terrain/Beach/Transitions/BeachToWatercave_v2/Beach_to_watercave_v2_waterfall.ao",4002713441,"Metadata/Terrain/Beach/Transitions/BeachToWatercave_v2/Beach_to_watercave_v2_waterfall_blood.ao"
2,"Metadata/Terrain/Beach/Mudflats/waterdrop.ao",2716490697,"Metadata/Terrain/Beach/Mudflats/waterdrop_blood.ao"
3,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterdrips.ao",1346676573,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterdrips_blood.ao"
4,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterdripswide.ao",1201313142,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterdripswide_blood.ao"
5,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterfall_drips.ao",1666924854,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterfall_drips_blood.ao"
6,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterfall_drips1.ao",4024282997,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterfall_drips1_blood.ao"
7,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterfall_drips2.ao",2434440204,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterfall_drips2_blood.ao"
8,"Metadata/Terrain/Cave/Features/cave_water_drips_v01_01_animated_abyss_waterfall_drips.ao",3208057605,"Metadata/Terrain/Cave/Features/cave_wall_crevice_v01_03_animated_abyss_waterfall_blood.ao"
9,"Metadata/Terrain/Cave/Features/cave_wall_crevice_v01_03_animated_abyss_waterfall.ao",2080477417,"Metadata/Terrain/Cave/Features/cave_wall_crevice_v01_03_animated_abyss_waterfall_blood.ao"
10,"Metadata/Terrain/Cave/Features/cave_water_drips_v01_02_animated_abyss_waterfall_drips.ao",920991597,"Metadata/Terrain/Cave/Features/cave_water_drips_v01_02_animated_abyss_waterfall_drips_blood.ao"
11,"Metadata/Terrain/Cave/Features/cave_water_drips_v01_03_animated_abyss_waterfall_drips.ao",1664906414,"Metadata/Terrain/Cave/Features/cave_water_drips_v01_03_animated_abyss_waterfall_drips_blood.ao"
12,"Metadata/Effects/Spells/monsters_effects/act1/hazardcrab/bubbles.ao",827308067,"Metadata/Effects/Spells/monsters_effects/act1/hazardcrab/bubbles_blood.ao"
13,"Metadata/Effects/Spells/monsters_effects/act1/hazardcrab/splash.ao",3081234284,"Metadata/Effects/Spells/monsters_effects/act1/hazardcrab/splash_blood.ao"
14,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterdrips_thick.ao",1435254645,"Metadata/Terrain/Doodads/ForestCave/animated_forestcave_waterdrips_thick_blood.ao"
15,"Metadata/Terrain/Forest/Pools_FlowingWater/forestpool_flowingwater_dune_v01_01_forestdunewaterfall.ao",2713379969,"Metadata/Terrain/Forest/Pools_FlowingWater/forestpool_flowingwater_dune_v01_01_forestdunewaterfall_blood.ao"
