"rownum","Mtx","VisualEffect","VisualIdentity","Stats","ItemClasses","BaseItemTypes","bool_96","[i32]_97","[i32]_113","bool_129","Name","bool_146","[rid]_147","Character","GrantedEffect","OnKillEffect","rid_211","bool_227","EffectSlotType","VisualEffectType","bool_260","GameObjectTask","i32_277"
0,142,12,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
1,143,2,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
2,144,1,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
3,145,13,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
4,146,0,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
5,147,14,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
6,148,3,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
7,149,4,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
8,150,5,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
9,151,6,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
10,152,7,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
11,153,8,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
12,154,9,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
13,155,10,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
14,156,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
15,157,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
16,158,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
17,159,16,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
18,160,17,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],1,[],"",[],[],[],[],"","","","","","",0
19,161,18,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],1,[],"",[],[],[],[],"","","","","","",0
20,162,19,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],1,[],"",[],[],[],[],"","","","","","",0
21,163,20,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],1,[],"",[],[],[],[],"","","","","","",0
22,164,21,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
23,165,22,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
24,166,23,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
25,167,24,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
26,168,25,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
27,169,43,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],"",[],"",[],[],[],[],"","","","","","",0
28,71,"",4727,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
29,70,"",4726,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
30,67,"",4728,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
31,68,"",4729,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
32,69,"",4730,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
33,72,"",4731,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
34,73,"",4732,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
35,4687,"",4734,[],[25],[],1,[],[5],"",[],"",[],[],[],[],"","","","","","",0
36,74,"",4735,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
37,75,"",4736,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
38,76,"",4737,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
39,77,"",4738,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
40,78,"",4739,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
41,79,"",4741,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
42,80,"",4742,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
