"rownum","Id","MtxTypeGameSpecificKey","HASH32","HASH16","i32_30","bool_34","bool_35","[rid]_36","HideoutCategory","Skills","i32_84","rid_88","bool_104","bool_105","MiscObject","DropEffect"
0,"Metadata/Pet/Kiwi/Basic",4712,2086311012,59454,8,"","",[1],27,[],0,112,"",1,"",""
1,"Metadata/Pet/Kiwi/Bronze",4713,2209394070,11814,8,"","",[1],27,[],0,112,"",1,"",""
2,"Metadata/Pet/Kiwi/Silver",4714,1606067348,64302,8,"","",[1],27,[],0,112,"",1,"",""
3,"Metadata/Pet/Kiwi/Gold",4715,2280778810,27595,8,"","",[1],27,[],0,112,"",1,"",""
4,"Metadata/Pet/Kiwi/Diamond",4716,1142770207,3586,9,"","",[1],27,[],0,112,"",1,"",""
5,"Metadata/Pet/Basilisk/Green",4689,1328673223,48886,8,"","",[1],86,[],0,112,"",1,"",""
6,"Metadata/Pet/Basilisk/Infernal",4690,2189790376,3629,8,"","",[1],75,[],0,112,"",1,"",""
7,"Metadata/Pet/Basilisk/Spectral",4691,263865108,19630,8,"","",[1],86,[],0,112,"",1,"",""
8,"Metadata/Pet/Frog/Blue",4692,3809579721,29144,8,"","",[1],86,[],0,112,"",1,"",""
9,"Metadata/Pet/Frog/BlueCrown",4693,3774594314,24049,8,"","",[1],86,[],0,112,"",1,"",""
10,"Metadata/Pet/Frog/Green",4694,2709317093,17561,8,"","",[1],86,[],0,112,"",1,"",""
11,"Metadata/Pet/Frog/GreenCrown",4695,688166190,48170,8,"","",[1],86,[],0,112,"",1,"",""
12,"Metadata/Pet/Frog/Red",4696,809810393,35229,8,"","",[1],86,[],0,112,"",1,"",""
13,"Metadata/Pet/Frog/RedCrown",4697,3936072799,24260,8,"","",[1],86,[],0,112,"",1,"",""
14,"Metadata/Pet/Frog/Mysterious",4698,1997451470,51136,8,"","",[1],86,[],0,112,"",1,"",""
15,"Metadata/Pet/Scorpion/Black",4699,2086048261,61011,8,"","",[1],60,[],0,112,"",1,"",""
16,"Metadata/Pet/Scorpion/Chrome",4700,1182749051,5892,8,"","",[1],86,[],0,112,"",1,"",""
