"rownum","BaseItemType","ValueMulti","Client","Client (French)","Client (German)","Client (Japanese)","Client (Korean)","Client (Portuguese)","Client (Russian)","Client (Spanish)","Client (Thai)","Client (Traditional Chinese)"
0,4034,0.85,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
1,4035,0.85,"Tsvet Matvei","Tsvet Matveï","Tsvet Matvei","ツヴェット・マトヴェイ","츠베트 마트베이","Tsvet Matvei","Цвет Матвей","Tsvet Matvei","สเวต์ มัตเว","斯維．瑪菲伊"
2,4036,0.85,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
3,4037,0.85,"Count Geonor","Conte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Count Geonor","Граф Геонор","Conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵"
4,4038,0.85,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
5,4039,0.85,"The Midnight Tinkerer","L'Horloger de minuit","Der Mitternachtstüftler","真夜中の修理人","심야의 수선공","O Faz-Tudo da Meia Noite","Полуночный изобретатель","El inventor de medianoche","นักประดิษฐ์ราตรี","午夜匠師"
6,4040,0.85,"Aline Koltz","Aline Koltz","Aline Koltz","アリーン・コルツ","알린 콜츠","Aline Koltz","Алина Кольтц","Aline Koltz","อลีน โคล์ตส์","艾琳．科爾茲"
7,4041,0.85,"Tsvet Matvei","Tsvet Matveï","Tsvet Matvei","ツヴェット・マトヴェイ","츠베트 마트베이","Tsvet Matvei","Цвет Матвей","Tsvet Matvei","สเวต์ มัตเว","斯維．瑪菲伊"
8,4042,0.85,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administradora Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
9,4043,0.85,"Count Geonor","Conte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Conde Geonor","Граф Геонор","Conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵"
