"rownum","Id","Audio","[i32]_24","VolumePercentage","QuestFlag1","QuestFlag2","i32_76","i32_80"
0,"Tarkleigh1","[""Audio/Dialogue/NPC/Tarkleigh/GreetA_01.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetA_02.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetA_03.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetA_04.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetB_01.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetB_02.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetB_03.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetC_01.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetC_02.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetC_03.ogg"",""Audio/Dialogue/NPC/Tarkleigh/GreetC_04.ogg""]",[],100,"","",1770,1770
1,"Tarkleigh2","[""Audio/Dialogue/NPC/Tarkleigh/ByeA_01.ogg"",""Audio/Dialogue/NPC/Tarkleigh/ByeA_02.ogg"",""Audio/Dialogue/NPC/Tarkleigh/ByeA_03.ogg"",""Audio/Dialogue/NPC/Tarkleigh/ByeB_01.ogg"",""Audio/Dialogue/NPC/Tarkleigh/ByeB_02.ogg"",""Audio/Dialogue/NPC/Tarkleigh/ByeB_03.ogg""]",[],100,"","",1770,1770
2,"Nessa1","[""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_01.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_02.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_03.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_04.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_05.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_06.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_07.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_08.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_09.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Greet_10.ogg""]",[],100,"","",1770,1770
3,"Nessa2","[""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_01.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_02.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_03.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_04.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_05.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_06.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_07.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_08.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_09.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_10.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_11.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_12.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_13.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_14.ogg"",""Audio/Dialogue/NPC/Nessa/Ne_01_Bye_15.ogg""]",[],100,"","",1770,1770
4,"Bestel1","[""Audio/Dialogue/NPC/Bestel/B08a.ogg"",""Audio/Dialogue/NPC/Bestel/B08b.ogg"",""Audio/Dialogue/NPC/Bestel/B08c.ogg"",""Audio/Dialogue/NPC/Bestel/B08d.ogg"",""Audio/Dialogue/NPC/Bestel/B08e.ogg"",""Audio/Dialogue/NPC/Bestel/B08f.ogg"",""Audio/Dialogue/NPC/Bestel/B08g.ogg"",""Audio/Dialogue/NPC/Bestel/B08h.ogg"",""Audio/Dialogue/NPC/Bestel/B08i.ogg"",""Audio/Dialogue/NPC/Bestel/B08j.ogg"",""Audio/Dialogue/NPC/Bestel/B08k.ogg"",""Audio/Dialogue/NPC/Bestel/B08l.ogg""]",[],100,"","",1770,1770
5,"Act1Fairgraves2","[""Audio/Dialogue/NPC/Fairgraves/Fairgraves_farewell1.ogg"",""Audio/Dialogue/NPC/Fairgraves/Fairgraves_farewell2.ogg"",""Audio/Dialogue/NPC/Fairgraves/Fairgraves_farewell3.ogg""]",[],100,"",63,1770,1770
6,"Eramir1","[""Audio/Dialogue/NPC/Eramir/Eramir_Greet_01.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_02.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_03.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_04.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_05.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_07.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_08.ogg"",""Audio/Dialogue/NPC/Eramir/Eramir_Greet_09.ogg"",""Audio/Dialogue/NPC/Eramir/E02d_01.ogg"",""Audio/Dialogue/NPC/Eramir/E02d_02.ogg"",""Audio/Dialogue/NPC/Eramir/E02d_03.ogg"",""Audio/Dialogue/NPC/Eramir/E02e_01.ogg"",""Audio/Dialogue/NPC/Eramir/E02e_02.ogg"",""Audio/Dialogue/NPC/Eramir/E02f_01.ogg"",""Audio/Dialogue/NPC/Eramir/E02f_02.ogg""]",[],100,"","",1770,1770
7,"Eramir2","[""Audio/Dialogue/NPC/Eramir/E02g_01.ogg"",""Audio/Dialogue/NPC/Eramir/E02g_02.ogg"",""Audio/Dialogue/NPC/Eramir/E02g_03.ogg"",""Audio/Dialogue/NPC/Eramir/E02h_01.ogg"",""Audio/Dialogue/NPC/Eramir/E02h_02.ogg"",""Audio/Dialogue/NPC/Eramir/E02i_01.ogg"",""Audio/Dialogue/NPC/Eramir/E02i_02.ogg"",""Audio/Dialogue/NPC/Eramir/E02i_03.ogg""]",[],100,"","",1770,1770
8,"Yeena1","[""Audio/Dialogue/NPC/Yeena/Y_Greet_01.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_02.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_03.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_04.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_05.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_06.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_07.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_08.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_09.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_10.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_11.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_12.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_13.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_14.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_15.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_16.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_17.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_18.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_19.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_20.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_21.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Greet_22.ogg""]",[],100,"","",1770,1770
9,"Yeena2","[""Audio/Dialogue/NPC/Yeena/Y_Bye_01.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_02.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_03.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_04.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_05.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_06.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_07.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_08.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_09.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_10.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_11.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_12.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_13.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_14.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_15.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_16.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_17.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_18.ogg"",""Audio/Dialogue/NPC/Yeena/Y_Bye_19.ogg""]",[],100,"","",1770,1770
