"rownum","Id","HASH16","ModTypeKey","Level","StatsKey1","StatsKey2","StatsKey3","StatsKey4","Domain","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GenerationType","Families","Stat1Min","Stat1Max","Stat2Min","Stat2Max","Stat3Min","Stat3Max","Stat4Min","Stat4Max","SpawnWeight_TagsKeys","SpawnWeight_Values","TagsKeys","GrantedEffectsPerLevelKeys","[rid]_222","MonsterMetadata","MonsterKillAchievements","ArchnemesisType","Stat5Min","Stat5Max","StatsKey5","FullAreaClear_AchievementItemsKey","AchievementItemsKey","GenerationWeight_TagsKeys","GenerationWeight_Values","ModifyMapsAchievements","IsEssenceOnlyModifier","Stat6Min","Stat6Max","StatsKey6","MaxLevel","bool_411","CraftingItemClassRestrictions","MonsterOnDeath","i32_436","HeistAchievements","Heist_SubStatValue1","Heist_SubStatValue2","Heist_StatsKey0","Heist_StatsKey1","Heist_AddStatValue1","Heist_AddStatValue2","InfluenceTypes","ImplicitTagsKeys","bool_524","i32_525","i32_529","i32_533","i32_537","i32_541","i32_545","i32_549","i32_553","i32_557","i32_561","i32_565","i32_569","i32_573","i32_577","i32_581","i32_585","BuffTemplate1","ArchnemesisMinionMod","HASH32","BuffTemplate2","GameMode","GrantedEffectRuthless","bool_653"
0,"Strength1",22100,375,1,576,"","","",1,"of the Brute","de la Brute","des Wüstlings","蛮人の","- 짐승","do Bruto","силача","<if:MS>{del bruto}<elif:FS>{del bruto}<elif:MP>{del bruto}<elif:FP>{del bruto}","of the Brute","野蠻之",2,[118],8,12,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3406667097,[],0,[],""
1,"Strength2",53672,375,11,576,"","","",1,"of the Wrestler","du Lutteur","des Ringers","レスラーの","- 씨름꾼","do Rixador","борца","<if:MS>{del luchador }<elif:FS>{del luchador }<elif:MP>{del luchador }<elif:FP>{del luchador }","of the Wrestler","摔角手之",2,[118],13,17,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1447528431,[],0,[],""
2,"Strength3",27615,375,22,576,"","","",1,"of the Bear","de l'Ours","des Bären","熊の","- 곰","do Urso","медведя","<if:MS>{del oso}<elif:FS>{del oso}<elif:MP>{del oso}<elif:FP>{del oso}","of the Bear","熊之",2,[118],18,22,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",472807409,[],0,[],""
3,"Strength4",49948,375,33,576,"","","",1,"of the Lion","du Lion","des Löwen","ライオンの","- 사자","do Leão","льва","<if:MS>{del león }<elif:FS>{del león }<elif:MP>{del león }<elif:FP>{del león }","of the Lion","獅子之",2,[118],23,27,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",730523798,[],0,[],""
4,"Strength5",34513,375,44,576,"","","",1,"of the Gorilla","du Gorille","des Gorillas","ゴリラの","- 고릴라","do Gorila","гориллы","<if:MS>{del gorila}<elif:FS>{del gorila}<elif:MP>{del gorila}<elif:FP>{del gorila}","of the Gorilla","大猩猩之",2,[118],28,32,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",712944815,[],0,[],""
5,"Strength6",7645,375,55,576,"","","",1,"of the Goliath","du Goliath","des Goliaths","巨躯の","- 골리앗","do Golias","голиафа","<if:MS>{del goliat}<elif:FS>{del goliat}<elif:MP>{del goliat}<elif:FP>{del goliat}","of the Goliath","巨人之",2,[118],33,37,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4083281596,[],0,[],""
6,"Strength7",13917,375,66,576,"","","",1,"of the Leviathan","du Léviathan","des Giganten","リヴァイアサンの","- 레비아탄","do Leviatã","левиафана","<if:MS>{del leviatán }<elif:FS>{del Lleviatán }<elif:MP>{del leviatán }<elif:FP>{del leviatán }","of the Leviathan","海獸之",2,[118],38,42,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1034750960,[],0,[],""
7,"Strength8",4242,375,74,576,"","","",1,"of the Titan","du Titan","des Titanen","タイタンの","- 거신","do Titã","титана","<if:MS>{del titán }<elif:FS>{del titán }<elif:MP>{del titán }<elif:FP>{del titán }","of the Titan","泰坦之",2,[118],43,50,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2080074601,[],0,[],""
8,"Strength9",49770,375,82,576,"","","",1,"of the Gods","des Dieux","der Götter","神々の","- 신들","dos Deuses","богов","<if:MS>{de los dioses}<elif:FS>{de los dioses}<elif:MP>{de los dioses}<elif:FP>{de los dioses}","of the Gods","眾神之",2,[118],51,55,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,500,500,333,500,1000,500,500,500,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1757850284,[],0,[],""
9,"Strength10",18858,375,85,576,"","","",1,"of the Godslayer","du Déicide","des Gottesmörders","神殺しの","- 신 살해자","do Deicida","богоубийцы","<if:MS>{del asesino de dioses}<elif:FS>{del asesino de dioses}<elif:MP>{del asesino de dioses}<elif:FP>{del asesino de dioses}","of the Godslayer","弒神之",2,[118],56,60,0,0,0,0,0,0,"[26,0]","[1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[633],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2127116131,[],0,[],""
