"rownum","string_0","rid_8","i32_24","i32_28","rid_32","i32_48"
0,"str0",575,6,21,42,0
1,"str10",575,11,40,79,0
2,"str20",575,16,58,117,0
3,"str30",575,22,77,154,0
4,"str40",575,27,96,192,0
5,"str50",575,32,115,229,0
6,"str60",575,37,133,267,0
7,"str70",575,43,152,304,0
8,"str80",575,48,171,342,0
9,"str90",575,53,190,379,0
10,"str100",575,58,208,417,0
11,"dex0",581,6,21,42,0
12,"dex10",581,11,40,79,0
13,"dex20",581,16,58,117,0
14,"dex30",581,22,77,154,0
15,"dex40",581,27,96,192,0
16,"dex50",581,32,115,229,0
17,"dex60",581,37,133,267,0
18,"dex70",581,43,152,304,0
19,"dex80",581,48,171,342,0
20,"dex90",581,53,190,379,0
21,"dex100",581,58,208,417,0
22,"int0",578,6,21,42,0
23,"int10",578,11,40,79,0
24,"int20",578,16,58,117,0
25,"int30",578,22,77,154,0
26,"int40",578,27,96,192,0
27,"int50",578,32,115,229,0
28,"int60",578,37,133,267,0
29,"int70",578,43,152,304,0
30,"int80",578,48,171,342,0
31,"int90",578,53,190,379,0
32,"int100",578,58,208,417,0
33,"armour0",117,0,0,0,0
34,"armour10",117,5,10,15,0
35,"armour20",117,10,20,30,0
36,"armour30",117,15,30,45,0
37,"armour40",117,20,40,60,0
38,"armour50",117,25,50,75,0
39,"armour60",117,30,60,90,0
40,"armour70",117,35,70,105,0
41,"armour80",117,40,80,120,0
42,"armour90",117,45,90,135,0
43,"armour100",117,50,100,150,0
44,"evasion0",120,0,0,0,0
45,"evasion10",120,5,10,15,0
46,"evasion20",120,10,20,30,0
47,"evasion30",120,15,30,45,0
48,"evasion40",120,20,40,60,0
49,"evasion50",120,25,50,75,0
50,"evasion60",120,30,60,90,0
51,"evasion70",120,35,70,105,0
52,"evasion80",120,40,80,120,0
53,"evasion90",120,45,90,135,0
54,"evasion100",120,50,100,150,0
55,"energyshield0",135,0,0,0,0
56,"energyshield10",135,3,5,8,0
57,"energyshield20",135,5,10,15,0
58,"energyshield30",135,8,15,23,0
59,"energyshield40",135,10,20,30,0
60,"energyshield50",135,13,25,38,0
61,"energyshield60",135,15,30,45,0
62,"energyshield70",135,18,35,53,0
63,"energyshield80",135,20,40,60,0
64,"energyshield90",135,23,45,68,0
65,"energyshield100",135,25,50,75,0
66,"liferegen0",453,0,0,0,0
67,"liferegen10",453,6,9,12,0
68,"liferegen20",453,12,18,24,0
69,"liferegen30",453,18,27,36,0
70,"liferegen40",453,24,36,48,0
71,"liferegen50",453,30,45,60,0
72,"liferegen60",453,36,54,72,0
73,"liferegen70",453,42,63,84,0
74,"liferegen80",453,48,72,96,0
75,"liferegen90",453,54,81,108,0
76,"liferegen100",453,60,90,120,0
77,"rechargerate0",139,0,0,0,0
78,"rechargerate10",139,3,5,8,0
79,"rechargerate20",139,5,10,15,0
