"rownum","Id","rid_8","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Art","i32_40","i32_44","i32_48","i32_52","i32_56"
0,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaFirestormDaemon","","Bombard the Hiveborn","Bombarder les Ruchenés","Bombardiert die Schwarmgeborenen","ハイヴボーンを爆撃する","벌레집 태생 폭격","Bombardeia os Nascidos da Colmeia","Бомбардировать порождения","Bombardear a los nacidos de la colmena","ระเบิดปูพรมไปยังสมุนรวงรัง","轟擊巢裔","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconMeteorRain",0,0,0,20,59
1,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaFlameWallDaemon","","Conjure a wall of the Dreamer's Flame","Conjurer un mur de la Flamme du Rêveur","Beschwört eine Mauer aus der Flamme des Träumers","夢見人の炎の壁を呼び出す","몽상가의 불길의 벽 생성","Conjura uma parede da Chama do Sonhador","Создать стену пламени Спящего","Invocar un muro de llamas del Soñador","เสกกำแพงเพลิงของผู้ฝันใฝ่","以幻夢者之焰施放一堵牆","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconFlameWall",0,0,0,25,50
2,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaFreezePulseDaemon","","Freeze and Hinder the Hiveborn","Geler et Entraver les Ruchenés","Friert die Schwarmgeborenen ein und lähmt sie","ハイヴボーンを凍結し阻害する","벌레집 태생 동결 및 이동 방해","Congela e tolhe os Nascidos da Colmeia","Заморозить и сковать порождения","Congelar y entumecer a los nacidos de la colmena","แช่แข็งและขัดขวางสมุนรวงรัง","冰凍並阻礙巢裔","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconChaosIcePulse",0,0,0,20,59
3,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaDecoyTotemDaemon","","Distract the Hiveborn with a Decoy","Détourner l'attention des Ruchenés avec un Leurre","Täuscht die Schwarmgeborenen mit einem Köder","ハイヴボーンの注意をデコイで引く","미끼로 벌레집 태생 교란","Distrai os Nascidos da Colmeia com um chamariz","Отвлечь порождения приманкой","Distraer a los nacidos de la colmena con un señuelo","หลอกล่อสมุนรวงรังด้วยตัวล่อ","以誘餌引開巢裔注意","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconDecoy",0,0,0,20,59
4,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAilithHealDaemon","","Heal Ailith","Soigner Ailith","Heilt Ailith","エイリスを回復する","아일리트 치유","Cura a Ailith","Излечить Эйлит","Curar a Ailith","รักษาเอลิธ","治癒艾里絲","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconHeal",0,0,0,20,40
5,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAilithShieldDaemon","","Grant Ailith a Shield","Octroyer un Bouclier à Ailith","Gewährt Ailith einen Schild","エイリスに盾を付与する","아일리트에게 보호막 부여","Concede um escudo para a Ailith","Даровать Эйлит щит","Otorgar un escudo a Ailith","มอบโล่ให้กับเอลิธ","為艾里絲施加護盾","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconShield",0,0,0,20,40
6,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaEnhancedFlameAuraDaemon","","Gain an Enhanced Flame","Obtenir une Flamme améliorée","Erhaltet eine verstärkte Flamme","強化された炎を獲得する","향상된 불길 획득","Ganha uma Chama Melhorada","Усилить Пламя","Obtener una llama mejorada","รับเพลิงเสริมฤทธิ์","獲得強化之焰","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconEnhancedAura",0,0,0,20,59
7,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaMinefieldDaemon","","Summons Grasping Hands","Invoque des Mains agrippantes","Beschwört klammernde Hände","掴む手を召喚する","거머쥐는 손 소환","Invoca Mãos Constringentes","Призвать цепкие руки","Invocar manos acechantes","เรียกมือเหนี่ยวรั้ง","召喚虛弱之握","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconTrap",0,0,0,20,59
8,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaWallDestructionDaemon","","Destroy the Hive walls around Ailith\r\n<italic>{(this skill is removed at wave 4)}","Détruire les murs de Ruche autour d'Ailith\r\n<italic>{(cette aptitude disparaîtra à la vague 4)}","Zerstört die Schwarmmauern um Ailith herum\r\n<italic>{(diese Fertigkeit wird bei Welle 4 entfernt)}","エイリスの周囲のハイヴの壁を破壊する\r\n<italic>{(このスキルはウェーブ4で取り除かれる)}","아일리트 주위의 벌레집 파괴\r\n<italic>{(이 스킬은 웨이브 4에 제거됨)}","Destrói as paredes da colmeia ao redor de Ailith\r\n <italic>{(a habilidade é removida na quarta leva)}","Уничтожить стены улья вокруг Эйлит\r\n<italic>{(это умение исчезнет на 4 волне)}","Destruir los muros de la colmena alrededor de Ailith <italic>{(Esta habilidad desaparece en la oleada 4)}","ทำลายกำแพงรวงรังรอบเอลิธ\r\n<italic>{(สกิลนี้จะถูกลบออกเมื่อเข้ารอบที่ 4)}","破壞所有艾里絲周遭的巢裔之牆\r\n<italic>{(此技能會於第4波時移除)}","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconWallDestruction",0,0,0,10,15
9,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaEnrageHivebornDameon","","Enrage the Hiveborn","Enrager les Ruchenés","Erzürnt die Schwarmgeborenen","ハイヴボーンを激怒させる","벌레집 태생 격앙","Enfurece os Nascidos da Colmeia","Разъярить порождения","Enfurecer a los nacidos de la colmena","ทำให้สมุนรวงรังเดือดดาล","激怒巢裔","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconEnrageMonster",0,0,0,10,59
