"rownum","GrantedEffectsKey","StatsKeys","StatsValuesPermille","[rid]_48","[rid]_64"
0,0,[18548],[150],[],[]
1,1,[18548],[100],[],[]
2,2,[18548],[100],[],[]
3,3366,[18548],[150],[],[]
4,68,[18548],[150],[],[]
5,69,[18548],[150],[],[]
6,70,[19333],[4000],[],[]
7,80,[18548],[150],[],[]
8,113,[3641],[2000],[],[]
9,114,[3641],[2000],[],[]
10,115,[3641],[2000],[],[]
11,121,[22310],[150],[],[]
12,122,[358],[25000],[],[]
13,123,[5827],[200],[],[]
14,191,[5479],[50],[],[]
15,192,[20828],[50],[],[]
16,193,[5479],[50],[],[]
17,12228,[5479],[50],[],[]
18,216,[179],[1000],[],[]
19,217,[179],[1000],[],[]
20,218,[179],[1000],[],[]
21,268,[3396],[2000],[],[]
22,280,[8090],[1000],[],[]
23,281,[8590],[2000],[],[]
24,282,[19370],[200],[],[]
25,292,[8064],[250],[],[]
26,293,[8064],[250],[],[]
27,294,[8064],[250],[],[]
28,315,[9909],[1500],[],[]
29,316,[19811],[1000],[],[]
30,317,[9909],[1500],[],[]
31,330,[70],[500],[],[]
32,331,[70],[500],[],[]
33,332,[70],[500],[],[]
34,368,"[9913,9914]","[100,100]",[],[]
35,369,"[9913,9914]","[100,100]",[],[]
36,370,"[9913,9914]","[100,100]",[],[]
37,376,[4353],[750],[],[]
38,377,[16653],[2500],[],[]
39,378,[18548],[100],[],[]
40,397,[19276],[200],[],[]
41,398,[1133],[100],[],[]
42,399,[19276],[200],[],[]
43,12362,[19276],[200],[],[]
44,635,[42],[500],[],[]
45,636,[70],[500],[],[]
46,640,[500],[500],[],[]
47,638,[500],[500],[],[]
48,642,[177],[500],[],[]
49,644,[49],[500],[],[]
50,646,[84],[1000],[],[]
51,647,[621],[500],[],[]
52,649,[56],[500],[],[]
53,673,[167],[50],[],[]
54,674,[167],[50],[],[]
55,675,[7522],[750],[],[]
56,691,[5827],[100],[],[]
57,692,[5827],[100],[],[]
58,693,[5827],[100],[],[]
59,12245,[5827],[100],[],[]
60,707,[8591],[250],[],[]
61,712,[18548],[150],[],[]
62,713,[18548],[150],[],[]
63,714,[18548],[150],[],[]
64,759,[3666],[500],[],[]
65,760,[3666],[500],[],[]
66,761,[3666],[500],[],[]
67,766,[218],[3000],[],[]
68,767,[218],[3000],[],[]
69,769,[20686],[-250],[],[]
70,774,[556],[1000],[],[]
71,776,[95],[500],[],[]
72,777,[481],[500],[],[]
73,779,[9192],[500],[],[]
74,781,[9193],[500],[],[]
75,782,[63],[500],[],[]
76,785,[188],[500],[],[]
77,786,[1256],[1000],[],[]
78,787,[188],[500],[],[]
79,795,[188],[500],[],[]
80,940,[19273],[100],[],[]
81,941,[19273],[100],[],[]
82,942,[19273],[100],[],[]
83,3370,[19273],[100],[],[]
84,958,[3889],[500],[],[]
85,960,[963],[2000],[],[]
86,961,[1133],[100],[],[]
87,962,[963],[2000],[],[]
88,979,[500],[500],[],[]
89,980,[1825],[500],[],[]
90,984,[2141],[1000],[],[]
91,985,[166],[50],[],[]
92,986,[2141],[1000],[],[]
93,996,[9954],[5000],[],[]
94,997,[95],[2000],[],[]
95,998,[9954],[5000],[],[]
96,1006,[12753],[2000],[],[]
97,1018,[3396],[1000],[],[]
98,1019,[3396],[2000],[],[]
99,1020,[3396],[2000],[],[]
100,1021,[3396],[2000],[],[]
101,1031,[177],[2000],[],[]
102,1032,[177],[2000],[],[]
103,1033,[177],[2000],[],[]
104,1049,[16704],[500],[],[]
105,1050,[1217],[500],[],[]
106,1051,[16704],[500],[],[]
107,1089,[358],[50000],[],[]
108,1090,[19838],[2000],[],[]
109,1091,[358],[50000],[],[]
110,1100,[492],[500],[],[]
111,1101,[529],[350],[],[]
112,1103,[528],[500],[],[]
113,1104,[218],[500],[],[]
114,1107,[11710],[100],[],[]
115,1108,[11710],[100],[],[]
116,1109,[11710],[100],[],[]
117,1142,[2070],[1000],[],[]
118,1166,[623],[-1000],[],[]
119,1176,[12760],[250],[],[]
120,1184,[12566],[50000],[],[]
121,1190,[2070],[1000],[],[]
122,1205,[12759],[250],[],[]
123,1214,[732],[250],[],[]
124,1219,[21008],[500],[],[]
125,1252,[218],[1000],[],[]
126,1253,[218],[1000],[],[]
127,1254,[218],[1000],[],[]
128,1257,[218],[1000],[],[]
129,1290,[549],[50],[],[]
130,1291,[549],[50],[],[]
131,1292,[549],[50],[],[]
132,1294,[549],[50],[],[]
133,307,[3396],[1000],[],[]
134,309,[217],[1000],[],[]
135,1324,[5925],[1000],[],[]
136,1325,[3889],[1000],[],[]
137,1326,[11813],[1000],[],[]
138,1340,[13073],[2000],[],[]
139,1341,[19530],[2500],[],[]
140,1342,[13073],[2000],[],[]
141,12348,[13073],[2000],[],[]
142,1355,[621],[500],[],[]
143,1357,[490],[500],[],[]
144,1358,[20979],[500],[],[]
145,1360,[49],[500],[],[]
146,1361,[42],[500],[],[]
147,1363,[619],[500],[],[]
148,1364,[161],[1000],[],[]
149,1365,[6159],[500],[],[]
150,1366,[344],[500],[],[]
151,1367,[18548],[100],[],[]
152,1368,[18548],[150],[],[]
153,1369,[12598],[100],[],[]
154,12351,[18548],[100],[],[]
155,1512,[19273],[50],[],[]
156,1513,[174],[100],[],[]
157,1514,[19273],[50],[],[]
158,3726,[17510],[500],[],[]
159,3727,[19653],[10000],[],[]
160,3728,[17510],[500],[],[]
161,3732,[17510],[500],[],[]
162,1573,[661],[2000],[],[]
163,1579,[217],[1000],[],[]
164,1580,[217],[1000],[],[]
165,1593,[3544],[500],[],[]
166,1594,[11881],[150],[],[]
167,1595,[3544],[500],[],[]
168,1596,[3544],[500],[],[]
169,1925,[6155],[1000],[],[]
170,1926,[6155],[1000],[],[]
171,1927,[6155],[1000],[],[]
172,1945,[791],[100],[],[]
173,1946,[19874],[50],[],[]
174,1947,[791],[100],[],[]
175,12346,[791],[100],[],[]
176,1957,[436],[2000],[],[]
177,1963,[436],[2000],[],[]
178,1967,[142],[250],[],[]
179,1970,[436],[2000],[],[]
180,1979,[436],[2000],[],[]
181,1980,[436],[2000],[],[]
182,1986,[436],[2000],[],[]
183,1994,[436],[2000],[],[]
184,1987,[436],[2000],[],[]
185,1998,[436],[2000],[],[]
186,1999,[436],[2000],[],[]
187,2005,[436],[2000],[],[]
188,2014,[436],[2000],[],[]
189,2025,[436],[2000],[],[]
190,2037,[7945],[1000],[],[]
191,2038,[7945],[1000],[],[]
192,2039,[7945],[1000],[],[]
193,2045,[2709],[500],[],[]
194,2046,[1979],[250],[],[]
195,2053,[436],[2000],[],[]
196,2056,[436],[2000],[],[]
197,2057,[13063],[100],[],[]
198,2058,[500],[500],[],[]
199,2060,[500],[500],[],[]
200,2061,[25],[500],[],[]
201,2062,[24],[500],[],[]
202,2063,[1348],[500],[],[]
203,2074,[1827],[500],[],[]
204,2078,[10168],[1000],[],[]
205,2081,[5827],[100],[],[]
206,2082,[5827],[150],[],[]
207,2083,[5827],[100],[],[]
208,2093,[19759],[1000],[],[]
209,12360,[19759],[1000],[],[]
210,2099,[358],[200000],[],[]
211,2101,[358],[50000],[],[]
212,2102,[8590],[4000],[],[]
213,2103,[358],[50000],[],[]
214,2114,[682],[1000],[],[]
215,2115,[313],[4000],[],[]
216,2116,[313],[4000],[],[]
217,2117,[313],[4000],[],[]
218,2177,[19759],[1000],[],[]
219,2178,[19759],[1000],[],[]
220,2227,[19524],[1000],[],[]
221,2228,[19273],[100],[],[]
222,2229,[19273],[150],[],[]
223,2260,[15025],[500],[],[]
224,2263,[10899],[4000],[],[]
225,2264,[10899],[4000],[],[]
226,2265,[10899],[4000],[],[]
227,12350,[10899],[4000],[],[]
228,2279,[5827],[100],[],[]
229,2280,[8901],[2000],[],[]
230,2281,[5827],[100],[],[]
231,2308,[174],[50],[],[]
232,2309,[1133],[100],[],[]
233,2310,[174],[50],[],[]
234,3369,[174],[50],[],[]
235,2336,[217],[1000],[],[]
236,12341,[217],[1000],[],[]
237,2349,[177],[2000],[],[]
238,2350,[13158],[2000],[],[]
239,2351,[177],[2000],[],[]
240,2393,[1348],[500],[],[]
241,2396,[42],[500],[],[]
242,2397,[49],[500],[],[]
243,2398,[56],[500],[],[]
244,2400,[12007],[500],[],[]
245,2403,[500],[500],[],[]
246,2404,[177],[500],[],[]
247,2407,[209],[-1000],[],[]
248,2421,[208],[-1000],[],[]
249,2430,[207],[-1000],[],[]
250,2459,[18548],[100],[],[]
251,2460,[18548],[100],[],[]
252,2462,[3396],[1000],[],[]
253,2530,[10294],[250],[],[]
254,2531,[19356],[250],[],[]
255,2532,[1237],[500],[],[]
256,2543,[10294],[250],[],[]
257,2589,[1367],[500],[],[]
258,2591,[25],[500],[],[]
259,2594,[436],[500],[],[]
260,2596,[1256],[500],[],[]
261,2597,[955],[100],[],[]
262,2598,[22456],[500],[],[]
263,2599,[955],[100],[],[]
264,2610,[211],[500],[],[]
265,2611,[10398],[100],[],[]
266,2619,[464],[0],[],[]
267,2620,[2070],[500],[],[]
268,2657,[2329],[100],[],[]
269,2658,[2329],[100],[],[]
270,2659,[2329],[100],[],[]
271,2660,[2329],[100],[],[]
272,2736,[9448],[1000],[],[]
273,2737,[558],[1000],[],[]
274,2738,[2654],[500],[],[]
275,2739,[25],[500],[],[]
276,2740,[313],[1000],[],[]
277,2741,[233],[5000],[],[]
278,2757,[4227],[750],[],[]
279,2758,[4227],[750],[],[]
280,2759,[4227],[750],[],[]
281,2762,[6585],[250],[],[]
282,2803,[179],[1000],[],[]
283,2826,[342],[1000],[],[]
284,2855,[619],[2000],[],[]
285,2856,[619],[2000],[],[]
286,2857,[619],[2000],[],[]
287,2860,[19464],[1000],[],[]
288,2861,[19464],[1000],[],[]
289,2862,[19464],[1000],[],[]
290,2869,[19464],[1000],[],[]
291,2933,[500],[500],[],[]
292,2934,[3019],[-500],[],[]
293,2937,[2527],[3000],[],[]
294,2939,[13196],[-500],[],[]
295,2940,[1886],[1000],[],[]
296,2947,[21292],[100],[],[]
297,2948,[21292],[50],[],[]
298,2949,[21292],[100],[],[]
299,12344,[21292],[100],[],[]
300,3007,[233],[5000],[],[]
301,3010,[146],[500],[],[]
302,3015,[148],[500],[],[]
303,3020,[150],[500],[],[]
304,3030,[12797],[750],[],[]
305,3031,[3248],[50000],[],[]
306,3032,[12797],[750],[],[]
307,3043,[358],[50000],[],[]
308,3106,[13215],[50],[],[]
309,3107,[2046],[2000],[],[]
310,3108,[13215],[50],[],[]
311,3110,[24],[1000],[],[]
312,3162,[19273],[50],[],[]
313,3163,[3505],[200],[],[]
314,3164,[19273],[50],[],[]
315,3187,[26],[500],[],[]
316,3189,[3663],[1500],[],[]
317,3190,[1100],[500],[],[]
318,3191,[3663],[1500],[],[]
319,3225,[2090],[1000],[],[]
320,3226,[19327],[750],[],[]
321,3227,[2090],[1000],[],[]
322,3247,[233],[5000],[],[]
323,3256,[218],[1000],[],[]
324,3291,[4481],[500],[],[]
325,3301,[4481],[500],[],[]
326,3307,[12625],[2500],[],[]
327,3308,[2152],[100],[],[]
328,3309,[12625],[2500],[],[]
329,3378,[7945],[1000],[],[]
330,3722,[2319],[250],[],[]
331,3758,"[217,3396]","[1000,1000]",[],[]
332,3759,"[217,3396]","[1000,1000]",[],[]
333,3991,[177],[2000],[],[]
334,3992,[19276],[200],[],[]
335,3993,[177],[2000],[],[]
336,4026,[846],[2000],[],[]
337,4028,[6629],[15000],[],[]
338,4030,[5827],[100],[],[]
339,4031,[12107],[1000],[],[]
340,4032,[11616],[250],[],[]
341,4034,[13073],[2000],[],[]
342,4044,[12761],[250],[],[]
343,4249,[95],[2000],[],[]
344,4250,[95],[2000],[],[]
345,4251,[16704],[500],[],[]
346,4603,[2557],[50],[],[]
347,4604,[2557],[50],[],[]
348,4605,[2557],[50],[],[]
349,4617,[3396],[2000],[],[]
350,4618,[3396],[2000],[],[]
351,4619,[3396],[2000],[],[]
352,4624,[3396],[2000],[],[]
353,4625,[3396],[2000],[],[]
354,4626,[3396],[2000],[],[]
355,4718,[3396],[2000],[],[]
356,4720,[3396],[2000],[],[]
357,4724,[8234],[1000],[],[]
358,4725,[22421],[100],[],[]
359,4726,[8234],[1000],[],[]
360,4736,[26],[500],[],[]
361,4745,[2594],[1000],[],[]
362,4753,[5213],[1000],[],[]
363,4754,[13073],[2000],[],[]
364,4755,[21659],[1000],[],[]
365,4758,[5213],[1000],[],[]
366,4759,[13073],[2000],[],[]
367,4760,[3396],[2000],[],[]
368,4763,[5213],[1000],[],[]
369,4764,[13073],[2000],[],[]
370,4765,[3396],[2000],[],[]
371,4805,[2119],[1000],[],[]
372,4808,[450],[750],[],[]
373,4809,[450],[1000],[],[]
374,4810,[450],[750],[],[]
375,4828,[3396],[2000],[],[]
376,4824,[3073],[500],[],[]
377,4881,[3396],[2000],[],[]
378,11259,[464],[0],[],[]
379,4971,[3396],[500],[],[]
380,4972,[3396],[500],[],[]
381,4973,[8815],[1000],[],[]
382,5020,[19525],[200],[],[]
383,5021,[19525],[200],[],[]
384,5022,[19525],[200],[],[]
