"rownum","StatsKey","bool_16","bool_17","bool_18","bool_19"
0,24,"","",1,""
1,12500,1,"",1,""
2,12501,1,"",1,""
3,12504,1,"",1,""
4,12505,1,"",1,""
5,12502,1,"",1,""
6,12503,1,"",1,""
7,12506,1,"",1,""
8,12507,1,"",1,""
9,12508,1,"","",""
10,459,1,"","",""
11,12509,1,"","",""
12,1359,"","",1,""
13,4941,"","",1,""
14,25,"","",1,""
15,553,"","",1,""
16,12362,"","","",1
17,12363,"","","",1
18,12477,"","",1,""
19,12478,"","",1,""
20,12364,"","","",1
21,12479,"","",1,""
22,12480,"","",1,""
23,12481,"","",1,""
24,12482,"","",1,""
25,12483,"","",1,""
26,12484,"","",1,""
27,12485,"","",1,""
28,12486,"","",1,""
29,12487,"","",1,""
30,12488,"","",1,""
31,12489,"","",1,""
32,12490,"","",1,""
33,12497,"","",1,""
34,12494,"","",1,""
35,12496,"","",1,""
36,12499,"","",1,""
37,12498,"","",1,""
38,12495,"","",1,""
39,12517,"","",1,""
40,12518,"","",1,""
41,12519,"","",1,""
42,12520,"","",1,""
43,12521,"","",1,""
44,12522,"","",1,""
45,12523,"","",1,""
46,12524,"","",1,""
47,12525,"","",1,""
48,12526,"","",1,""
49,12527,"","",1,""
50,12528,"","",1,""
51,12529,"","",1,""
52,12317,"","","",1
53,12318,"","","",1
54,12319,"","","",1
55,12531,"","","",1
56,12365,"","","",1
57,12324,"","","",1
58,12323,"","","",1
59,13039,"","","",1
60,13040,"","","",1
61,13041,"","","",1
62,13043,1,"",1,""
63,13044,1,"",1,""
64,13045,1,"",1,""
65,13046,1,"",1,""
66,13047,1,"",1,""
67,13048,"",1,"",""
68,13049,"","","",1
69,13050,"","","",1
70,13051,"","",1,""
71,13052,"","",1,""
72,13053,"","",1,""
73,13054,"","",1,""
74,13055,"","",1,""
75,13056,"","",1,""
76,13057,"","","",1
77,13058,"","","",1
78,13059,"","","",1
79,13060,"","","",1
80,13061,"","","",1
81,13062,"","","",1
82,13063,"","","",1
83,13064,"","","",1
84,13065,"","","",1
85,13066,"","",1,""
86,13067,"","",1,""
87,13068,"","",1,""
88,13069,"","",1,""
89,13070,"","",1,""
90,13071,"","",1,""
91,13072,"","",1,""
92,13073,"","",1,""
93,13074,"","",1,""
94,13075,"",1,"",""
95,13091,"","","",1
96,13092,"","","",1
97,13098,"","",1,""
98,13099,"","",1,""
99,13100,"","",1,""
100,13101,"","",1,""
101,13102,"","",1,""
102,13103,"","",1,""
103,13104,"","",1,""
104,13105,"","",1,""
105,13106,"","",1,""
106,12751,"","","",1
107,12752,"","","",1
108,13174,"","","",""
109,12754,"","","",1
110,12321,"","","",1
111,12753,"","","",""
112,13175,"",1,"",""
113,13176,"","","",1
114,13177,"","","",1
115,13178,"","","",1
116,13179,"","","",1
117,13182,"","",1,""
118,12690,"","","",1
119,12691,"","","",1
120,12723,"","","",1
121,12724,"","","",1
122,12725,"","","",1
123,12728,"","","",1
124,12729,"","","",1
125,12730,"","","",1
126,12731,"","","",1
127,12732,"","","",1
128,12733,"","","",1
129,12734,"","","",1
130,12735,"","","",1
131,12736,"","","",1
132,12737,"","","",1
133,12738,"","","",1
134,13213,"","","",1
