"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","HASH16","Tags","TagWeight"
0,"NonEleBowRanger1","\""Even a lawless land needs rules. Even anarchy requires order.\"" \r\n- Kylian Cyaxan","« Même une terre sans foi ni loi a besoin de règles. Même l'anarchie a besoin d'ordre. » — Kylian Cyaxan","\""Selbst ein gesetzloses Land braucht Regeln. Selbst die Anarchie verlangt nach Ordnung.\"" \r\n– Kylian Cyaxan","無法の地にだってルールは必要だ。無政府状態にも秩序が必要なように。\r\nーキリアン・シアクサン","\""법이 미치지 않는 곳에도 규칙은 필요하고, 무정부 상태에도 질서는 필요하지.\"" \r\n- 킬리안 사이악산","\""Até uma terra sem lei precisa de regras. Até a anarquia exige ordem.\""\r\n- Kylian Cyaxan","«‎Даже в краю беззакония нужны правила. Даже анархия требует порядка»\r\n– Килиан Шиазан","\""Hasta una tierra sin ley necesita normas. Hasta la anarquía requiere orden\"". - Kylian Cyaxan","\""แผ่นดินไร้กฎยังต้องการกฎหมาย อนาธิปไตยยังต้องการความเรียบร้อย\""\r\n- ไคเลียน ไคแย็กซัน","「法外之地仍須規則，無法之境亦講究秩序。」\r\n- 奇里安．塞亞珊",22819,"[1194,1253]","[0,1000]"
1,"NonEleBowRanger2","As Cyaxan's criminal empire grew, so too did its need for enforcers. The Trarthan militia was its answer. ","Plus l'empire criminel de Cyaxan grandissait, plus il avait besoin de faire respecter ses lois. La milice trarthienne était la solution. ","Mit der Größe des cyaxanischen kriminellen Imperiums wuchs auch sein Bedarf an Vollstreckern. Die trarthanische Miliz war die Antwort.","シアクサンの犯罪帝国が成長するに連れ、執行者の必要性も上昇していった。それに対する答えが、トラーサス民兵だった。","사이악산의 범죄 제국이 성장할수록, 집행자에 대한 필요도 높아졌다. 그리고 그 해답이 바로 트라투스 민병대였다.","À medida que o império do crime de Cyaxan crescia, crescia também a necessidade de quem fizesse valer suas vontades. A resposta foi a milícia de Trarthus. ","По мере роста криминальной империи Шиазана росла нужда и в мордоворотах. Ответом стало ополчение Тератны.","A medida que creció el imperio criminal de Cyaxan, también lo hizo su necesidad de tener ejecutores. La milicia trarthana fue su respuesta.","ยาม​ที่​จักรวรรดิ​อาชญากร​ของ​ไคแย็กซัน​เติบโต ความต้องการ​ผู้คุม​ก็​เติบใหญ่ ทหาร​อาสา​ทาร์ทาน​จึง​เป็น​คำตอบ","隨著塞亞珊的罪惡帝國拓展版圖，維持秩序的人力需求也與日俱增，而特拉特斯民兵就是他們的因應方案。 ",25135,"[1194,1253]","[0,1000]"
2,"NonEleBowRanger3","Order came later. At first, the Trarthan militia was little more than muscle - sold to the highest house, and drunk on its coin.","L'ordre vint plus tard. Au début, la milice trarthienne était à peine plus que des gros bras : achetée par la plus grande maison, et saoule avec son argent.","Ordnung kam später. Zuerst war die trarthanische Miliz nicht mehr als ein Haufen Schläger – verkauft an das höchste Haus und betrunken auf dessen Kosten.","秩序は後からやってきた。最初の頃、トラーサスの民兵は傭兵に過ぎなかった……一番金を出せる家に売られ、その金で酔うような連中だ。","질서가 찾아온 것은 나중의 일이었다. 본디 트라투스의 민병대는 가장 높은 값을 부르는 가문에 충성하고 그 돈으로 술독에 빠져 사는 폭력배들이나 다름없었다.","A ordem veio depois. No início, a milícia de Trarthus era apenas uma força bruta vendida à casa que pagasse mais, e nadava em dinheiro.","Порядок пришёл позже. Поначалу ополчение Тератны было сборищем громил, сворачивавших шеи по приказу того, кто больше заплатит, и напивавшихся на барыш.","La orden vino después. Al principio, la milicia trarthana era poco más que músculo; se vendía a la mejor casa y bebía de sus monedas.","ความ​เป็น​ระเบียบ​ตาม​มา​ใน​ภายหลัง ภายแรก​ทหาร​อาสา​ทาร์ทาน​เป็น​แค่​กลุ่ม​คน​มี​กำลัง​ที่​รับ​เหรียญ​จาก​บ้าน​ที่​รวย​ที่สุด​มา​เมา​​หยำเป","在以秩序為訴求前，特拉特斯民兵和看錢辦事的打手們並無不同，為出價最高的家族辦事並從中謀利。",46485,"[1194,1253]","[0,1000]"
3,"NonEleBowRanger4","The Trarthan militia delivers justice swiftly - usually before a crime is even committed.","La milice trarthienne rend la justice rapidement. La plupart du temps avant même qu'un crime soit commis.","Die trarthanische Miliz sorgt für schnelle Gerechtigkeit – normalerweise bevor überhaupt ein Verbrechen begangen wurde.","トラーサス民兵は素早く正義を執行する……多くの場合は犯罪が行われる前に。","트라투스 민병대는 신속하게, 대개는 범죄가 일어나기도 전에 정의의 심판을 내린다.","A milícia de Trarthus faz justiça rápido, normalmente antes mesmo de o crime acontecer.","Ополчение в Тератне несло правосудие с большой быстротой – обычно ещё до самого преступления.","La milicia trarthana imparte justicia con rapidez, normalmente antes incluso de que se cometa un crimen.","ทหารอาสา​ทาร์ทาน​ผดุง​ความยุติธรรม​อย่าง​ว่องไว ส่วนใหญ่​มัก​เกิด​ขึ้น​ก่อน​ที่​จะ​เกิด​อาชญากรรม​ใดๆ เสีย​อีก","特拉特斯民兵十分具有效率，通常在「罪行」發生前便處理妥當。",50075,"[1194,1253]","[0,1000]"
4,"NonEleBowRanger5","\""The militia don't keep the peace. They keep Trarthus profitable.\"" ","« La milice ne maintient pas la paix. Elle maintient la rentabilité de Trarthus. » ","\""Die Miliz ist nicht dazu da, den Frieden zu bewahren. Sie ist dazu da, den Profit von Trarthus zu bewahren.\""","「民兵は平和を守ってるんじゃない。トラーサスの利益を守ってるんだ。」","\""민병대의 목적은 평화를 유지하는 게 아니야. 트라투스에 돈을 벌어다 주는 거지.\""","\""A milícia não mantém a paz. Mantém o lucro de Trarthus.\"" ","«Ополчение не мир поддерживает. Оно поддерживает Тератну прибыльной».","\""La milicia no mantiene la paz. Mantiene a Trarthus productiva\"". ","\""ทหารอาสา​ไม่​ได้​รักษา​ความสงบ แต่​ทำ​ให้​ทาร์ทัส​ทำ​กำไร​ต่อ​ไป​ได้​ต่างหาก\""","「民兵們並非維持秩序與和平，而是讓特拉特斯始終有利可圖。」 ",1655,"[1194,1253]","[0,1000]"
5,"NonEleBowRanger6","\""They weren't just enforcers. They were reminders - of who ruled Korathin's gutters, and what disobedience cost.\"" ","« Ce ne sont pas que des exécuteurs. Ils sont un rappel, de celui qui dirige les rues de Korathin, et du coût de la désobéissance. » ","\""Sie waren nicht nur Vollstrecker. Sie waren da, um uns daran zu erinnern, wer über die Gossen von Korathin herrschte und was der Preis des Ungehorsams war.\""","「奴らはただの執行者じゃなかった。忘れさせないための存在だったんだ……コラシンの路上を支配している者たちを、そして逆らうことの代償をな。」","\""그들은 단순한 집행자가 아니라 코라틴의 지배자가 누구이며, 불복종의 대가가 무엇인지 일깨워주는 존재였다.\""","\""Não eram só capangas. Eram o lembrete de quem mandava nos becos de Korathin, e do preço da desobediência.\"" ","«Это были не просто громилы. Это было напоминание – о том, кто правил в канавах Корафина, и о том, чего стоило неповиновение».","\""No eran solo ejecutores. Eran recordatorios de quién gobernaba en las alcantarillas de Korathin y lo que costó esa desobediencia\"".","\""พวกเขา​ไม่​ได้​เป็น​เพียง​ผู้คุม​เท่านั้น แต่​เป็น​เครื่อง​เตือน​ใจ​ว่า​ใคร​เป็น​ใหญ่​ใน​ตรอก​ของ​โคราธิน และ​การ​ขัดขืน​มี​ราคา​เช่นไร\""","「他們不只維護秩序，更隨時提醒著誰才是科拉廷的主事者，惹上他們會付出什麼樣的代價。」 ",62209,"[1194,1253]","[0,1000]"
6,"NonEleBowRanger7","For a time, the militia had the slums on lockdown. Then Cyaxan flooded them with gems - and the streets ran red with blood. ","Pendant un temps, la milice confina les bas-quartiers. Puis Cyaxan les recouvrit de gemmes, et les rues furent inondées de sang. ","Die Miliz schottete die Slums für eine Weile ab. Dann überschütteten die Cyaxan sie mit Gemmen – und die Straßen waren rot vor Blut.","一時は民兵たちがスラムを封鎖していた。だがシアクサンが奴らに宝石を流し……路上は血で赤く染まったのさ。","한동안은 민병대가 빈민가를 봉쇄했다. 그러나 사이악산이 그곳에 보석을 뿌려대자, 길거리가 피바다로 변했다.","Por um tempo, as favelas ficaram sob o controle da milícia. Mas aí Cyaxan as afundou em gemas, e as ruas se tingiram de sangue. ","Какое-то время ополчение держало трущобы в изоляции. Шиазан наводнил их камнями – и улицы покраснели от крови.","Durante un tiempo, la milicia tenía las barriadas en confinamiento. Entonces, Cyaxan los inundó de gemas, y las calles se tiñeron de sangre. ","ทหารอาสา​คุม​สลัม​ได้​พัก​หนึ่ง แล้ว​ไคแย็กซัน​ก็​มอบ​มณี​มากมาย​ให้​กับ​พวกเขา ถนน​จึง​ท่วม​ไป​ด้วย​เลือด","民兵曾讓貧民窟唯命是從，後來塞亞珊家族讓寶石在貧民窟流通……街頭巷尾便濺血事件頻傳。 ",49281,"[1194,1253]","[0,1000]"
7,"NonEleBowRanger8","Of all Kylian Cyaxan's sins, virtue gems were the most costly. Blinded by greed, he never foresaw the chaos they'd unleash.","De tous les péchés de Kylian Cyaxan, les gemmes de vertu furent les plus préjudiciables. Aveuglé par la cupidité, il ne put prédire le chaos qu'elles déchaîneraient.","Von allen Sünden, die Kylian Cyaxan je beging, hatten die Machtgemmen den höchsten Preis. Von Gier geblendet war er unfähig vorherzusehen, welches Chaos sie entfesseln würden.","キリアン・シアクサンの罪の中で最も重かったものが美徳の宝石だ。強欲に目が眩み、奴はそれが解き放つであろう混沌を予測できなかった。","킬리안 사이악산이 저지른 수많은 죄악 중, 가장 값비싼 대가가 뒤따랐던 것은 힘의 마석이었다. 탐욕에 눈이 먼 그는 마석이 불러올 혼란을 끝내 예견하지 못했다.","De todos os pecados de Kylian Cyaxan, as gemas da virtude foram o mais caro. Cego pela ganância, ele nunca previu o caos que causariam.","Из всех грехов Килиана Шиазана камни добродетели обошлись дороже всего. Ослеплённый жадностью, он не предвидел хаоса, который они принесут.","De todos los pecados de Kylian Cyaxan, las gemas de virtud eran el más caro. Cegado por la codicia, nunca previó el caos que liberarían.","ใน​บรรดา​บาป​ทั้งหลาย​ของ​ไคเลียน ไคแย็กซัน มณี​บารมี​นั้น​ราคา​แพง​ยิ่ง เมื่อ​ความ​โลภ​บังตา เขา​จึง​ไม่​เห็น​ว่า​จะ​เกิด​ความวุ่นวาย​ได้​ถึง​เพียง​ใด","奇里安．塞亞珊的諸多惡行裡，古靈寶石是影響最深刻的一個。他受貪婪矇蔽雙眼，未曾設想隨之而來的失序狀態。",20691,"[1194,1253]","[0,1000]"
8,"NonEleBowRanger9","Kylian Cyaxan demanded a swift response to the chaos in the streets. The militia answered - virtue gems in hand.","Kylian Cyaxan demanda une réponse rapide au chaos dans les rues. La milice répondit, gemmes de vertu en main.","Kylian Cyaxan forderte eine schnelle Antwort auf da Chaos in den Straßen. Die Miliz antwortete – mit Machtgemmen in ihren Händen.","キリアン・シアクサンは路上の混沌に素早い対応を求めた。民兵はそれに応えた……美徳の宝石を握ってな。","혼란이 길거리를 뒤덮자, 킬리안 사이악산은 신속한 대응을 요구했다. 그러자 힘의 마석을 쥔 민병대가 이에 응했다.","Kylian Cyaxan exigiu uma resposta imediata ao caos nas ruas. A milícia atendeu, armada com gemas da virtude.","Килиан Шиазан потребовал быстрого ответа на творящийся на улицах хаос. Ополчение ответило – с камнями добродетелей в руках.","Kylian Cyaxan exigió una respuesta rápida al caos de las calles. La milicia respondió, con las gemas de virtud en la mano.","ไคเลียน ไคแย็กซัน​สั่ง​ให้​โต้ตอบ​กับ​ความวุ่นวาย​บน​ท้องถนน​โดย​ไว ทหารอาสา​ตอบรับ... พลาง​ถือ​มณี​บารมี​เอา​ไว้​ใน​มือ","奇里安．塞亞珊要求儘快解決亂象。民兵們同樣以古靈寶石做為回應。",18023,"[1194,1253]","[0,1000]"
9,"NonEleBowRanger10","The militia met fire with fire - gems for gems, blood for blood.","La milice combattit le feu par le feu — gemmes pour gemmes, sang pour sang.","Die Miliz bekämpfte Feuer mit Feuer – Gemmen gegen Gemmen, Blut für Blut.","民兵は火には火を……宝石には宝石を、血には血を持って応じた。","민병대는 불에는 불, 마석에는 마석, 피에는 피로 응수했다.","A milícia revidou à altura: gema por gema, sangue por sangue.","Ополчение встретило огонь огнём – камень за камень, кровь за кровь.","La milicia se enfrentó al fuego con fuego, a las gemas con gemas y a la sangre con sangre.","ทหารอาสา​เอา​ไฟ​มา​สู้​กับ​ไฟ เอา​มณี​มา​ประชัน​กับ​มณี เอา​เลือด​มา​ล้าง​ด้วย​เลือด","民兵們的作為讓此處血流成河。",37252,"[1194,1253]","[0,1000]"
