"rownum","MtxTypeGameSpecific","Index","BK2File"
0,209,1,""
1,210,2,""
2,211,3,""
3,212,4,""
4,213,5,""
5,214,6,""
6,362,7,""
7,363,8,""
8,364,9,""
9,365,10,""
10,387,11,""
11,388,12,""
12,389,13,""
13,390,14,""
14,445,15,""
15,476,16,""
16,477,17,""
17,478,18,""
18,479,19,""
19,542,20,""
20,543,21,""
21,603,22,""
22,604,23,""
23,638,24,""
24,639,25,""
25,640,26,""
26,641,27,""
27,642,28,""
28,643,29,""
29,702,30,""
30,703,31,""
31,704,32,""
32,705,33,""
33,706,34,""
34,707,35,""
35,708,36,""
36,756,37,""
37,757,38,""
38,854,39,""
39,861,40,""
40,868,41,""
41,876,42,""
42,884,43,""
43,892,44,""
44,912,45,""
45,913,46,""
46,953,47,""
47,954,48,""
48,955,49,""
49,956,50,""
50,957,51,""
51,958,52,""
52,959,53,""
53,960,54,""
54,961,55,""
55,962,56,""
56,963,57,""
57,964,58,""
58,965,59,""
59,966,60,""
60,967,61,""
61,968,62,""
62,969,63,""
63,970,64,""
64,971,65,""
65,972,66,""
66,973,67,""
67,974,68,""
68,975,69,""
69,976,70,""
70,977,71,""
71,978,72,""
72,979,73,""
73,980,74,""
74,981,75,""
75,982,76,""
76,983,77,""
77,984,78,""
78,985,79,""
79,986,80,""
80,987,81,""
81,988,82,""
82,989,83,""
83,990,84,""
84,991,85,""
85,992,86,""
86,993,87,""
87,994,88,""
88,995,89,""
89,996,90,""
90,997,91,""
91,998,92,""
92,999,93,""
93,1000,94,""
94,1001,95,""
95,1002,96,""
96,1003,97,""
97,1004,98,""
98,1005,99,""
99,1006,100,""
100,1007,101,""
101,1008,102,""
102,1009,103,""
103,1010,104,""
104,1011,105,""
105,1012,106,""
106,1013,107,""
107,1014,108,""
108,1015,109,""
109,1016,110,""
110,1017,111,""
111,1018,112,""
112,1019,113,""
113,1020,114,""
114,1021,115,""
115,1022,116,""
116,1311,117,""
117,1312,118,""
118,1313,119,""
119,1314,120,""
120,1364,121,""
121,1365,122,""
122,1359,123,""
123,1360,124,""
124,945,125,""
125,946,126,""
126,947,127,""
127,942,128,""
128,943,129,""
129,944,130,""
130,1503,131,""
131,1504,132,""
132,1511,133,""
133,1512,134,""
134,948,135,""
135,1647,136,""
136,1652,137,""
137,1639,138,""
138,1641,139,""
139,1654,140,""
140,1663,141,""
141,1672,142,""
142,1681,143,""
143,1691,144,""
144,1753,145,""
145,1758,146,""
146,1746,147,""
147,1751,148,""
148,1869,149,""
149,1862,150,""
150,1856,151,""
151,1854,152,""
152,950,153,""
