"rownum","MonsterVarietiesKey","bool_16","rid_17"
0,2685,1,""
1,2690,1,15
2,2691,"",15
3,2693,1,38
4,2694,"",38
5,2713,1,""
6,2715,1,27
7,2717,"",27
8,2720,1,15
9,2721,"",15
10,2723,1,55
11,2724,"",55
12,2669,1,5
13,2670,"",5
14,2674,1,19
15,2675,"",19
16,2679,1,26
17,2680,"",26
18,2764,1,40
19,2765,"",40
20,2768,1,48
21,2769,"",48
22,2770,1,71
23,2771,"",71
24,2747,1,25
25,2748,"",25
26,2752,1,7
27,2753,"",7
28,2755,1,54
29,2756,"",54
30,2734,1,28
31,2735,"",28
32,2738,1,9
33,2739,"",9
34,2741,1,35
35,2742,"",35
36,2700,1,8
37,2701,"",8
38,2702,1,6
39,2703,"",6
40,2707,1,70
41,2708,"",70
42,2682,1,88
43,2683,"",88
44,2695,1,15
45,2696,"",15
46,2725,1,27
47,2726,"",27
48,2759,1,8
49,2760,"",8
50,2743,1,78
51,2744,"",78
52,2692,"",23
53,2722,"",36
54,2681,"",18
55,2763,"",32
56,2754,"",34
57,2740,"",13
58,2706,"",35
59,4650,"",""
60,4652,"",""
61,4651,"",""
62,2780,"",""
63,2781,"",""
64,2784,"",""
65,2778,"",""
66,2782,"",""
67,2779,"",""
68,2783,"",""
69,2671,"",5
70,2687,"",""
71,2716,"",27
72,2736,"",28
73,2757,"",54
74,2766,"",40
75,2704,"",6
76,2709,1,78
77,2710,"",78
78,2730,1,""
79,2711,1,""
80,2745,1,""
81,2761,1,""
82,2698,1,""
83,2732,1,81
84,2733,"",81
