"rownum","Level","Scale"
0,1,0
1,2,2
2,3,3
3,4,5
4,5,6
5,6,8
6,7,10
7,8,11
8,9,13
9,10,14
10,11,16
11,12,18
12,13,19
13,14,21
14,15,22
15,16,24
16,17,26
17,18,27
18,19,29
19,20,30
20,21,32
21,22,34
22,23,35
23,24,37
24,25,38
25,26,40
26,27,42
27,28,43
28,29,45
29,30,46
30,31,48
31,32,50
32,33,51
33,34,53
34,35,54
35,36,56
36,37,58
37,38,59
38,39,61
39,40,62
40,41,64
41,42,66
42,43,67
43,44,69
44,45,70
45,46,72
46,47,74
47,48,75
48,49,77
49,50,78
50,51,80
51,52,82
52,53,83
53,54,85
54,55,86
55,56,88
56,57,90
57,58,91
58,59,93
59,60,94
60,61,96
61,62,98
62,63,99
63,64,101
64,65,102
65,66,104
66,67,106
67,68,107
68,69,109
69,70,110
70,71,112
71,72,114
72,73,115
73,74,117
74,75,118
75,76,120
76,77,122
77,78,123
78,79,125
79,80,126
80,81,128
81,82,130
82,83,208
83,84,208
84,85,208
85,86,208
86,87,208
87,88,208
88,89,208
89,90,208
90,91,208
91,92,208
92,93,208
93,94,208
94,95,208
95,96,208
96,97,208
97,98,208
98,99,208
99,100,208
