"rownum","Monster"
0,5781
1,4433
2,5351
3,1095
4,5367
5,5363
6,5365
7,5362
8,5358
9,5899
10,5359
11,5360
12,5369
13,5900
14,5901
15,5364
16,5368
17,5370
18,5348
19,5896
20,5897
21,5345
22,5346
23,5349
24,5350
25,5381
26,5391
27,5383
28,5384
29,5393
30,5394
31,5356
32,5352
33,5898
34,5353
35,5354
36,5357
37,5390
38,5399
39,5385
40,5395
41,5387
42,5389
43,5397
44,5905
45,5907
46,5386
47,5396
48,5904
49,5906
50,5382
51,5392
52,5400
53,5380
54,5377
55,5379
56,5374
57,5902
58,5371
59,5372
60,5375
61,5903
62,5376
63,5343
64,5344
65,5333
66,5335
67,5340
68,5342
69,5331
70,5328
71,5893
72,5329
73,5330
74,5337
75,5894
76,5895
77,5334
78,5339
79,5338
80,5410
81,5411
82,5416
83,5413
84,5415
85,5911
86,5412
87,5910
88,5409
89,5402
90,5403
91,5408
92,5405
93,5407
94,5909
95,5404
96,5908
97,5401
98,1094
99,5426
100,5427
101,5428
102,5423
103,5424
104,5425
105,5417
106,5418
107,5419
108,5420
109,5421
110,5422
111,5429
112,5432
113,5430
114,5431
115,2187
116,7885
117,7886
118,7887
119,7888
120,7889
121,7890
122,7891
123,7892
124,7893
125,7894
126,7895
127,7896
128,7897
129,7898
130,7899
131,7900
132,7901
133,7902
134,7903
135,7904
136,7905
137,7906
138,7907
139,7908
140,7909
141,7910
142,7911
143,7912
144,7913
145,7914
146,7915
147,7916
148,7917
149,7918
150,7919
151,7920
152,7921
153,7922
154,7923
155,7924
156,7925
157,7926
158,7927
159,7928
160,7929
161,7930
162,7931
163,7932
164,7933
165,7934
166,7935
167,7936
168,7937
169,7938
170,7939
171,7940
172,7941
173,7942
174,7943
175,7944
176,7945
177,7946
178,7947
179,7948
180,7949
181,7950
182,7951
183,7952
184,7953
185,7954
186,7955
187,7956
188,7957
189,7958
190,7959
191,7960
192,7961
193,7962
194,7963
195,7964
196,7965
197,7966
198,7967
199,7968
200,7969
201,7970
202,7971
203,7972
204,7973
205,7974
206,7975
207,7976
208,7977
209,7978
210,7979
211,7980
212,7981
213,7982
214,7983
215,7984
216,7985
217,7986
218,7987
219,7988
220,7989
221,7990
222,7991
223,7992
224,7993
225,7994
226,7995
227,7996
228,7997
229,7998
230,7999
231,8000
232,8001
233,8002
234,8003
235,8004
236,8005
237,8006
238,8007
239,8008
240,8009
241,8010
242,8011
243,8012
244,8013
245,8014
246,8015
247,8016
248,8017
249,8018
250,8019
251,8020
252,8021
253,8022
254,8023
255,8024
256,8025
257,8026
258,8027
259,8028
260,8029
261,8030
262,8031
263,8032
264,8033
265,8034
266,8035
267,8036
268,8037
269,8038
270,8039
271,8040
272,8041
273,8042
274,8043
275,8044
276,8045
277,8046
278,8047
279,8048
280,8049
281,8050
282,8051
283,8052
284,8053
285,8054
286,8055
287,8056
288,8057
289,8058
290,8059
291,8060
292,8061
293,8062
294,8063
295,8064
296,8065
297,8066
