"rownum","CurrencyItem","i32_16","BK2File","bool_28","BK2File2","bool_37","Stat","f32_54","SoundEffect"
0,45,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","","","","",1,706
1,2,0,"",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",18646,1.75,""
2,361,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
3,362,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
4,363,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
5,364,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
6,365,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
7,366,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
8,367,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
9,368,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
10,369,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
11,370,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
12,371,0,"Art/Videos/LightDarkBox_Opening.bk2",1,"","","",1,""
13,94,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2",1,"","","",1,729
14,4247,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2",1,"","","",1,729
15,4243,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2",1,"","","",1,729
