"rownum","VisualIdentity","ItemClass","string_32","string_40","string_48","string_56","string_64","string_72","string_80"
0,7333,26,"Metadata/Items/Armours/Shields/BetaLumeriusTowerShield/BetaLumeriusTowerShieldHeld.ao","Metadata/Items/Armours/Shields/BetaLumeriusBuckler/BetaLumeriusBucklerHeld.ao","Metadata/Items/Armours/Shields/BetaLumeriusBuckler/BetaLumeriusBucklerHeld.ao","Metadata/Items/Armours/Shields/BetaLumeriusTarge/BetaLumeriusTargeHeld.ao","Metadata/Items/Armours/Shields/BetaLumeriusCrestShield/BetaLumeriusCrestShieldHeld.ao","",""
1,7490,26,"Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumFocus/DeliriumFocusHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldHeld.ao"
2,7491,26,"Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldAltHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldAltHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumFocus/DeliriumFocusAltHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldAltHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldAltHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldAltHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/DeliriumShield/DeliriumShieldAltHeld.ao"
3,7532,26,"Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderTowerShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderCrestShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderCrestShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderTowerShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderTowerShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderCrestShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/SeaRaider/SeaRaiderCrestShieldHeld.ao"
4,7561,26,"Metadata/Items/Armours/Shields/Microtransactions/StormeborneShield/StormborneShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/StormeborneBuckler/StormborneBucklerHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/StormeborneBuckler/StormborneBucklerHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/StormeborneShield/StormborneShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/StormeborneShield/StormborneShieldHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/StormeborneBuckler/StormborneBucklerHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/StormeborneBuckler/StormborneBucklerHeld.ao"
5,7648,26,"Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoTowerShield01Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield01Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield01Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoTowerShield01Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoTowerShield01Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield01Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield01Held.ao"
6,7649,26,"Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoTowerShield02Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield02Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield02Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoTowerShield02Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoTowerShield02Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield02Held.ao","Metadata/Items/Weapons/Microtransactions/Wendigo/WendigoBucklerShield02Held.ao"
7,7694,26,"Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneBookShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneBookShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneFoci/NocturneFociControllerHeld.ao","Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneBookShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneBookShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneBookShieldHeld.ao","Metadata/Items/Weapons/Microtransactions/NocturneWeapons/NocturneBookShieldHeld.ao"
8,7705,26,"Metadata/Items/Armours/Shields/Microtransactions/AvianKnightTowerShield/AvianKnightTowerShieldAHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldAHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldAHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldAHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldAHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldAHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldAHeld.ao"
9,7706,26,"Metadata/Items/Armours/Shields/Microtransactions/AvianKnightTowerShield/AvianKnightTowerShieldBHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldBHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldBHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldBHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldBHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldBHeld.ao","Metadata/Items/Armours/Shields/Microtransactions/AvianKnightShield/AvianKnightShieldBHeld.ao"
