"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","BackgroundImage","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","CoordinateRect","RGBFlavourTextColour","UnlockCondition","UnlockCondition (French)","UnlockCondition (German)","UnlockCondition (Japanese)","UnlockCondition (Korean)","UnlockCondition (Portuguese)","UnlockCondition (Russian)","UnlockCondition (Spanish)","UnlockCondition (Thai)","UnlockCondition (Traditional Chinese)","rid_56","rid_72","i32_88","UIArt","rid_108"
0,"None","","","","","","","","","","","","","","","","","","","","","","","0,255,0","","","","","","","","","","","","",0,"",""
1,"Warden","Warden of the Maji","Protecteur des Majis","Wächter der Maji","マジの番人","마지의 간수","Guardião dos Maji","Хранитель Маджи","Guardián de los maji","ผู้คุ้มครองแห่งมาไจ","聖賢守護者","Art/2DArt/UIImages/InGame/Azmeri/AscendancyFrameWarden","A Warden of the Maji has sworn\r\nto walk the righteous path.","Un Protecteur des Majis a juré\r\nde suivre la voie du juste.","Ein Wächter der Maji hat \r\ngeschworen, den Pfad der \r\nRechtschaffenheit zu beschreiten.","\r\nマジの番人は\r\n正義の道を歩むことを誓った。","마지의 간수는 정의로운\r\n길을 걷기로 맹세했다.","Um Guardião dos Mahi \njurou percorrer o \ncaminho dos justos.","Хранитель Маджи поклялся \nидти путём праведника.","Un Guardián de los maji jura\r\nrecorrer el camino justo.","ผู้คุ้มครองแห่งมาไจให้สัตย์\r\nว่าจะเดินเพียงทางที่เที่ยงธรรม","聖賢守護者誓死走在正義的道路上。","485, 226,1000,1000","176,217,179","<italic>{Find the Warden of Eaves in the Viridian Wildwood to switch to this Wildwood Specialisation}","<italic>{Trouvez la Protectrice des Lisières dans la Sylve viridienne pour passer à cette Spécialisation de la Sylve}","<italic>{Findet die Wächterin der Traufe im Viridischen Finsterwald, um zu dieser Finsterwald-Spezialisierung zu wechseln}","<italic>{軒の番人を青緑の原生林で見つけることで原生林の特殊能力を切り替えることができる}","<italic>{이 야생림 특화로 전환하려면 취록의 야생림에서 처마의 간수를 찾으십시오}","<italic>{Encontre a Guardiã dos Eaves na Selva Viridiana para trocar para esta Especialização Selvagem}","<italic>{Найдите Смотрителя опушки в Диколесье Вириди, чтобы выбрать эту специализацию Диколесья}","<italic>{Encuentra a la Guardiana de las cornisas en el Bosque viridino para cambiar a esta especialización del bosque}","<italic>{ตามหา ผู้​คุ้มครอง​ชายป่า ใน​ป่า​ทึบ​วิริเดียน​เพื่อ​สลับ​ไป​เป็น วิชาชีพ​แห่ง​ป่าวิเศษ ชนิด​นี้}","<italic>{在翠綠荒林找到邊界守衛來切換至此荒林專精}",552,560,1,1,1
2,"Warlock","Warlock of the Mists","Sorcier des Brumes","Hexenmeister der Nebel","霧の魔法使い","연무의 마법사","Bruxo das Brumas","Колдун Туманов","Brujo de las nieblas","จอมอาคมม่านหมอก","嵐之術士","Art/2DArt/UIImages/InGame/Azmeri/AscendancyFrameShaman","  A Warlock of the Mists\r\n seeks mastery over\r\nthe darkness.","  Un Sorcier des brumes\r\n cherche à maîtriser\r\nles ténèbres.","  Ein Hexenmeister der Nebels \r\n strebt nach der Herrschaft\r\nüber die Dunkelheit.","  霧の魔術師は\r\n闇を支配しようとする。","  연무의 마법사는 어둠을\r\n원하는 대로 주무를\r\n힘을 구하고자 한다.","  Um Bruxo das Brumas busca \ndominar a escuridão.","  Колдун Туманов желает обрести \nвласть над темнотой.","<size:50>{  Un Brujo de las nieblas\r\n busca dominar\r\nla oscuridad.}","  จอมอาคมม่านหมอก\r\n ใฝ่หาความชำนาญ\r\nเหนือความมืดมน","  嵐之術士追尋\n      黑暗的控制權。","327, 252, 1000,1000","191, 153, 156","<italic>{Find the Breaker of Oaths in the Viridian Wildwood to switch to this Wildwood Specialisation}","<italic>{Trouvez le Briseur de Serments dans la Sylve viridienne pour passer à cette Spécialisation de la Sylve}","<italic>{Findet den Eidbrecher im Viridischen Finsterwald, um zu dieser Finsterwald-Spezialisierung zu wechseln}","<italic>{誓いを破る者を青緑の原生林で見つけることで原生林の特殊能力を切り替えることができる}","<italic>{이 야생림 특화로 전환하려면 취록의 야생림에서 서약 파기자를 찾으십시오}","<italic>{Encontre o Quebrador de Juramentos na Selva Viridiana para trocar para esta Especialização Selvagem}","<italic>{Найдите Клятвопреступника в Диколесье Вириди, чтобы выбрать эту специализацию Диколесья}","<italic>{Encuentra al Rompejuramentos en el Bosque viridino para cambiar a esta especialización del bosque}","<italic>{ตาม​หา ผู้​ตระบัด​สัตย์ ใน​ป่า​ทึบ​วิริเดียน​เพื่อ​สลับ​ไป​เป็น วิชาชีพ​แห่ง​ป่า​วิเศษ ชนิด​นี้}","<italic>{在翠綠荒林找到破誓者來切換至此荒林專精}",550,558,2,1,1
3,"Primalist","Wildwood Primalist","Primaliste de la Sylve","Finsterwald-Primalist","原生林の原始術師","야생림 원시술사","Primalista Selvagem","Прималист Диколесья","Primalista del bosque","สาวกปฐมกาลแห่งป่าวิเศษ","荒野始者","Art/2DArt/UIImages/InGame/Azmeri/AscendancyFramePrimal","A Primalist of the\r\nWildwood answers\r\nto no one.","Un primaliste de \nla Sylve \nn'obéit à personne.","<size:50>{Ein Primalist des \r\nFinsterwaldes ist\r\nniemandem \nRechenschaft \r\nschuldig.}","原生林の原始術師は\r\n誰にも従わない。","야생림의 원시술사는\r\n그 누구도 섬기지\r\n않는다.","Um Primalista da \nSelva não \nresponde a \nninguém.","Прималист \nДиколесья не \nотчитывается \nни перед кем.","Un Primalista\r\ndel bosque no\r\nresponde ante \nnadie.","สาวกปฐมกาล\r\nแห่งป่าวิเศษ\r\nไม่ฟังคำสั่งใคร","荒野始者不受\n任何人支配。","919,464,900,1250","207,189,138","<italic>{Find the Primal Huntress in the Viridian Wildwood to switch to this Wildwood Specialisation}","<italic>{Trouvez la Chasseresse primale dans la Sylve viridienne pour passer à cette Spécialisation de la Sylve}","<italic>{Findet die Urzeitliche Jägerin im Viridischen Finsterwald, um zu dieser Finsterwald-Spezialisierung zu wechseln}","<italic>{原始の女狩人を青緑の原生林で見つけることで原生林の特殊能力を切り替えることができる}","<italic>{이 야생림 특화로 전환하려면 취록의 야생림에서 원시 여사냥꾼을 찾으십시오}","<italic>{Encontre a Caçadora Primitiva na Selva Viridiana para trocar para esta Especialização Selvagem}","<italic>{Найдите Первобытную охотницу в Диколесье Вириди, чтобы выбрать эту специализацию Диколесья}","<italic>{Encuentra a la Cazadora primalista en el Bosque viridino para cambiar a esta especialización del bosque}","<italic>{ตาม​หา นักล่า​ปฐมกาล ใน​ป่า​ทึบ​วิริเดียน​เพื่อ​สลับ​ไป​เป็น วิชาชีพ​แห่ง​ป่า​วิเศษ ชนิด​นี้}","<italic>{在翠綠荒林找到原始女獵手來切換至此荒林專精}",551,559,3,1,1
4,"Trialmaster","Chaos Bloodline","Lignée de Chaos","Chaos-Blutlinie","カオスのブラッドライン","혼돈 혈맹","Linhagem do Caos","Родословная Хаоса","Linaje de Caos","สายเลือดเคออส","混沌血裔","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosAscendancyFrame","Your entire existence is merely\r\na jest to entertain Chaos.","Votre existence n'est autre \nqu'une plaisanterie visant à \ndivertir Chaos.","Eure komplette Existenz ist \nlediglich ein Spaß, \num Chaos zu unterhalten.","お前はただカオスを愉し\nませるためだけに存在する。","당신의 존재 자체가 혼돈을\r\n즐겁게 하기 위한 장난일 뿐입니다.","Toda a sua existência é apenas\r\n uma piada para entreter o Caos.","Всё твоё существование – не более\r\nчем шутка, забавляющая Хаос.","Toda tu existencia no es más que \nuna broma para entretener a Caos.","ตัวตนของเจ้า\r\nเป็นเพียงเรื่องขบขัน\r\nให้เคออสได้รื่นเริง","你的存在意義不過只是混沌的餘興。","500,960,900,1250","193,167,107","","","","","","","","","","",551,559,4,2,2
5,"Oshabi","Oshabi Bloodline","Lignée d'Oshabi","Oshabi-Blutlinie","オシャビのブラッドライン","오샤비 혈맹","Linhagem de Oshabi","Родословная Ошаби","Linaje de Oshabi","สายเลือดโอชาบิ","奧莎比血裔","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiAscendancyFrame"," Wraeclast's Lifeforce flows\r\nthrough your veins.","La Force vitale de Wraeclast \ncoule dans vos veines."," Wraeclasts Lebensenergie fließt\r\ndurch Eure Adern.","レイクラストの生命力が\nお前の体を駆け巡る。","레이클라스트의 생기가\r\n당신의 핏줄 속을 흐릅니다.","A força vital de Wraeclast\r\n corre por suas veias.","Жизненная сила Рэкласта\r\nтечёт по твоим венам.","La fuerza vital de Wraeclast \nfluye por tus venas.","พลังแห่งชีวิตของเวร์แคลส์ท\r\nไหลเวียนในเส้นเลือดเจ้า","瓦爾克拉斯的生靈之力在你的血管中流淌。","516,954,1050,1100","146,192,226","","","","","","","","","","",551,559,5,3,3
6,"KingInTheMists","Nameless Bloodline","Lignée des Innommés","Namenlose Blutlinie","名もなき者のブラッドライン","이름 없는 혈맹","Linhagem Sem Nome","Родословная безмянных","Linaje de los Sinnombre","สายเลือดไร้นาม","無名血裔","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistAscendancyFrame","Crawling out of the dark,\r\nyou seek the exquisite\r\nlight of meaning.","Rampant hors des ténèbres,\r\nvous recherchez l'exquise\r\nillumination de la signification.","Aus der Dunkelheit kriechend\r\nsucht Ihr nach dem herrlichen\r\nLicht der Bedeutung.","闇より這い出たお前は目的\nという至高の光を求める。","당신은 어둠 속에서 기어 나와\r\n의미라는 찬연한 빛을\r\n찾아 헤맵니다.","Rastejando para fora\r\n da escuridão, você busca\r\n a luz sublime do sentido.","Выползая из темноты,\r\nты ищешь изысканный\r\nсвет смысла.","Te arrastras desde la oscuridad \npara buscar la luz \nexquisita del significado.","เจ้าคืบคลานออกมาจากความมืด\r\nแสวงหาแสงวิจิตรแห่งความหมาย","從黑暗之中爬行而出，\n你追尋著優雅的意涵之光。","500,950,900,1250","127,122,183","","","","","","","","","","",551,559,6,4,4
7,"Catarina","Catarina Bloodline","Lignée de Catarina","Catarina-Blutlinie","カタリナのブラッドライン","카타리나 혈맹","Linhagem de Catarina","Родословная Катарины","Linaje de Catarina","สายเลือดคาทาริน่า","卡塔莉娜血裔","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichAscendancyFrame","Distant screaming echoes...\r\nthe Well of Souls, calling\r\nto you from below...","Des cris distants résonnent…\r\nle Puits des Âmes, vous\r\nappelant depuis les profondeurs…","Entfernte Schreie hallen \nwider ... der Brunnen der \nSeelen ruft nach Euch, von \ntief unten ...","遠くで響く絶叫……\n魂の井戸が地の底からお前を呼んでいる……","아득하게 울려 퍼지는 비명...\r\n저 아래에서 영혼의 우물이\r\n당신을 부르는 소리입니다...","Gritos ecoam ao longe...\r\n O Poço das Almas chama\r\n por você das profundezas...","Эхом отдалённых криков\r\nКолодец душ взывает\r\nк тебе снизу...","Unos gritos lejanos resuenan... \nel Pozo de las almas te \nllama desde la profundidad...","เสียงกรีดร้องก้องกังวานมาแต่ไกล...\r\nบ่อวิญญาณเพรียกหาเจ้า\r\nจากเบื้องล่าง...","尖嘯聲從遠處迴盪而來... \n那是靈魂深井對你的呼喚...","330,920,900,1250","180,238,204","","","","","","","","","","",551,559,7,5,5
8,"Aul","Aul Bloodline","Lignée d'Aul","Aul-Blutlinie","アウルのブラッドライン","아울 혈맹","Linhagem de Aul","Родословная Ола","Linaje de Aul","สายเลือดอืล","奧爾血裔","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightAscendancyFrame","The Crystal King traded his\r\npeople for dark power.\r\nNow, it is yours.","Le Roi de cristal a échangé son\r\npeuple contre un pouvoir \nobscur. Désormais, il est \nvôtre.","<size:50>{Der Kristallkönig hat sein \nVolk für dunkle Macht \neingetauscht. Jetzt ist \nsie die Eure.}","水晶の王は邪悪な力と引き換え\nに民を差し出した。\nその力は今はお前のものだ。","수정의 왕은 자신의 백성을\r\n어두운 힘으로 바꾸었습니다.\r\n이제 그 힘이 당신의 \n손안에 있습니다.","O Rei de Cristal trocou seu\r\n povo pelo poder das trevas.\r\n Agora, ele é seu.","Кристальный царь выменял\r\nсвой народ на тёмную силу.\r\nТеперь она твоя.","<size:50>{El Rey de cristal intercambió \na su pueblo por un poder \noscuro. Ahora, es tuyo.}","กษัตริย์คริสตัลสังเวยราษฎรของเขา\r\nเพื่อแลกกับพลังมืดมน\r\nบัดนี้มันเป็นพลังของเจ้าแล้ว","晶之帝用自己的力量和黑暗交換。\n現在，它是你的了。","530,1025,900,1250","220,250,255","","","","","","","","","","",551,559,8,6,6
9,"Lycia","Lycia Bloodline","Lignée de Lycia","Lycia-Blutlinie","リシアのブラッドライン","리키아 혈맹","Linhagem de Lycia","Родословная Люции","Linaje de Lycia","สายเลือดไลเซีย","利希亞血裔","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldAscendancyFrame","The Original Sin\r\nwas not your doing,\r\nbut it is still your\r\nburden to bear.","<size:45>{Le Péché originel\r\nn'était pas votre œuvre,\r\net pourtant, vous devez\r\nen porter le fardeau.}","<size:45>{Die Ursünde war\r\nnicht Euer Verschulden,\r\ndoch sie ist dennoch\r\nEure Last zu tragen.}","<size:47>{『原罪』を犯したの\nはお前ではないが、\nそれでもお前はその重荷\nを背負わねばならない。}","원죄는 당신의 잘못이 \n아니지만 그래도 여전히 \n당신이 짊어져야 \n할 짐입니다.","<size:45>{O Pecado Original\r\n não foi obra sua,\r\n mas ainda é um\r\n fardo que você\n carrega.}","<if:M>{Первородный грех\r\nсовершил не ты,\r\nно нести эту ношу\r\nвсё равно тебе.}\r\n<elif:FS>{Первородный грех\r\nсовершила не ты,\r\nно нести эту ношу\r\nвсё равно тебе.}","<size:45>{El pecado original \nno fue culpa tuya, \npero sigue siendo \nuna carga que \ndebes soportar.}","<size:50>{บาปต้นกำเนิดมิใช่ความผิดเจ้า\r\nทว่าเจ้ายังต้องแบกรับมันสืบไป}","<size:50>{原罪並非你的所作所為，\n但仍是你需承受的重擔。}","925,530,900,1250","232,194,167","","","","","","","","","","",551,559,9,7,7
