"rownum","MinLevel","i32_4","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28","f32_32","i32_36","i32_40","i32_44","i32_48","i32_52"
0,1,3,3,0,0,0,0,2000,7,20,3,3,5,600
1,2,3,3,0,0,0,0,2000,7,20,3,3,5,600
2,3,3,3,0,0,0,0,2000,7,20,3,3,5,600
3,4,3,3,5,10,3,5,2000,7,20,3,3,5,600
4,5,3,3,5,10,3,5,2000,7,20,3,3,5,600
5,6,3,3,5,10,3,5,2000,7,20,3,3,5,600
6,7,3,3,5,10,3,5,2000,7,20,3,3,5,600
7,8,3,3,5,10,3,5,2000,7,20,3,3,5,600
8,9,3,3,5,10,3,5,2000,7,20,3,3,5,600
9,10,3,3,5,10,3,5,2000,7,20,3,3,5,600
10,11,3,3,5,10,3,5,2000,7,20,3,3,5,600
11,12,3,3,5,10,3,5,2000,7,20,3,3,5,600
12,13,3,3,5,10,3,5,2000,8,20,3,3,5,600
13,14,3,3,5,10,3,5,2000,8,20,3,3,5,600
14,15,3,3,5,10,3,5,2000,8,20,3,3,5,600
15,16,3,3,5,10,3,5,2000,8,20,3,3,5,600
16,17,3,3,5,10,3,5,2000,8,20,3,3,5,600
17,18,3,3,5,10,3,5,2000,8,24,3,3,5,600
18,19,3,3,5,10,3,5,2000,8,24,3,3,5,600
19,20,3,3,5,10,3,5,2000,8,24,3,3,5,600
20,21,3,3,5,10,3,5,2000,8,24,3,3,5,600
21,22,3,3,5,10,3,5,2000,8,24,3,3,5,600
22,23,3,3,5,10,3,5,2000,8,24,3,3,5,600
23,24,3,3,5,10,3,5,2000,8,24,3,3,5,600
24,25,3,3,5,10,3,5,2000,8,24,3,3,5,600
25,26,3,3,5,10,3,5,2000,8,24,3,3,5,600
26,27,3,3,5,10,3,5,2000,8,24,3,3,5,600
27,28,3,3,5,10,3,5,2000,8,24,3,3,5,600
28,29,3,3,5,10,3,5,2000,8,24,3,3,5,600
29,30,3,3,5,10,3,5,2000,8,24,3,3,5,600
30,31,3,3,5,10,3,5,2000,8,24,3,3,5,600
31,32,3,3,5,10,3,5,2000,8,24,3,3,5,600
32,33,3,3,5,10,3,5,2000,8,24,3,3,5,600
33,34,3,3,8,14,3,5,2000,9,32,3,3,5,800
34,35,3,3,8,14,3,5,2000,9,32,3,3,5,800
35,36,3,3,8,14,3,5,2000,9,32,3,3,5,800
36,37,3,3,8,14,3,5,2000,9,32,3,3,5,800
37,38,3,3,8,14,3,5,2000,9,32,3,3,5,800
38,39,3,3,8,14,3,5,2000,9,32,3,3,5,800
39,40,3,3,8,14,3,5,2000,9,32,3,3,5,800
40,41,3,3,8,14,3,5,2000,9,32,3,3,5,800
41,42,3,3,8,14,3,5,2000,9,32,3,3,5,800
42,43,3,3,8,14,3,5,2000,9,32,3,3,5,800
43,44,3,3,8,14,3,5,2000,9,32,3,3,5,800
44,45,3,3,8,14,3,5,2000,9,32,3,3,5,1000
45,46,3,4,10,18,3,5,2000,9,32,3,3,5,1000
46,47,3,4,10,18,3,5,2000,9,32,3,3,5,1000
47,48,3,4,10,18,3,5,2000,9,32,3,3,5,1000
48,49,3,4,10,18,3,5,2000,9,32,3,3,5,1000
49,50,3,4,10,18,3,5,2000,9,32,3,3,5,1000
50,51,3,4,10,18,3,5,2000,9,35,3,3,5,1000
51,52,3,4,10,18,3,5,2000,9,35,3,3,5,1000
52,53,3,4,10,18,3,5,2000,9,35,3,3,5,1000
53,54,3,4,10,18,3,5,2000,9,35,3,3,5,1000
54,55,3,4,10,18,3,5,2000,9,35,3,3,5,1000
55,56,3,4,10,18,3,5,2000,9,35,3,3,5,1200
56,57,3,4,10,18,3,5,2000,9,35,3,3,5,1200
57,58,3,4,10,18,3,5,2000,9,35,3,3,5,1200
58,59,3,4,10,18,3,5,2000,9,35,3,3,5,1200
59,60,3,4,10,18,3,5,2000,9,35,3,3,5,1400
60,61,3,4,10,18,3,5,2000,10,35,3,3,5,1400
61,62,3,4,10,18,3,5,2000,10,35,3,3,5,1400
62,63,3,4,10,18,3,5,2000,10,35,3,3,5,1400
63,64,3,4,10,18,3,5,2000,10,35,3,3,5,1600
64,65,3,4,10,18,3,5,2000,10,35,3,3,5,1600
65,66,3,4,10,18,3,5,2000,10,35,3,3,5,1600
66,67,3,4,10,18,3,5,2000,10,35,3,3,5,1600
67,68,3,4,10,18,3,5,2000,11,35,3,3,5,2000
68,69,3,4,10,18,3,5,2000,11,40,3,3,5,2000
69,70,3,4,10,18,3,5,2000,11,40,3,3,5,2000
70,71,3,4,10,18,3,5,2000,11,40,3,3,5,2000
71,72,3,4,10,18,3,5,2000,11,40,3,3,5,2000
72,73,3,4,10,18,3,5,2000,11,40,3,3,5,2000
73,74,3,4,10,18,3,5,2000,11,40,3,3,5,2000
74,75,3,4,10,18,3,5,2000,11,40,3,3,5,2000
75,76,3,4,10,18,3,5,2000,11,40,3,3,5,2000
76,77,3,4,10,18,3,5,2000,12,40,3,3,5,2000
77,78,3,4,10,18,3,5,2000,12,40,3,3,5,2000
78,79,3,4,10,18,3,5,2000,12,40,3,3,5,2000
79,80,3,4,10,18,3,5,2000,12,40,3,3,5,2000
80,81,3,4,10,18,3,5,2000,12,40,3,3,5,2000
81,82,3,4,10,18,3,5,2000,12,40,3,3,5,2000
82,83,3,4,10,18,3,5,2000,12,40,3,3,5,2000
