"rownum","string_0","rid_8","rid_24","string_40","string_48","string_48 (French)","string_48 (German)","string_48 (Japanese)","string_48 (Korean)","string_48 (Portuguese)","string_48 (Russian)","string_48 (Spanish)","string_48 (Thai)","string_48 (Traditional Chinese)","i32_56","i32_60","rid_64"
0,"MiningParent","",1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningJobButton","Mining","Minage","Bergbau","採掘","채광","Minerando","Добыча руды","Minería","การขุดแร่","開採",720,800,""
1,"Mining0",1,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Crimson Iron Mine","Mine de Fer écarlate","Bluteisen-Mine","深赤鉄採鉱場","진홍철 광산","Mina de Ferro Carmesim","Рудник алого железа","Mina de hierro carmesí","เหมืองเหล็กเลือดนก","緋紅鍛鐵礦坑",720,600,0
2,"Mining1",2,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Orichalcum Mine","Mine d'Orichalque","Oreichalkos-Mine","オリハルコン採鉱場","오리칼쿰 광산","Mina de Oricálco","Орихалковый рудник","Mina de oricalco","เหมืองโอริคัลคุม","山銅礦坑",861,659,1
3,"Mining2",3,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Petrified Amber Mine","Mine d'Ambre pétrifié","Amberium-Mine","石化琥珀採鉱場","석화 호박 광산","Mina de Âmbar Petrificado","Янтарный рудник","Mina de ámbar petrificado","เหมืองหินอำพัน","石化琥珀礦坑",920,800,2
4,"Mining3",4,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Bismuth Mine","Mine de Bismuth","Bismut-Mine","蒼鉛採鉱場","비스무트 광산","Mina de Bismuto","Висмутовый рудник","Mina de bismuto","เหมืองบิสมัท","鉍礦坑",861,941,3
5,"Mining4",5,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Verisium Mine","Mine de Vérisium","Verisium-Mine","ヴェリシウム採鉱場","베리시움 광산","Mina de Verísio","Веризиевый рудник","Mina de verisium","เหมืองเวรีเซียม","維里西姆礦坑",720,1000,4
6,"SmelthingParent","",2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingJobButton","Smelting","Fonte","Verhüttung","製錬","제련","Derretendo","Переплавка","Fundición","การถลุงแร่","冶煉",2230,540,""
7,"Smelting0",6,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Crimson Iron Smelter","Fonderie de Fer écarlate","Verhüttung von Bluteisen","深赤鉄製錬所","진홍철 제련소","Fundidor de Ferro Carmesim","Плавильня алого железа","Fundidor de hierro carmesí","โรงถลุงเหล็กเลือดนก","緋紅鍛鐵冶煉者",2230,340,5
8,"Smelting1",7,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Orichalcum Smelter","Fonderie d'Orichalque","Verhüttung von Oreichalkos","オリハルコン製錬所","오리칼쿰 제련소","Fundidor de Oricálco","Плавильня орихалка","Fundidor de oricalco","โรงถลุงโอริคัลคุม","山銅冶煉者",2089,399,6
9,"Smelting2",8,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Petrified Amber Smelter","Fonderie d'Ambre pétrifié","Verhüttung von Amberium","石化琥珀製錬所","석화 호박 제련소","Fundidor de Âmbar Petrificado","Плавильня янтаря","Fundidor de ámbar petrificado","โรงถลุงหินอำพัน","石化琥珀冶煉者",2030,540,7
10,"Smelting3",9,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Bismuth Smelter","Fonderie de Bismuth","Verhüttung von Bismut","蒼鉛製錬所","비스무트 제련소","Fundidor de Bismuto","Плавильня висмута","Fundidor de bismuto","โรงถลุงบิสมัท","鉍冶煉者",2089,681,8
11,"Smelting4",10,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Verisium Smelter","Fonderie de Vérisium","Verhüttung von Verisium","ヴェリシウム製錬所","베리시움 제련소","Fundidor de Verísio","Плавильня веризия","Fundidor de verisium","โรงถลุงเวรีเซียม","維里西姆冶煉者",2230,740,9
12,"FarmingParent","",3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmingJobButton","Farming","Agriculture","Landwirtschaft","農業","경작","Cultivando","Фермерство","Agricultura","การเพาะปลูก","耕種",1280,310,""
13,"Farming0",11,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 1","Parcelle 1","Anbaufläche 1","区画 1","경작지 1","Plantação 1","Участок 1","Parcela 1","แปลง 1","農地 1",1188,535,""
