"rownum","Unit","Monster","Animation","i32_48","Achievement","bool_68","bool_69","bool_70","bool_71"
0,0,9868,7220,2,[9790],1,"","",""
1,1,9871,7226,0,[9791],"","","",""
2,2,9873,7232,0,[9792],"","","",""
3,3,9875,7222,0,[],"","","",""
4,4,9876,7231,2,[9793],"","","",""
5,5,9879,7233,1,[9794],"","","",""
6,6,9881,7224,1,[9795],"","","",""
7,7,9883,7223,0,[],"","","",""
8,8,9885,7223,0,[9796],"","","",""
9,9,9865,7233,1,[9797],"","","",""
10,10,9887,7231,2,[9798],"","","",""
11,11,9889,7221,1,[9799],"","","",""
12,12,9891,7222,1,[9800],"","","",""
13,13,9894,7224,1,[9801],"","","",""
14,14,9896,7223,0,[9802],"","","",""
15,15,9898,7231,1,[9803],"","","",""
16,16,9900,7224,2,[9804],"","","",""
17,17,9903,7231,2,[9805],"","","",""
18,18,9906,7226,0,[9806],"","","",""
19,19,9908,7224,0,[9807],"","","",""
20,20,9864,7179,3,[],"","","",""
21,21,9910,7223,0,[9808],"","","",""
22,22,9912,7224,1,[9809],"","","",""
23,23,9914,7231,2,[9810],"","","",""
24,24,9916,7231,2,[9811],"","","",""
25,25,9920,7231,2,[9812],"","","",""
26,26,9923,7223,0,[9813],"","","",""
27,27,9927,7231,2,[9814],"","","",""
28,28,9930,7223,0,[9815],"","","",""
29,29,9932,7224,1,[9816],"","","",""
30,30,9934,7231,2,[9817],"","","",""
31,31,9936,7224,1,[9818],"","","",""
32,32,9938,7224,1,[9819],"","","",""
33,33,9942,7223,0,[9820],"","","",""
34,47,9952,7179,3,[],"","","",""
35,48,9955,7179,3,[],"","","",""
36,49,9958,7222,0,[],"","","",""
37,50,9959,7179,3,[],"","","",""
38,51,9962,7179,3,[9821],"","","",""
39,52,9965,7222,0,[],"","","",""
40,53,9967,7223,0,[],"","","",""
41,54,9974,7179,3,[],"","","",""
42,55,9978,7179,3,[],"","","",""
43,56,9982,7179,3,[],"","","",""
44,57,9986,7179,3,[],"","","",""
45,58,9990,7179,3,[],"","","",""
46,59,9994,7179,3,[9822],"","","",""
