"rownum","Stat","Monsters","i32_32","bool_36","i32_37"
0,19359,"[8385,5277,10387,6379,7602]",0,"",0
1,19360,"[5441,5438,5432,5435]",0,"",0
2,19363,"[6366,6369,6372,6376]",0,"",0
3,19364,"[5183,5177,5188,5170]",0,"",0
4,19365,"[7583,7587,7591,7595]",0,"",0
5,19366,"[8234,8260,8286,8316]",0,"",0
6,19395,[8683],1,"",0
7,19396,[8687],1,"",0
8,19397,[8691],1,"",0
9,19399,[7022],0,"",0
10,19420,"[2679,2684,2689,2692,2695,2700,2703,2705,2708,2711,2713,2718,2720,2722,2725,2728,2732,2735,2737,2742,2744,2746,2750,2753,2755,2757,2759,2764,2767,2771,2773,2776,2780,2782]",1,1,0
11,19510,[3285],1,"",0
12,19590,[5869],1,"",0
13,19361,"[10410,10392,10381]",0,"",0
