"rownum","Id","BuffDDSFile","EPKFiles1","EPKFiles2","PreloadGroups","bool_64","BuffName","BuffName (French)","BuffName (German)","BuffName (Japanese)","BuffName (Korean)","BuffName (Portuguese)","BuffName (Russian)","BuffName (Spanish)","BuffName (Thai)","BuffName (Traditional Chinese)","MiscAnimated1","MiscAnimated2","BuffDescription","BuffDescription (French)","BuffDescription (German)","BuffDescription (Japanese)","BuffDescription (Korean)","BuffDescription (Portuguese)","BuffDescription (Russian)","BuffDescription (Spanish)","BuffDescription (Thai)","BuffDescription (Traditional Chinese)","EPKFile","HasExtraArt","ExtraArt","[i32]_130","EPKFiles","BuffVisualOrbs","MiscAnimated3","WeaponEffect","string_210","f32_218","f32_222","bool_226","bool_227","[string]_228"
0,"invisible","","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
1,"nobuff","",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
2,"ignited","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/Spells/supports/aurafy/fire.epk"",""Metadata/Effects/Spells/supports/aurafy/fire.epk"",""Metadata/Effects/Spells/supports/aurafy/large_fire.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/StatusAilments/Ignited_player.epk","","",[],[],[],"","","",0,0,1,1,[]
3,"chilled","Art/2DArt/BuffIcons/buffchilled.dds","[""Metadata/Effects/StatusAilments/Chilled.epk""]","[""Metadata/Effects/Spells/supports/aurafy/chilled.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/StatusAilments/Chilled_player.epk","","",[],[],[],"","","",0,0,1,1,[]
4,"frozen","Art/2DArt/BuffIcons/bufffrozen.dds","[""Metadata/Effects/StatusAilments/Frozen.epk""]","[""Metadata/Effects/Spells/supports/aurafy/ice.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/StatusAilments/Frozen_player.epk","","",[],[],[],"","","",0,0,1,1,[]
5,"shocked","Art/2DArt/BuffIcons/buffshocked.dds","[""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk""]","[""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/large_light.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/StatusAilments/shocked_player.epk","","",[],[],[],"","","",0,0,1,1,[]
6,"arc_trap","Art/2DArt/BuffIcons/ArcTrap.dds","[""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk""]","[""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/large_light.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
7,"sprinting","Art/2DArt/SkillIcons/iconsprint.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
8,"grace_period","Art/2DArt/BuffIcons/invulnerability.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
9,"god_mode","Art/2DArt/BuffIcons/invulnerability.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
10,"experience","Art/2DArt/SkillIcons/iconbash.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
11,"poison","Art/2DArt/SkillIcons/iconpoisoned.dds","[""Metadata/Effects/StatusAilments/poisoned_02.epk"",""Metadata/Effects/StatusAilments/poisoned_02.epk"",""Metadata/Effects/StatusAilments/monsters/mid_monsters/poisoned_02.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/poisoned_02.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/StatusAilments/poisoned_player.epk","","",[],[],[],"","","",0,0,1,1,[]
12,"caustic_cloud","Art/2DArt/BuffIcons/CausticCloud.dds","[""Metadata/Effects/StatusAilments/poisoned.epk"",""Metadata/Effects/StatusAilments/poisoned.epk"",""Metadata/Effects/StatusAilments/monsters/mid_monsters/poisoned.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/poisoned.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
13,"blood_rage","Art/2DArt/BuffIcons/buffrage.dds","[""Metadata/Effects/StatusAilments/blood_frenzy.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
14,"kiweth_enrage","","[""Metadata/Effects/StatusAilments/blood_frenzy.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
15,"righteous_fire","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/ri_fire/bottom.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
16,"righteous_fire_sacrifice","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/monsters_effects/league_avatar/Ri_fire_blue/bottom.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
17,"righteous_fire_celestial","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/bottom.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
