"rownum","Id","MiscAnimated","AnimationAlternate","bool_36","bool_37","bool_38","bool_39","i32_40","bool_44"
0,0,"",275,1,1,"",1,0,1
1,1,74,"","",1,"",1,0,1
2,2,158,159,"",1,"",1,0,1
3,3,276,277,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,276,"","",1,"",1,0,1
6,6,276,"",1,1,"",1,0,1
7,7,1438,"","","","",1,0,1
8,8,2106,"","","",1,1,0,1
9,9,2407,"","","",1,1,0,1
10,10,2567,"","","",1,1,0,1
11,11,2544,"","","","",1,0,1
12,12,2921,"","","","",1,0,1
13,13,276,"","",1,"",1,0,1
14,14,3267,"","",1,"",1,0,1
15,15,3268,"","",1,"",1,0,1
16,16,3269,"","",1,"",1,0,1
17,17,3324,"","","","",1,0,1
18,18,3465,"","","","",1,-100,1
19,19,504,275,1,"","",1,0,1
20,20,1844,"","","","",1,0,1
21,21,3672,"","","","",1,0,1
22,22,3759,"","","","",1,0,1
23,23,3760,"","","","",1,0,1
24,24,3761,"","","","",1,0,1
25,25,3927,"","","",1,1,0,1
26,26,4276,"","","","",1,0,1
27,27,4393,"","","","",1,0,1
28,28,4815,"","","","",1,0,1
29,29,4971,"",1,"",1,1,0,1
30,30,4994,"","",1,"",1,0,1
31,31,5254,"","","",1,1,0,1
32,32,5253,"","","","",1,0,1
33,33,5258,"","","",1,1,0,1
34,34,5259,"","","",1,1,0,1
35,35,5257,"","","",1,1,0,1
36,36,5304,"",1,1,1,1,0,1
37,37,5305,"",1,1,1,1,0,1
38,38,5706,"","",1,1,1,0,1
39,39,5803,"","","","",1,0,1
40,40,6287,"","","",1,1,0,1
41,41,6328,"","","",1,1,0,1
42,42,6385,"","","",1,1,0,1
43,43,6246,"","","","",1,0,1
44,44,6904,"","","","",1,0,1
45,45,6908,"","","","",1,0,1
46,46,7014,"","","",1,1,0,1
47,47,"","","","",1,1,0,""
48,48,7442,"","","",1,1,0,1
49,49,3325,"","","","",1,0,1
50,50,7487,"","","",1,1,0,1
51,51,7682,"","",1,"",1,0,1
52,52,7878,"","","","",1,0,1
53,53,7879,"","","","",1,0,1
54,54,7443,"","","","",1,0,""
