"rownum","Id","StatsKey","bool_24","StatMin","StatMax","bool_33"
0,"IsMagic",1991,"",1,1,""
1,"IsRare",1991,"",2,2,""
2,"IsUnique",1991,"",3,3,""
3,"IsTwinned",983,1,1,1,""
4,"IsUnidentified",1364,1,1,1,""
5,"IsCorrupted",2571,1,1,1,""
6,"Has4ExplicitMods",4566,1,4,4,""
7,"Has5ExplicitMods",4566,1,5,5,""
8,"Has8ExplicitMods",4566,1,8,8,""
9,"Has10TotalMods",6618,1,10,10,""
10,"Has3Leaguestones",5912,1,3,3,""
11,"HasZanaMod",7826,1,1,1,""
12,"HasCraftedMods",7827,1,1,1,""
13,"HasShaperInfluence",6957,"",1,1,""
14,"HasElderInfluence",6957,"",2,2,""
15,"HasShaperOrElderInfluence",6957,"",1,2,""
16,"IsWhiteTier",10158,"",1,5,""
17,"IsYellowTier",10158,"",6,10,""
18,"IsRedTier",10158,"",11,16,""
19,"IsRedorPurpleTier",10158,"",11,17,""
20,"IsTier15",10158,"",15,15,""
21,"IsTier16",10158,"",16,16,""
22,"IsTier17",10158,"",17,17,""
23,"HasSextantMod",5945,1,1,1,""
24,"HasNemesisSextant",5020,1,1,1,""
25,"HasGroundHasteSextant",5140,1,1,1,""
26,"HasNoReflectSextant",5166,1,1,1,""
27,"HasExtraTeamMonstersSextant",5174,1,1,1,""
28,"HasBodyguardsSextant",5203,1,1,1,""
29,"HasBarrelSextant1",5200,1,1,1,""
30,"HasBarrelSextant2",5227,1,1,1,""
31,"HasBarrelSextant3",5228,1,1,1,""
32,"HasBarrelSextant4",5229,1,1,1,""
33,"HasBarrelSextant5",5230,1,1,1,""
34,"HasBarrelSextant6",5231,1,1,1,""
35,"HasConvertOnDeathSextant",5173,1,1,1,""
36,"HasOnslaughtIfHitRecentlySextant",5123,1,1,1,""
37,"HasQualityAffectsRaritySextant",5158,1,1,1,""
38,"HasCorruptedDropsSextant",5160,1,1,1,""
39,"HasMinStrongboxRaritySextant",5226,1,1,1,""
40,"HasPossessedRustedScarabSextant",9476,1,1,1,""
41,"HasPossessedPolishedScarabSextant",9477,1,1,1,""
42,"HasPossessedGildedScarabSextant",9478,1,1,1,""
43,"HasPossessedWingedScarabSextant",9479,1,1,1,""
44,"HasPossessedUniqueDropSextant",9480,1,1,1,""
45,"HasPossessedMapDropSextant",9481,1,1,1,""
46,"HasShrineDurationSextant",5825,1,1,1,""
47,"HasCurrencyShardSextant",9485,1,1,1,""
48,"HasVaalMonstersSextant",9509,1,1,1,""
49,"HasBeyondSextant",9500,1,1,1,""
50,"HasTormentBetrayersSextant",9538,1,1,1,""
