"rownum","Id","Tag","Tag (French)","Tag (German)","Tag (Japanese)","Tag (Korean)","Tag (Portuguese)","Tag (Russian)","Tag (Spanish)","Tag (Thai)","Tag (Traditional Chinese)","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰",518,9166,10389,21542
1,"cold","Cold","Froid","Kälte","冷気","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷",519,9167,10390,21543
2,"lightning","Lightning","Foudre","Blitz","雷","번개","Raio","Молния","Rayo","สายฟ้า","閃電",520,9168,10391,21544
3,"chaos","Chaos","Chaos","Chaos","混沌","카오스","Caos","Хаос","Caos","เคออส","混沌",521,9169,10392,21541
4,"spell","Spell","Sort","Zauber","スペル","주문","Magia","Чары","Hechizo","เวท","法術",523,"","",""
5,"projectile","Projectile","Projectile","Projektil","投射物","투사체","Projétil","Снаряд","Proyectil","โพรเจกไทล์","投射物",522,9177,"",""
6,"bow","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓箭",525,9171,"",""
7,"melee","Melee","Mêlée","Nahkampf","近接","근접","Corpo a Corpo","Ближний бой","Cuerpo a cuerpo","ประชิด","近戰",524,9170,"",20948
8,"minion","Minion","Créature","Kreatur","ミニオン","소환수","Lacaio","Приспешник","Esbirro","มิเนียน","召喚物",526,9165,"",""
9,"strength","","","","","","","","","","",757,9173,"",10854
10,"dexterity","","","","","","","","","","",758,9174,"",10855
11,"intelligence","","","","","","","","","","",759,9175,"",10856
12,"aura","Aura","Aura","Aura","オーラ","오라","Aura","Аура","Aura","ออร่า","光環",1063,9172,"",22576
13,"attack","Attack","Attaque","Angriff","アタック","공격","Ataque","Атака","Ataque","โจมตี","攻擊","","","",""
14,"area","AoE","Zone","Wirkungsbereich","範囲効果","효과 범위","Área","Область","AdE","พื้นที่","範圍效果",8045,9176,"",""
15,"duration","Duration","Durée","Dauer","持続時間","지속시간","Duração","Длится","Duración","ช่วงเวลา","持續時間",8044,"","",""
16,"support","Support","Soutien","Unterstützung","サポート","보조","Suporte","Поддержка","Asistencia","เสริม","輔助",2265,2481,"",""
17,"curse","Curse","Malédiction","Fluch","呪い","저주","Maldição","Проклятие","Maldición","คำสาป","詛咒",2069,"","",17554
18,"chaining","Chaining","Ricochet","Verkettung","連鎖","연쇄의","Ricochete","Цепь","Encadenamiento","ชิ่ง","連鎖","","","",""
19,"totem","Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰","","","",10858
20,"trap","Trap","Piège","Falle","トラップ","덫","Armadilha","Ловушка","Trampa","กับดัก","陷阱",8136,"","",""
21,"mine","Mine","Mine","Mine","マイン","지뢰","Mina","Мина","Mina","ทุ่นระเบิด","地雷","","","",""
22,"movement","Movement","Déplacement","Bewegung","移動","이동","Movimento","Движение","Movimiento","เคลื่อนที่","位移",1263,"","",""
23,"cast","Cast","Incantation","Zauber","キャスト","시전","Conjuração","Сотворение","Lanzamiento","ร่าย","施放","","","",""
24,"vaal","Vaal","Vaal","Vaal","ヴァール","바알","Vaal","Ваал","Vaal","วาล์","瓦爾",2185,"","",10857
25,"grants_active_skill","","","","","","","","","","","","","",""
26,"trigger","Trigger","Déclenchement","Auslöser","トリガー","발동","Ativação","Активатор","Activación","ทริกเกอร์","觸發","","","",""
27,"warcry","Warcry","Cri de guerre","Kriegsschrei","ウォークライ","함성","Clamor","Боевой клич","Grito de guerra","คำราม","戰吼",3222,"","",""
28,"golem","Golem","Golem","Golem","ゴーレム","골렘","Golem","Голем","Gólem","โกเลม","魔像",3226,"","",""
29,"low_max_level","","","","","","","","","","","","","",""
