"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","bool_16"
0,"Embrace","1 Loyalty Tattoo","1 Tatouage de Loyauté","1 Stammestätowierung","忠誠のタトゥー 1個","충성 문신 1개","1 Tatuagem da Lealdade","1 татуировка верности","1 tatuaje de lealtad","1 ลายสักภักดี","1 個忠誠紋身",1
1,"StrNotable","1 Strength Notable Tattoo","1 Tatouage Éminent de Force","1 Tätowierung einer bedeutenden Stärke-Passive","筋力特殊タトゥー 1個","힘 주요 문신 1개","1 Tatuagem Notável de Força","1 татуировка значимого умения силы","1 tatuaje notable de fuerza","1 ลายสักกลาง Strength","1 個力量核心紋身",1
2,"DexNotable","1 Dexterity Notable Tattoo","1 Tatouage Éminent de Dextérité","1 Tätowierung einer bedeutenden Geschick-Passive","器用さ特殊タトゥー 1個","민첩 주요 문신 1개","1 Tatuagem Notável de Destreza","1 татуировка значимого умения ловкости","1 tatuaje notable de destreza","1 ลายสักกลาง Dexterity","1 個敏捷核心紋身",1
3,"IntNotable","1 Intelligence Notable Tattoo","1 Tatouage Éminent d'Intelligence","1 Tätowierung einer bedeutenden Intelligenz-Passive","知性特殊タトゥー 1個","지능 주요 문신 1개","1 Tatuagem Notável de Inteligência","1 татуировка значимого умения интеллекта","1 tatuaje notable de inteligencia","1 ลายสักกลาง Intelligence","1 個智慧核心紋身",1
4,"AttributeNotable","1 Attribute Notable Tattoo","1 Tatouage Éminent d'Attribut","1 Tätowierung einer bedeutenden Attribut-Passive","能力値特殊タトゥー 1個","능력치 주요 문신 1개","1 Tatuagem Notável de Atributo","1 татуировка значимого умения характеристик","1 tatuaje notable de atributos","1 ลายสักกลางค่าคุณสมบัติ","1 個能力核心紋身",1
5,"Family","1 Ancestral Tattoo","1 Tatouage ancestral","1 Ahnen-Tätowierung","先祖のタトゥー 1個","1 선조 문신","1 Tatuagem Ancestral","1 татуировка предков","1 tatuaje ancestral","1 ลายสักบรรพชน","1 個祖靈紋身",1
6,"Keystone","1 Keystone Tattoo","1 Tatouage charnière","1 Schlüsselfertigkeit-Tätowierung","キーストーンタトゥー 1個","1 핵심노드 문신","1 Tatuagem Fundamental","1 татуировка ключевого умения","1 tatuaje de piedra angular","1 ลายสักคีย์สโตน","1 個關鍵紋身",1
7,"Mastery","1 Runegraft","1 Marque runique","1 Runengravur","ルーングラフト 1個","룬 접목 1개","1 Enxerto de Runa","1 рунограмма","1 símbolo rúnico","1 ตรานาบอักขระ","1 個符文之結",1
8,"RiverRunegraft","1 Runegraft of the River","1 Marque runique de la Rivière","1 Runengravur des Flusses","川のルーングラフト 1個","강의 룬 접목 1개","1 Enxerto de Runa do Rio","1 рунограмма реки","1 símbolo rúnico del río","1 ตรานาบอักขระ แม่น้ำ","1 個河川符文之結",""
9,"FortressRunegraft","1 Runegraft of the Fortress","1 Marque runique de la Forteresse","1 Runengravur der Festung","要塞のルーングラフト 1個","요새의 룬 접목 1개","1 Enxerto de Runa da Fortaleza","1 рунограмма крепости","1 símbolo rúnico de la fortaleza","1 ตรานาบอักขระ ปราการ","1 個堡壘符文之結",""
10,"CombatantRunegraft","1 Runegraft of the Combatant","1 Marque runique du Combattant","1 Runengravur des Kämpfers","闘士のルーングラフト 1個","전투원의 룬 접목 1개","1 Enxerto de Runa do Combatente","1 рунограмма бойца","1 símbolo rúnico del combatiente","1 ตรานาบอักขระ นักสู้","1 個戰鬥者符文之結",""
11,"SinistralRunegraft","1 Runegraft of the Sinistral","1 Marque runique du Sénestre","1 Runengravur des Finsteren","左手のルーングラフト 1個","좌측의 룬 접목 1개","1 Enxerto de Runa do Canhoto","1 рунограмма левши","1 símbolo rúnico del siniestro","1 ตรานาบอักขระ ถนัดซ้าย","1 個左旋符文之結",""
12,"BoundRunegraft","1 Runegraft of the Bound","1 Marque runique du Lien","1 Runengravur der Bindung","束縛のルーングラフト 1個","속박의 룬 접목 1개","1 Enxerto de Runa do Vínculo","1 рунограмма уз","1 símbolo rúnico de la unión","1 ตรานาบอักขระ ตรึง","1 個緊密符文之結",""
13,"WarpRunegraft","1 Runegraft of the Warp","1 Marque runique de la Distorsion","1 Runengravur der Verzerrung","時の歪みのルーングラフト 1個","왜곡의 룬 접목 1개","1 Enxerto de Runa da Distorção","1 рунограмма перехода","1 símbolo rúnico de transformación","1 ตรานาบอักขระ วาร์ป","1 個扭曲符文之結",""
14,"SoulwickRunegraft","1 Runegraft of the Soulwick","1 Marque runique de l'Absorption d'âmes","1 Runengravur der Seelenwanderung","魂の灯火のルーングラフト 1個","영혼심지의 룬 접목 1개","1 Enxerto de Runa da Horrívalma","1 рунограмма фитиля душ","1 símbolo rúnico de almas","1 ตรานาบอักขระ เปลววิญญาณ","1 個魂芯符文之結",""
15,"BellowsRunegraft","1 Runegraft of Bellows","1 Marque runique du Hurlement","1 Runengravur des Geschreis","怒号のルーングラフト 1個","노호의 룬 접목 1개","1 Enxerto de Runa do Fole","1 рунограмма лужёной глотки","1 símbolo rúnico de aullidos","1 ตรานาบอักขระ แผดเสียง","1 個轟鳴符文之結",""
16,"GemcraftRunegraft","1 Runegraft of Gemcraft","1 Marque runique du Lapidaire","1 Runengravur des Gemmenschneiders","ジェムクラフトのルーングラフト 1個","마석 제작의 룬 접목 1개","1 Enxerto de Runa da Lapidação","1 рунограмма камнереза","1 símbolo rúnico de gemas","1 ตรานาบอักขระ สลักมณี","1 個寶石工藝符文之結",""
17,"BlasphemyRunegraft","1 Runegraft of Blasphemy","1 Marque runique du Blasphème","1 Runengravur der Blasphemie","冒涜のルーングラフト 1個","신성 모독의 룬 접목 1개","1 Enxerto de Runa da Blasfêmia","1 рунограмма богохульства","1 símbolo rúnico de blasfemia","1 ตรานาบอักขระ สาปส่ง","1 個瀆神符文之結",""
18,"GaucheRunegraft","1 Runegraft of the Gauche","1 Marque runique du Maladroit","1 Runengravur des Gauklers","ゴーシュのルーングラフト 1個","투박함의 룬 접목 1개","1 Enxerto de Runa do Desajeitado","1 рунограмма неуклюжести","1 símbolo rúnico de torpeza","1 ตรานาบอักขระ เงอะงะ","1 個笨拙符文之結",""
19,"TimeRunegraft","1 Runegraft of Time","1 Marque runique du Temps","1 Runengravur der Zeit","時のルーングラフト 1個","시간의 룬 접목 1개","1 Enxerto de Runa do Tempo","1 рунограмма времени","1 símbolo rúnico de tiempo","1 ตรานาบอักขระ กาลเวลา","1 個時間符文之結",""
20,"TreacheryRunegraft","1 Runegraft of Treachery","1 Marque runique de Trahison","1 Runengravur des Verrats","裏切りのルーングラフト 1個","배반의 룬 접목 1개","1 Enxerto de Runa da Traição","1 рунограмма вероломства","1 símbolo rúnico de traición","1 ตรานาบอักขระ หักหลัง","1 個背信符文之結",""
21,"QuaffingRunegraft","1 Runegraft of Quaffing","1 Marque runique de l'Abreuvement","1 Runengravur des Zechens","暴飲のルーングラフト 1個","들이마심의 룬 접목 1개","1 Enxerto de Runa da Sorvedura","1 рунограмма опорожнения","1 símbolo rúnico de bebida","1 ตรานาบอักขระ ดับกระหาย","1 個狂飲符文之結",""
22,"RestitchingRunegraft","1 Runegraft of Restitching","1 Marque runique du Recouvrement","1 Runengravur des Neuflickens","縫合のルーングラフト 1個","재봉합의 룬 접목 1개","1 Enxerto de Runa do Remendo","1 рунограмма сшивания","1 símbolo rúnico de remiendo","1 ตรานาบอักขระ สมานใหม่","1 個重新縫合符文之結",""
