"rownum","WorldArea","MonsterPacks","i32_32","i32_36"
0,6,"[2625,2626]",2,20000
1,7,"[2627,2628,2629]",2,10200
2,8,"[2630,2631,2632,2621]",2,24000
3,9,"[2633,2634,2635]",2,12000
4,10,"[2636,2637,2638]",2,9000
5,11,"[2639,2640,2641]",2,21600
6,12,"[2642,2643,2620]",2,30000
7,13,"[2644,2645,2620]",2,19200
8,14,"[2646,2647]",2,24000
9,15,"[2648,2649,2650]",2,30000
10,16,"[2620,2621]",2,27600
11,17,"[2651,2652,2653,2654,2621]",2,34800
12,18,"[2655,2656,2657,2621]",2,14400
13,19,"[2620,2621]",2,15600
14,20,"[2658,2620,2621]",2,15600
15,22,"[2620,2621]",2,18900
16,23,"[2622,2623]",2,21600
17,24,"[2622,2623]",2,21600
18,25,"[2621,2622,2623,2659]",2,29700
19,30,"[2621,2622,2623]",2,29025
20,26,"[2661,2660]",2,28350
21,27,"[2620,2662]",2,26325
22,28,"[2664,2663]",2,31725
23,29,"[2665,2620]",2,27000
24,31,"[2620,2621]",2,67500
25,32,"[2623,2621]",2,36450
26,33,"[2620,2621]",2,48600
27,34,"[2620,2621]",2,20250
28,35,"[2666,2620]",2,42525
29,36,"[2621,2624,2622,2623]",2,39150
30,37,"[2623,2621]",2,21600
31,38,"[2623,2667,2668]",2,40500
32,39,"[2669,2620]",2,48600
33,40,"[2670,2671,2622]",2,52650
34,42,"[2683,2686]",2,0
35,43,"[2686,2672]",2,0
36,44,"[2678,2681]",2,0
37,45,"[2685,2686]",2,0
38,46,"[2682,2686]",2,0
39,47,"[2672,2672]",2,0
40,48,"[2672,2681]",2,0
41,49,"[2675,2672]",2,0
42,50,"[2673,2674]",2,0
43,51,"[2685,2679]",2,0
44,52,"[2672,2684]",2,0
45,53,"[2672,2677]",2,0
46,54,"[2677,2676,2675]",2,0
47,55,"[2672,2678]",2,0
48,56,"[2685,2680,2684]",2,0
49,57,"[2686,2684,2683]",2,0
50,58,"[2685,2681]",2,0
51,59,"[2677,2676,2685]",2,0
52,61,"[2688,2689,2690,2691]",2,0
53,62,"[2691,2692]",2,0
54,63,[2693],1,0
55,64,[2694],1,0
56,65,[2695],1,0
57,66,"[2696,2697]",2,0
58,67,"[2696,2697]",2,0
59,68,[2698],1,0
60,69,[2698],1,0
61,70,"[2699,2700,2701]",2,0
62,71,"[2699,2700,2701,2702]",2,0
63,72,"[2699,2700,2701,2703,2704]",2,0
64,73,[2689],1,0
65,74,"[2706,2707]",2,0
66,76,"[2706,2707,2708,2709]",2,0
67,77,"[2708,2709,2710,2711]",2,0
68,78,"[2712,2708,2709,2713,2710,2714]",2,0
69,79,"[2715,2713,2710]",2,0
70,80,"[2713,2714,2710,2716,2715,2712]",2,0
71,81,"[2715,2716,2714,2713]",2,0
72,82,"[2717,2718,2719,2720]",2,0
73,83,"[2721,2722,2723,2724]",2,0
74,84,"[2725,2726]",2,0
75,86,"[2733,2734]",2,0
76,87,"[2621,2620]",2,0
77,88,"[2728,2621]",2,0
78,89,"[2621,2620]",2,0
79,90,"[2621,2620]",2,0
80,91,"[2737,2730]",2,0
81,92,"[2738,2739,2743]",2,0
82,93,"[2732,2740]",2,0
83,94,"[2741,2621]",2,0
84,95,"[2736,2727]",2,0
85,96,"[2736,2621]",2,0
86,97,"[2735,2621]",2,0
87,98,"[2736,2621]",2,0
88,99,[2731],1,0
89,100,"[2728,2731,2742]",2,0
90,101,"[2729,2728]",2,0
91,103,"[2751,2744,2750]",2,0
92,104,"[2749,2752,2750,2744]",2,0
93,105,"[2753,2765,2761]",2,0
94,106,"[2754,2745,2764]",2,0
95,107,"[2766,2746,2755]",2,0
96,108,"[2767,2762,2747,2768]",2,0
97,109,"[2756,2763]",2,0
98,110,"[2750,2744]",2,0
99,111,"[2750,2744,2749]",2,0
100,112,"[2620,2621]",2,0
101,113,"[2750,2621]",2,0
102,114,"[2757,2620]",2,0
103,115,"[2758,2620]",2,0
104,116,"[2759,2620]",2,0
105,117,"[2748,2760]",2,0
106,118,"[2773,2787]",2,0
107,120,"[2791,2774]",2,0
108,121,"[2774,2784,2778,2789,2771]",2,0
109,122,"[2788,2790,2785]",2,0
110,123,"[2784,2782]",2,0
111,124,"[2789,2775,2784,2782,2781]",2,0
112,125,"[2770,2790]",2,0
113,126,"[2790,2776]",2,0
114,127,"[2790,2776,2770]",2,0
115,128,"[2787,2784,2786,2769]",2,0
116,129,"[2787,2784,2781]",2,0
117,130,"[2780,2779,2783]",2,0
118,131,"[2772,2790]",2,0
119,132,"[2772,2790,2783]",2,0
120,133,"[2775,2772,2790,2783]",2,0
121,134,"[2770,2772,2790,2776,2783]",2,0
122,136,"[2794,2792,2805,2815,2806]",2,0
123,138,"[2816,2798]",2,0
124,139,"[2802,2804]",2,0
125,140,"[2807,2804]",2,0
126,141,"[2808,2799,2803]",2,0
127,142,"[2809,2800]",2,0
128,143,"[2810,2801,2795,2813]",2,0
129,144,"[2810,2801,2795]",2,0
130,145,"[2796,2797,2811]",2,0
131,147,"[2812,2805]",2,0
