"rownum","rid_0","rid_16","i32_32"
0,16494,16494,3
1,16495,16495,3
2,16491,16491,0
3,16492,16492,0
4,16493,16493,0
5,16496,16496,0
6,16497,218,0
7,16499,6308,0
8,16502,218,1
9,16503,218,2
10,16504,218,3
11,16505,11981,1
12,16423,11981,2
13,16506,174,1
14,16507,174,2
15,16508,16247,1
16,16509,16247,2
17,16521,16418,3
18,16519,16519,1
19,16520,16520,3
20,16481,16481,4
21,16482,16482,4
22,16483,16483,4
23,16512,16512,0
24,16513,16512,1
25,16514,16512,3
26,16516,16515,1
27,16517,16515,2
28,16518,16518,3
29,16510,16510,0
30,16511,16510,3
31,16498,16498,0
32,16500,16498,2
33,16501,16498,3
34,16424,16424,4
35,16523,16544,1
36,16524,16524,0
37,16522,16522,3
38,16525,16545,3
39,16533,16533,3
40,16534,16534,2
41,16535,16535,1
42,16536,16536,2
43,16537,16537,2
44,16565,16512,2
45,16572,16572,4
46,16571,16571,4
