"rownum","XOffset","YOffset","UnlockQuest","UnlockText","UnlockText (French)","UnlockText (German)","UnlockText (Japanese)","UnlockText (Korean)","UnlockText (Portuguese)","UnlockText (Russian)","UnlockText (Spanish)","UnlockText (Thai)","UnlockText (Traditional Chinese)"
0,1,0,355,"Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","Complete a Tier 16+ Map","完成 1 張階級 16 以上的地圖"
1,2,0,356,"Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","Defeat an Elder Guardian","擊敗異界尊師守護者"
2,3,0,357,"Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","Defeat a Shaper Guardian","擊敗塑界者守護者"
3,4,0,1468,"Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","Complete 100 Atlas Bonus Objectives","擊敗輿圖征服者"
4,5,0,1469,"Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","Complete 115 Atlas Bonus Objectives","擊敗喚世者．賽勒斯"
5,0,1,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
6,1,1,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
7,2,1,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
8,3,1,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
9,4,1,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
