"rownum","Id","BuffDefinitionsKeys","bool_24","BuffStacks","CharactersKey","StatsKeys","bool_61","StatValue","BaseItemType","bool_82"
0,"HasFority",[1943],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3649],"",1,[],""
2,"IsCoveredInSpiders",[781],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[842],"",5,"",[],"",1,[],""
4,"IsWebbed",[842],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[724],"",1,"",[],"",1,[],""
6,"IsFirebombed",[740],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[981],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1860],"",5,[],""
9,"HasPietysRage",[420],"",1,"",[],"",1,[],""
10,"IsJudged","[509,510]","",1,"",[],"",1,[],""
11,"IsWitch",[],"",1,1,[],"",1,[],""
12,"IsRanger",[],"",1,3,[],"",1,[],""
13,"IsMarauder",[],"",1,0,[],"",1,[],""
14,"IsTemplar",[],"",1,6,[],"",1,[],""
15,"IsDuelist",[],"",1,4,[],"",1,[],""
16,"IsShadow",[],"",1,5,[],"",1,[],""
17,"IsScion",[],"",1,2,[],"",1,[],""
18,"HasEffluentX10","[832,833,834]","",10,"",[],"",1,[],""
19,"HasRampage",[],"",1,"",[2378],"",1,[],""
20,"HasShrineBuff",[],"",1,"",[5818],"",1,[],""
21,"IsCursed",[],"",1,"",[721],"",1,[],""
22,"IsNotCursed",[],"",1,"",[721],"",0,[],""
23,"IsVulnerable",[79],"",1,"",[],"",1,[],""
24,"InSeaWitchBeam",[282],"",1,"",[],"",1,[],""
25,"HasTempleTempestBuff","[446,447,438,440,462,457,444,445]","",1,"",[],"",1,[],""
26,"HasTempleExposure",[1164],"",1,"",[],"",1,[],""
27,"AffectedByHereticalFlare",[22],"",1,"",[],"",1,[],""
28,"AffectedByDarkVortex",[888],"",1,"",[],"",1,[],""
29,"AffectedByMonsterConsecratedGround",[1265],"",1,"",[],"",1,[],""
30,"Rampage300",[328],"",299,"",[],"",1,[],""
31,"IsBleeding",[],"",1,"",[2082],"",1,[],""
32,"HasQuicksandX10",[946],"",10,"",[],"",1,[],""
33,"HasMortalCall",[110],"",1,"",[],"",1,[],""
34,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[751],""
35,"HasTopazRingEquipped",[],"",1,"",[],"",1,[750],""
36,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,"[750,751]",1
37,"IsBlinded",[],"",1,"",[972],"",1,[],""
38,"IsTaunted",[],"",1,"",[3481],"",1,[],""
39,"HasEmberstorm",[1648],"",1,"",[],"",1,[],""
40,"HasBoneRoil",[598],"",1,"",[],"",1,[],""
41,"HasDoedresTorment",[908],"",5,"",[],"",1,[],""
42,"HasDoedresWithering",[909],"",5,"",[],"",1,[],""
43,"HasDoedresSuffering",[910],"",5,"",[],"",1,[],""
44,"HasDivineShrine",[261],"",1,"",[],"",1,[],""
45,"HasCovetousShrine",[2013],"",1,"",[],"",1,[],""
46,"HasTemporalChains",[69],"",1,"",[],"",1,[],""
47,"HasConductivity",[73],"",1,"",[],"",1,[],""
48,"HasMoltenShell",[114],"",1,"",[],"",1,[],""
49,"HasTrialmasterTether",[1805],"",1,"",[],"",1,[],""
50,"AffectedByBearTrap",[162],"",1,"",[],"",1,[],""
51,"AffectedByToxicSwamp",[1767],"",1,"",[],"",1,[],""
52,"AffectedByScreechX4",[294],"",1,"",[],"",1,[],""
53,"HasRighteousFire",[13],"",1,"",[],"",1,[],""
54,"HasGlimpseOfInfinity",[1890],"",1,"",[],"",1,[],""
55,"HasIndifferenceOfTheCosmos",[1889],"",1,"",[],"",1,[],""
56,"IsPoisoned",[],"",1,"",[3737],"",1,[],""
57,"AffectedByTheBlackReaping",[1900],"",1,"",[],"",1,[],""
58,"AffectedByEnervation",[1911],"",1,"",[],"",1,[],""
59,"ActivatedEldritchAltarsWithWrathOfTheCosmosAllocatedX6",[2062],"",6,"",[],"",1,[],""
60,"IsChilled",[],"",1,"",[1841],"",1,[],""
61,"HasAnnihilatingLightX30",[1989],"",30,"",[],"",1,[],""
62,"HasCrushingDarknessX30",[1990],"",30,"",[],"",1,[],""
63,"HasCorrosiveHungerX50",[2064],"",50,"",[],"",1,[],""
64,"HasMavensPunishment","[1785,1786]","",1,"",[],"",1,[],""
65,"HasSearingRune",[2056],"",1,"",[],"",1,[],""
66,"HasDesolationoftheAwakener",[1449],"",1,"",[],"",1,[],""
67,"HasDecayandVortex","[713,1021]",1,1,"",[],"",1,[],""
68,"PlayerinBreach",[],"",1,"",[8524],"",1,[],""
69,"HasShrineBuffX4",[],"",1,"",[5818],"",4,[],""
70,"KilledMetamorphin10seconds",[],"",1,"",[18666],"",1,[],""
71,"BestiaryAspects","[1036,1046,1039,1042]","",1,"",[],"",1,[],""
72,"HasMarkedForDeathX10",[2349],"",7,"",[],"",1,[],""
73,"AffectedByVoodooKingMysticMiasma",[2401],"",1,"",[],"",1,[],""
74,"HasActiveMercenary",[],"",1,"",[21600],"",1,[],""
