"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,4779,0,0,0,""
1,4780,1,0,0,""
2,4781,2,0,0,""
3,4782,3,0,0,""
4,4783,4,0,0,""
5,4784,5,0,0,""
6,4785,6,0,0,""
7,4786,7,0,1,""
8,4787,8,0,1,""
9,4788,9,0,1,""
10,4789,10,2,1,""
11,4790,11,0,1,""
12,4791,12,0,1,""
13,4792,13,0,1,""
14,4793,14,0,2,""
15,4794,15,0,2,""
16,4795,16,0,2,""
17,4796,17,0,2,""
18,4797,18,0,2,""
19,4798,19,0,2,""
20,4799,20,0,2,""
21,4800,21,0,3,""
22,4801,22,0,3,""
23,4802,23,0,3,""
24,4803,24,2,3,""
25,4804,25,0,3,""
26,4805,26,0,3,""
27,4806,27,0,3,""
28,4807,28,0,4,""
29,4808,29,1,4,""
30,4809,30,2,4,""
31,4810,31,1,4,""
32,4811,32,1,4,""
33,4812,33,1,4,""
34,4813,34,2,4,""
35,4814,35,1,5,""
36,4815,36,1,5,""
37,4816,37,1,5,""
38,4817,38,2,5,""
39,4818,39,2,5,""
40,4819,40,1,5,""
41,4820,41,1,5,""
42,4821,42,1,6,""
43,4822,43,1,6,""
44,4823,44,1,6,""
45,4824,45,1,6,""
46,4825,46,1,6,""
47,4826,47,1,6,""
48,4827,48,1,6,""
49,4828,49,2,7,""
50,4829,50,2,7,""
51,4830,51,2,7,""
52,4831,52,2,7,""
53,4832,53,2,7,""
54,4833,54,2,7,""
55,4834,55,2,7,""
56,4835,56,1,8,""
57,4836,57,1,8,""
58,4837,58,2,8,""
59,4838,59,1,8,""
60,4839,60,2,8,""
61,4840,61,2,8,""
62,4841,62,1,8,""
63,4842,63,2,9,""
64,4843,64,2,9,""
65,4844,65,2,9,""
66,4845,66,0,9,""
67,4846,67,2,9,""
68,4847,68,2,9,""
69,4848,69,2,9,""
70,4849,70,3,11,""
71,4850,71,3,11,""
72,4851,72,3,11,""
73,4852,73,3,11,""
74,4853,74,3,11,""
75,4854,75,3,11,""
76,4855,76,3,11,""
77,4856,77,3,11,""
78,4857,78,4,11,""
79,4858,79,4,11,""
80,4859,80,4,11,""
81,4860,81,5,11,""
82,4861,82,5,11,""
83,4862,83,5,11,""
84,4863,84,6,11,""
85,4864,85,6,11,""
86,4865,86,6,11,""
87,4866,87,3,11,""
88,4867,88,3,11,""
89,4868,89,4,11,""
90,4869,90,5,11,""
91,4870,91,6,11,""
92,4871,92,7,11,15
93,4872,93,9,11,17
94,4873,94,9,11,18
95,4874,95,9,11,19
96,4875,96,9,11,20
97,4876,97,9,11,21
98,4877,98,9,11,22
99,4878,99,9,11,23
100,5187,145,8,11,""
101,5188,146,8,10,""
102,5189,147,8,10,""
103,5190,148,8,10,""
104,5191,149,8,10,""
105,5192,150,8,10,""
106,5193,151,8,10,""
107,5194,152,8,10,""
108,5195,153,8,10,""
109,5196,154,8,10,""
110,5197,155,8,10,""
111,5198,156,8,10,""
112,5199,157,8,10,""
113,5200,158,8,10,""
114,5201,159,8,10,""
115,5202,160,8,10,""
116,5203,161,8,10,""
117,5204,162,8,10,""
118,5205,163,8,10,""
119,5206,164,8,10,""
120,5207,165,8,10,""
121,5208,166,8,10,""
122,5209,167,8,10,""
123,5210,168,8,10,""
124,5211,169,8,10,""
125,5212,170,8,10,""
126,5213,171,8,10,""
127,5214,172,8,10,""
128,5215,173,8,10,""
129,5216,174,8,10,""
130,5217,175,8,10,""
131,5218,176,8,10,""
132,5219,177,8,10,""
133,5220,178,8,10,""
134,5221,179,8,10,""
135,5222,180,8,10,""
