"rownum","Id","bool_16","bool_17","bool_18"
0,1367,"","",""
1,1368,"","",""
2,1097,"","",""
3,1098,"","",""
4,1099,"","",""
5,1100,"","",""
6,1101,"","",""
7,1102,"","",""
8,1103,"","",""
9,1104,"","",""
10,1105,"","",""
11,1106,"","",""
12,1107,"","",""
13,1108,"","",""
14,1109,"","",""
15,1110,"","",""
16,1111,"","",""
17,1112,"","",""
18,1113,"","",""
19,1114,"","",""
20,1115,"","",""
21,1116,"","",""
22,1117,1,"",""
23,1118,"",1,""
24,1121,"","",""
25,1122,"","",""
26,1123,"","",""
27,1124,"","",""
