"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]_64","AOFile","bool_88","[i32]_89","AppearanceChestsKey","ChestsKey","Achievement"
0,"UniqueChestTest1",370,0,0,"[7876,7887,7866]",0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",284,[]
1,"PerandusBank",376,383,20,"[7911,7899,7950,7958,8710]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",279,"[9356,9918]"
2,"KaomsCache",377,384,20,"[7902,7896,7924,7957,8710]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",266,"[9356,9918]"
3,"EmpyreanApparatus",378,385,60,"[7903,7897,7967,8710]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",269,"[9356,9918]"
4,"ObaChest1",416,424,0,"[7956,7951]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",279,"[9356,9918]"
5,"ObaChest2",417,424,0,[7942],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",263,"[9356,9918]"
6,"ObaChest3",418,424,0,"[7941,7968]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",277,"[9356,9918]"
7,"GrandmasterGemcutters",457,460,0,"[7969,7933,7945,9330]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",278,[]
8,"GrandmasterArcanists",458,460,0,"[7946,9330]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",265,[]
9,"GrandmasterCartographers",459,460,0,"[7944,7952,7960,7970,9330]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",274,[]
10,"GrandmasterOrnateStrongbox",460,460,0,"[7880,7871,7959,9330,7988]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",283,[]
11,"GrandmasterUniqueItem",461,460,0,"[7893,7873,7882,9330,7988]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",285,[]
12,"GrandmasterSameBaseType",462,460,0,"[7873,7882,9616,9330,7988]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",285,[]
