"rownum","ItemClass","Influence","Tag"
0,4,2,494
1,4,1,255
2,4,4,497
3,4,3,496
4,4,0,254
5,4,5,495
6,21,2,490
7,21,1,259
8,21,4,493
9,21,3,492
10,21,0,258
11,21,5,491
12,24,2,482
13,24,1,253
14,24,4,485
15,24,3,484
16,24,0,252
17,24,5,483
18,23,2,470
19,23,1,245
20,23,4,473
21,23,3,472
22,23,0,244
23,23,5,471
24,13,2,513
25,13,1,273
26,13,4,541
27,13,3,527
28,13,0,272
29,13,5,555
30,6,2,506
31,6,1,271
32,6,4,534
33,6,3,520
34,6,0,270
35,6,5,548
36,7,2,507
37,7,1,275
38,7,4,535
39,7,3,521
40,7,0,274
41,7,5,549
42,22,2,474
43,22,1,249
44,22,4,477
45,22,3,476
46,22,0,248
47,22,5,475
48,25,2,478
49,25,1,251
50,25,4,481
51,25,3,480
52,25,0,250
53,25,5,479
54,11,2,510
55,11,1,267
56,11,4,538
57,11,3,524
58,11,0,266
59,11,5,552
60,12,2,511
61,12,1,269
62,12,4,539
63,12,3,525
64,12,0,268
65,12,5,553
66,9,2,509
67,9,1,247
68,9,4,537
69,9,3,523
70,9,0,246
71,9,5,551
72,20,2,502
73,20,1,261
74,20,4,505
75,20,3,504
76,20,0,260
77,20,5,503
78,5,2,498
79,5,1,257
80,5,4,501
81,5,3,500
82,5,0,256
83,5,5,499
84,56,2,518
85,56,1,287
86,56,4,546
87,56,3,532
88,56,0,286
89,56,5,560
90,32,2,512
91,32,1,283
92,32,4,540
93,32,3,526
94,32,0,282
95,32,5,554
96,26,2,486
97,26,1,263
98,26,4,489
99,26,3,488
100,26,0,262
101,26,5,487
102,14,2,514
103,14,1,281
104,14,4,542
105,14,3,528
106,14,0,280
107,14,5,556
108,10,2,509
109,10,1,247
110,10,4,537
111,10,3,523
112,10,0,246
113,10,5,551
114,16,2,516
115,16,1,277
116,16,4,544
117,16,3,530
118,16,0,276
119,16,5,558
120,17,2,517
121,17,1,279
122,17,4,545
123,17,3,531
124,17,0,278
125,17,5,559
126,15,2,515
127,15,1,265
128,15,4,543
129,15,3,529
130,15,0,264
131,15,5,557
132,8,2,508
133,8,1,285
134,8,4,536
135,8,3,522
136,8,0,284
137,8,5,550
138,57,2,519
139,57,1,289
140,57,4,547
141,57,3,533
142,57,0,288
143,57,5,561
