"rownum","ItemClass","NPCDialogue","DialogueWeighting","i32_48"
0,4,"[26792,26849]","[100,100]",100
1,5,"[26792,26855]","[100,100]",100
2,6,"[26792,26861]","[100,100]",100
3,7,"[26792,26867]","[100,100]",100
4,8,"[26792,26873]","[100,100]",100
5,9,"[26792,26879]","[100,100]",100
6,10,"[26792,26879]","[100,100]",100
7,15,"[26792,26879]","[100,100]",100
8,11,"[26792,26885]","[100,100]",100
9,16,"[26792,26885]","[100,100]",100
10,13,"[26792,26891]","[100,100]",100
11,14,"[26792,26897]","[100,100]",100
12,57,[26792],[100],100
13,12,"[26792,26900]","[100,100]",100
14,17,"[26792,26900]","[100,100]",100
15,20,"[26792,26906]","[100,100]",100
16,21,"[26792,26912]","[100,100]",100
17,22,"[26792,26918]","[100,100]",100
18,23,"[26792,26924]","[100,100]",100
19,24,"[26792,26930]","[100,100]",100
20,25,"[26792,26939]","[100,100]",100
21,26,"[26792,26945]","[100,100]",100
22,32,"[26792,26951]","[100,100]",100
23,35,"[26792,26957]","[100,100]",100
24,41,"[26792,26963]","[100,100]",100
25,50,"[26792,26963]","[100,100]",100
26,70,"[26792,26969]","[100,10]",100
27,65,"[26792,26969]","[100,10]",100
