"rownum","Id","BuffDefinition","bool_24","i32_25","Stat","bool_45","i32_46","Rarity","bool_66","Mods","i32_83","Animation","i32_103","ActiveSkill1","ActiveSkill2","i32_139","i32_143"
0,"IsNormal",[],"",1,[],"",1,0,"",[],0,[],1,"","",0,0
1,"IsMagic",[],"",1,[],"",1,1,"",[],0,[],1,"","",0,0
2,"IsRare",[],"",1,[],"",1,2,"",[],0,[],1,"","",0,0
3,"IsUnique",[],"",1,[],"",1,3,"",[],0,[],1,"","",0,0
4,"IsHarbinger",[],"",1,[6546],"",1,"","",[],0,[],1,"","",0,0
5,"IsRogueExile",[],"",1,[9026],"",1,"","",[],0,[],1,"","",0,0
6,"IsInvasionBoss",[],"",1,[3598],"",1,"","",[],0,[],1,"","",0,0
7,"IsMapBoss",[],"",1,[889],"",0,"",1,[],0,[],1,"","",0,0
8,"RhoaFullyEnraged",[771],"",3,[],"",1,"","",[],0,[],1,"","",0,0
9,"HasSoulEaterX30",[278],"",30,[],"",1,"","",[],0,[],1,"","",0,0
10,"HasNoLightningShield",[789],"",0,[],"",1,"","",[],0,[],1,"","",0,0
11,"Has4Totems",[],"",1,[3460],"",4,"","",[],0,[],1,"","",0,0
12,"HasDuetEnrage",[465],"",1,[],"",1,"","",[],0,[],1,"","",0,0
13,"IsPossessed",[],"",1,[2671],"",1,"","",[],0,[],1,"","",0,0
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",[9663],0,[],1,"","",0,1
15,"IsBeyondBoss",[],"",1,[5826],"",1,"","",[],0,[],1,"","",0,0
16,"IsBreachMonster",[],"",1,[5237],"",1,"","",[],0,[],1,"","",0,0
17,"HasOnslaught",[],"",1,[17430],"",1,"","",[],0,[],1,"","",0,0
18,"IsPossessedByBootlegger",[],"",1,[2671],"",1,"","",[9565],0,[],1,"","",0,1
19,"IsPossessedByBuccaneer",[],"",1,[2671],"",1,"","",[9568],0,[],1,"","",0,1
20,"IsCursed",[],"",1,[721],"",1,"","",[],0,[],1,"","",0,0
21,"HasEssence",[],"",1,[],"",1,"","",[],1,[],1,"","",0,0
22,"HasEssenceX3",[],"",1,[],"",1,"","",[],3,[],1,"","",0,0
23,"HasEssenceX5",[],"",1,[],"",1,"","",[],5,[],1,"","",0,0
24,"HasEssenceX8",[],"",1,[],"",1,"","",[],8,[],1,"","",0,0
25,"IsPantingOrDancing",[],"",1,[],"",1,"","",[],0,"[90,70]",1,"","",0,0
26,"HasIceTotemsX4",[],"",1,[],"",1,"","",[],0,[],1,"","",0,0
27,"HasIceMinionsX10",[],"",1,[],"",1,"","",[],0,[],1,"","",0,0
28,"HasBloodRavensX3",[],"",1,[],"",1,"","",[],0,[],1,"","",0,0
29,"HasFireSkelliesX10",[],"",1,[],"",1,"","",[],0,[],1,"","",0,0
30,"IsEnraged",[684],"",1,[],"",1,"","",[],0,[],1,"","",0,0
31,"IsScreeching",[],"",1,[],"",1,"","",[],0,[],1,1181,"",0,0
32,"HasHotdogsX10",[],"",1,[],"",1,"","",[],0,[],10,"",976,0,0
33,"IsOnFullEnergyShield",[],"",1,[2430],"",1,"","",[],0,[],1,"","",0,0
34,"IsInAfflictionMist",[],"",1,[11967],"",1,"","",[],0,[],1,"","",0,0
35,"IsBleeding",[],"",1,[2082],"",1,"","",[],0,[],1,"","",0,0
36,"HasImmortalCall",[],"",1,[718],"",1,"","",[],0,[],1,"","",0,0
37,"CastingScorchingRay",[],"",1,[],"",1,"","",[],0,[],1,912,"",0,0
38,"IsMavenBuffed",[],"",1,[],"",1,"","",[26050],0,[],1,"","",0,1
39,"IsUsingWolfBarrage",[],"",1,[],"",1,"","",[],0,[],1,800,"",0,0
40,"IsTaunted",[],"",1,[3481],"",1,"","",[],0,[],1,"","",0,0
41,"HasMoltenShell",[113],"",1,[],"",1,"","",[],0,[],1,"","",0,0
42,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","",[],0,[47],1,"","",0,0
43,"HasVolatileSurge",[789],"",1,[],"",1,"","",[],0,[],1,"","",0,0
44,"IsTaggedBySentinel",[],"",1,[16257],"",1,"","",[],0,[],1,"","",0,0
45,"IsTaggedBySentinelUnique",[],"",1,[16381],"",1,"","",[],0,[],1,"","",0,0
