"rownum","UniqueBase","i32_16"
0,384,1
1,385,2
2,386,3
3,388,4
4,389,5
5,392,6
6,395,7
7,398,8
8,401,9
9,414,10
10,416,11
11,417,12
12,422,13
13,425,14
14,427,15
15,428,16
16,431,17
17,432,18
18,433,19
19,434,20
20,435,21
21,436,22
22,444,23
23,446,24
24,449,25
25,451,26
26,453,27
27,456,28
28,462,29
29,463,30
30,465,31
31,466,32
32,467,33
33,473,34
34,475,35
35,478,36
36,482,37
37,490,38
38,493,39
39,494,40
40,495,41
41,502,42
42,504,43
43,506,44
44,508,45
45,509,46
46,515,47
47,517,48
48,520,49
49,521,50
50,522,51
51,523,52
52,524,53
53,525,54
54,532,55
55,534,56
56,535,57
57,536,58
58,542,59
59,553,60
60,558,61
61,560,62
62,563,63
63,567,64
64,570,65
65,575,66
66,578,67
67,586,68
68,590,69
69,591,70
70,593,71
71,595,72
72,598,73
73,601,74
74,602,75
75,603,76
76,604,77
77,605,78
78,606,79
79,607,80
80,612,81
81,613,82
82,614,83
83,616,84
84,618,85
85,619,86
86,627,87
87,631,88
88,632,89
89,633,90
90,634,91
91,635,92
92,641,93
93,644,94
94,646,95
95,647,96
96,651,97
97,652,98
98,653,99
99,656,100
100,657,101
101,658,102
102,659,103
103,660,104
104,661,105
105,671,106
106,672,107
107,675,108
108,677,109
109,679,110
110,682,111
111,684,112
112,686,113
113,687,114
114,688,115
115,689,116
116,696,117
117,698,118
118,699,119
119,704,120
120,706,121
121,710,122
122,711,123
123,713,124
124,714,125
125,722,126
126,723,127
127,724,128
128,728,129
129,729,130
130,732,131
131,734,132
132,737,133
133,738,134
134,739,135
135,744,136
136,912,137
137,913,138
138,915,139
139,923,140
140,925,141
141,926,142
142,931,143
143,932,144
144,934,145
145,938,146
146,942,147
147,943,148
148,952,149
149,953,150
150,954,151
151,957,152
152,958,153
153,960,154
154,963,155
155,964,156
156,968,157
157,970,158
158,976,159
159,977,160
160,980,161
161,981,162
162,987,163
163,988,164
164,990,165
165,991,166
166,992,167
167,993,168
168,1000,169
169,1001,170
170,1005,171
171,1006,172
